G1,G2,G3
1.877509e-01,1.803437e-02,1.309284e-03
1.866088e-01,1.747691e-02,1.249590e-03
1.853998e-01,1.688680e-02,1.186399e-03
1.841542e-01,1.627880e-02,1.121293e-03
1.828988e-01,1.566606e-02,1.055680e-03
1.816568e-01,1.505981e-02,9.907612e-04
1.804467e-01,1.446917e-02,9.275146e-04
1.792832e-01,1.390128e-02,8.667032e-04
1.781771e-01,1.336134e-02,8.088861e-04
1.771355e-01,1.285293e-02,7.544444e-04
1.761628e-01,1.237820e-02,7.036088e-04
1.752612e-01,1.193812e-02,6.564848e-04
1.744308e-01,1.153279e-02,6.130810e-04
1.736703e-01,1.116159e-02,5.733318e-04
1.729775e-01,1.082341e-02,5.371187e-04
1.723493e-01,1.051680e-02,5.042862e-04
1.717824e-01,1.024011e-02,4.746580e-04
1.712733e-01,9.991585e-03,4.480452e-04
1.708181e-01,9.769435e-03,4.242569e-04
1.704135e-01,9.571915e-03,4.031060e-04
1.700559e-01,9.397359e-03,3.844142e-04
1.697421e-01,9.244204e-03,3.680140e-04
1.694692e-01,9.111021e-03,3.537525e-04
1.692346e-01,8.996524e-03,3.414919e-04
1.690360e-01,8.899575e-03,3.311105e-04
1.688713e-01,8.819192e-03,3.225029e-04
1.687389e-01,8.754545e-03,3.155803e-04
1.686373e-01,8.704959e-03,3.102705e-04
1.685655e-01,8.669913e-03,3.065177e-04
1.685227e-01,8.649032e-03,3.042817e-04
1.824981e-01,1.542363e-02,9.715955e-04
1.815230e-01,1.495295e-02,9.277294e-04
1.804892e-01,1.445389e-02,8.812185e-04
1.794222e-01,1.393886e-02,8.332186e-04
1.783451e-01,1.341897e-02,7.847664e-04
1.772778e-01,1.290377e-02,7.367503e-04
1.762364e-01,1.240109e-02,6.899020e-04
1.752337e-01,1.191710e-02,6.447948e-04
1.742792e-01,1.145635e-02,6.018541e-04
1.733794e-01,1.102201e-02,5.613750e-04
1.725384e-01,1.061603e-02,5.235385e-04
1.717580e-01,1.023937e-02,4.884341e-04
1.710388e-01,9.892172e-03,4.560765e-04
1.703797e-01,9.574015e-03,4.264250e-04
1.697789e-01,9.284008e-03,3.993971e-04
1.692339e-01,9.020966e-03,3.748821e-04
1.687420e-01,8.783512e-03,3.527519e-04
1.683000e-01,8.570172e-03,3.328692e-04
1.679049e-01,8.379440e-03,3.150934e-04
1.675535e-01,8.209832e-03,2.992863e-04
1.672430e-01,8.059928e-03,2.853156e-04
1.669705e-01,7.928399e-03,2.730574e-04
1.667335e-01,7.814021e-03,2.623976e-04
1.665298e-01,7.715690e-03,2.532334e-04
1.663573e-01,7.632430e-03,2.454738e-04
1.662143e-01,7.563399e-03,2.390403e-04
1.660993e-01,7.507884e-03,2.338664e-04
1.660111e-01,7.465304e-03,2.298981e-04
1.659488e-01,7.435210e-03,2.270933e-04
1.659116e-01,7.417280e-03,2.254223e-04
1.779687e-01,1.320241e-02,7.208759e-04
1.771356e-01,1.280416e-02,6.886193e-04
1.762510e-01,1.238129e-02,6.543688e-04
1.753368e-01,1.194424e-02,6.189692e-04
1.744126e-01,1.150242e-02,5.831830e-04
1.734954e-01,1.106395e-02,5.476690e-04
1.725993e-01,1.063556e-02,5.129714e-04
1.717354e-01,1.022257e-02,4.795207e-04
1.709120e-01,9.828961e-03,4.476399e-04
1.701350e-01,9.457523e-03,4.175549e-04
1.694081e-01,9.110015e-03,3.894082e-04
1.687331e-01,8.787334e-03,3.632723e-04
1.681105e-01,8.489696e-03,3.391648e-04
1.675396e-01,8.216784e-03,3.170600e-04
1.670190e-01,7.967899e-03,2.969012e-04
1.665466e-01,7.742063e-03,2.786095e-04
1.661200e-01,7.538130e-03,2.620917e-04
1.657367e-01,7.354863e-03,2.472478e-04
1.653939e-01,7.190985e-03,2.339744e-04
1.650890e-01,7.045239e-03,2.221695e-04
1.648195e-01,6.916413e-03,2.117351e-04
1.645830e-01,6.803373e-03,2.025793e-04
1.643774e-01,6.705069e-03,1.946171e-04
1.642006e-01,6.620559e-03,1.877721e-04
1.640509e-01,6.549003e-03,1.819763e-04
1.639268e-01,6.489676e-03,1.771711e-04
1.638270e-01,6.441966e-03,1.733068e-04
1.637505e-01,6.405374e-03,1.703430e-04
1.636964e-01,6.379512e-03,1.682482e-04
1.636642e-01,6.364104e-03,1.670003e-04
1.740638e-01,1.130978e-02,5.347742e-04
1.733516e-01,1.097218e-02,5.110406e-04
1.725945e-01,1.061326e-02,4.858071e-04
1.718109e-01,1.024179e-02,4.596922e-04
1.710177e-01,9.865771e-03,4.332572e-04
1.702295e-01,9.492124e-03,4.069890e-04
1.694585e-01,9.126615e-03,3.812928e-04
1.687143e-01,8.773833e-03,3.564914e-04
1.680043e-01,8.437249e-03,3.328287e-04
1.673336e-01,8.119314e-03,3.104772e-04
1.667056e-01,7.821605e-03,2.895476e-04
1.661220e-01,7.544955e-03,2.700985e-04
1.655833e-01,7.289608e-03,2.521470e-04
1.650892e-01,7.055343e-03,2.356776e-04
1.646383e-01,6.841602e-03,2.206511e-04
1.642290e-01,6.647581e-03,2.070109e-04
1.638593e-01,6.472324e-03,1.946900e-04
1.635270e-01,6.314789e-03,1.836149e-04
1.632298e-01,6.173896e-03,1.737098e-04
1.629654e-01,6.048574e-03,1.648994e-04
1.627317e-01,5.937793e-03,1.571112e-04
1.625267e-01,5.840581e-03,1.502770e-04
