R1,R2,R3
1.600000e+00,5.176550e+00,6.500000e+00
1.600000e+00,5.269880e+00,6.500000e+00
1.600000e+00,5.373665e+00,6.500000e+00
1.600000e+00,5.486545e+00,6.500000e+00
1.600000e+00,5.607140e+00,6.500000e+00
1.600000e+00,5.734074e+00,6.500000e+00
1.600000e+00,5.866004e+00,6.500000e+00
1.600000e+00,6.001628e+00,6.500000e+00
1.600000e+00,6.139705e+00,6.500000e+00
1.600000e+00,6.279058e+00,6.500000e+00
1.600000e+00,6.418576e+00,6.500000e+00
1.600000e+00,6.557222e+00,6.500000e+00
1.600000e+00,6.694027e+00,6.500000e+00
1.600000e+00,6.828092e+00,6.500000e+00
1.600000e+00,6.958583e+00,6.500000e+00
1.600000e+00,7.084733e+00,6.500000e+00
1.600000e+00,7.205832e+00,6.500000e+00
1.600000e+00,7.321233e+00,6.500000e+00
1.600000e+00,7.430343e+00,6.500000e+00
1.600000e+00,7.532622e+00,6.500000e+00
1.600000e+00,7.627580e+00,6.500000e+00
1.600000e+00,7.714779e+00,6.500000e+00
1.600000e+00,7.793826e+00,6.500000e+00
1.600000e+00,7.864373e+00,6.500000e+00
1.600000e+00,7.926117e+00,6.500000e+00
1.600000e+00,7.978797e+00,6.500000e+00
1.600000e+00,8.022195e+00,6.500000e+00
1.600000e+00,8.056132e+00,6.500000e+00
1.600000e+00,8.080470e+00,6.500000e+00
1.600000e+00,8.095113e+00,6.500000e+00
1.600000e+00,5.473142e+00,6.800000e+00
1.600000e+00,5.565541e+00,6.800000e+00
1.600000e+00,5.668410e+00,6.800000e+00
1.600000e+00,5.780429e+00,6.800000e+00
1.600000e+00,5.900249e+00,6.800000e+00
1.600000e+00,6.026523e+00,6.800000e+00
1.600000e+00,6.157922e+00,6.800000e+00
1.600000e+00,6.293157e+00,6.800000e+00
1.600000e+00,6.430991e+00,6.800000e+00
1.600000e+00,6.570243e+00,6.800000e+00
1.600000e+00,6.709800e+00,6.800000e+00
1.600000e+00,6.848612e+00,6.800000e+00
1.600000e+00,6.985700e+00,6.800000e+00
1.600000e+00,7.120148e+00,6.800000e+00
1.600000e+00,7.251109e+00,6.800000e+00
1.600000e+00,7.377798e+00,6.800000e+00
1.600000e+00,7.499491e+00,6.800000e+00
1.600000e+00,7.615522e+00,6.800000e+00
1.600000e+00,7.725283e+00,6.800000e+00
1.600000e+00,7.828220e+00,6.800000e+00
1.600000e+00,7.923829e+00,6.800000e+00
1.600000e+00,8.011657e+00,6.800000e+00
1.600000e+00,8.091299e+00,6.800000e+00
1.600000e+00,8.162398e+00,6.800000e+00
1.600000e+00,8.224641e+00,6.800000e+00
1.600000e+00,8.277757e+00,6.800000e+00
1.600000e+00,8.321521e+00,6.800000e+00
1.600000e+00,8.355749e+00,6.800000e+00
1.600000e+00,8.380299e+00,6.800000e+00
1.600000e+00,8.395070e+00,6.800000e+00
1.600000e+00,5.770087e+00,7.100000e+00
1.600000e+00,5.861644e+00,7.100000e+00
1.600000e+00,5.963679e+00,7.100000e+00
1.600000e+00,6.074910e+00,7.100000e+00
1.600000e+00,6.194019e+00,7.100000e+00
1.600000e+00,6.319679e+00,7.100000e+00
1.600000e+00,6.450581e+00,7.100000e+00
1.600000e+00,6.585447e+00,7.100000e+00
1.600000e+00,6.723043e+00,7.100000e+00
1.600000e+00,6.862189e+00,7.100000e+00
1.600000e+00,7.001765e+00,7.100000e+00
1.600000e+00,7.140716e+00,7.100000e+00
1.600000e+00,7.278049e+00,7.100000e+00
1.600000e+00,7.412839e+00,7.100000e+00
1.600000e+00,7.544222e+00,7.100000e+00
1.600000e+00,7.671399e+00,7.100000e+00
1.600000e+00,7.793632e+00,7.100000e+00
1.600000e+00,7.910239e+00,7.100000e+00
1.600000e+00,8.020598e+00,7.100000e+00
1.600000e+00,8.124140e+00,7.100000e+00
1.600000e+00,8.220349e+00,7.100000e+00
1.600000e+00,8.308758e+00,7.100000e+00
1.600000e+00,8.388953e+00,7.100000e+00
1.600000e+00,8.460563e+00,7.100000e+00
1.600000e+00,8.523268e+00,7.100000e+00
1.600000e+00,8.576789e+00,7.100000e+00
1.600000e+00,8.620894e+00,7.100000e+00
1.600000e+00,8.655393e+00,7.100000e+00
1.600000e+00,8.680140e+00,7.100000e+00
1.600000e+00,8.695030e+00,7.100000e+00
1.600000e+00,6.067332e+00,7.400000e+00
1.600000e+00,6.158123e+00,7.400000e+00
1.600000e+00,6.259398e+00,7.400000e+00
1.600000e+00,6.369907e+00,7.400000e+00
1.600000e+00,6.488358e+00,7.400000e+00
1.600000e+00,6.613449e+00,7.400000e+00
1.600000e+00,6.743886e+00,7.400000e+00
1.600000e+00,6.878401e+00,7.400000e+00
1.600000e+00,7.015765e+00,7.400000e+00
1.600000e+00,7.154800e+00,7.400000e+00
1.600000e+00,7.294382e+00,7.400000e+00
