G1,G2,G3
3.818466e-01,1.446683e-01,5.444850e-02
3.820374e-01,1.447864e-01,5.449208e-02
3.826079e-01,1.451395e-01,5.462244e-02
3.835521e-01,1.457240e-01,5.483846e-02
3.848594e-01,1.465336e-01,5.513809e-02
3.865146e-01,1.475595e-01,5.551842e-02
3.884975e-01,1.487895e-01,5.597543e-02
3.907813e-01,1.502076e-01,5.650362e-02
3.933327e-01,1.517935e-01,5.709610e-02
3.961104e-01,1.535222e-01,5.774396e-02
3.961104e-01,1.535222e-01,5.774396e-02
3.933327e-01,1.517935e-01,5.709610e-02
3.907813e-01,1.502076e-01,5.650362e-02
3.884975e-01,1.487895e-01,5.597543e-02
3.865146e-01,1.475595e-01,5.551842e-02
3.848594e-01,1.465336e-01,5.513809e-02
3.835521e-01,1.457240e-01,5.483846e-02
3.826079e-01,1.451395e-01,5.462244e-02
3.820374e-01,1.447864e-01,5.449208e-02
3.465151e-01,1.174300e-01,3.913152e-02
3.466726e-01,1.175217e-01,3.915974e-02
3.471430e-01,1.177956e-01,3.924407e-02
3.479202e-01,1.182483e-01,3.938353e-02
3.489935e-01,1.188737e-01,3.957641e-02
3.503479e-01,1.196631e-01,3.982024e-02
3.519632e-01,1.206052e-01,4.011173e-02
3.538139e-01,1.216852e-01,4.044659e-02
3.558686e-01,1.228850e-01,4.081945e-02
3.580894e-01,1.241829e-01,4.122384e-02
3.604322e-01,1.255531e-01,4.165191e-02
3.628456e-01,1.269659e-01,4.209455e-02
3.652721e-01,1.283876e-01,4.254121e-02
3.676482e-01,1.297809e-01,4.298023e-02
3.699060e-01,1.311060e-01,4.339889e-02
3.719753e-01,1.323214e-01,4.378388e-02
3.737866e-01,1.333860e-01,4.412188e-02
3.752747e-01,1.342612e-01,4.440026e-02
3.763827e-01,1.349131e-01,4.460796e-02
3.770665e-01,1.353155e-01,4.473630e-02
3.772976e-01,1.354516e-01,4.477972e-02
3.770665e-01,1.353155e-01,4.473630e-02
3.763827e-01,1.349131e-01,4.460796e-02
3.752747e-01,1.342612e-01,4.440026e-02
3.737866e-01,1.333860e-01,4.412188e-02
3.719753e-01,1.323214e-01,4.378388e-02
3.699060e-01,1.311060e-01,4.339889e-02
3.676482e-01,1.297809e-01,4.298023e-02
3.652721e-01,1.283876e-01,4.254121e-02
3.628456e-01,1.269659e-01,4.209455e-02
3.604322e-01,1.255531e-01,4.165191e-02
3.580894e-01,1.241829e-01,4.122384e-02
3.558686e-01,1.228850e-01,4.081945e-02
3.538139e-01,1.216852e-01,4.044659e-02
3.519632e-01,1.206052e-01,4.011173e-02
3.503479e-01,1.196631e-01,3.982024e-02
3.489935e-01,1.188737e-01,3.957641e-02
3.479202e-01,1.182483e-01,3.938353e-02
3.471430e-01,1.177956e-01,3.924407e-02
3.466726e-01,1.175217e-01,3.915974e-02
3.160975e-01,9.547997e-02,2.796675e-02
3.162268e-01,9.555159e-02,2.798496e-02
3.166128e-01,9.576536e-02,2.803933e-02
3.172497e-01,9.611814e-02,2.812912e-02
3.181276e-01,9.660454e-02,2.825302e-02
3.192327e-01,9.721693e-02,2.840919e-02
3.205465e-01,9.794526e-02,2.859520e-02
3.220461e-01,9.877685e-02,2.880792e-02
3.237037e-01,9.969651e-02,2.904360e-02
3.254865e-01,1.006861e-01,2.929769e-02
3.273569e-01,1.017248e-01,2.956499e-02
3.292726e-01,1.027892e-01,2.983949e-02
3.311868e-01,1.038533e-01,3.011453e-02
3.330492e-01,1.048892e-01,3.038285e-02
3.348077e-01,1.058678e-01,3.063686e-02
3.364095e-01,1.067596e-01,3.086879e-02
3.378037e-01,1.075361e-01,3.107109e-02
3.389434e-01,1.081712e-01,3.123678e-02
3.397887e-01,1.086423e-01,3.135983e-02
3.403088e-01,1.089322e-01,3.143561e-02
3.404844e-01,1.090300e-01,3.146121e-02
3.403088e-01,1.089322e-01,3.143561e-02
3.397887e-01,1.086423e-01,3.135983e-02
3.389434e-01,1.081712e-01,3.123678e-02
3.378037e-01,1.075361e-01,3.107109e-02
3.364095e-01,1.067596e-01,3.086879e-02
3.348077e-01,1.058678e-01,3.063686e-02
3.330492e-01,1.048892e-01,3.038285e-02
3.311868e-01,1.038533e-01,3.011453e-02
3.292726e-01,1.027892e-01,2.983949e-02
3.273569e-01,1.017248e-01,2.956499e-02
3.254865e-01,1.006861e-01,2.929769e-02
3.237037e-01,9.969651e-02,2.904360e-02
3.220461e-01,9.877685e-02,2.880792e-02
3.205465e-01,9.794526e-02,2.859520e-02
3.192327e-01,9.721693e-02,2.840919e-02
3.181276e-01,9.660454e-02,2.825302e-02
3.172497e-01,9.611814e-02,2.812912e-02
3.166128e-01,9.576536e-02,2.803933e-02
3.162268e-01,9.555159e-02,2.798496e-02
2.901173e-01,7.783093e-02,1.991203e-02
2.902233e-01,7.788730e-02,1.992380e-02
2.905398e-01,7.805555e-02,1.995891e-02
2.910614e-01,7.833289e-02,2.001682e-02
2.917795e-01,7.871475e-02,2.009661e-02
2.926816e-01,7.919454e-02,2.019695e-02
2.937517e-01,7.976374e-02,2.031612e-02
2.949697e-01,8.041183e-02,2.045198e-02
2.963118e-01,8.112610e-02,2.060192e-02
2.977503e-01,8.189189e-02,2.076292e-02
2.992537e-01,8.269250e-02,2.093152e-02
3.007872e-01,8.350935e-02,2.110382e-02
3.023129e-01,8.432237e-02,2.127561e-02
3.037912e-01,8.511031e-02,2.144237e-02
3.051811e-01,8.585137e-02,2.159946e-02
3.064421e-01,8.652389e-02,2.174223e-02
3.075357e-01,8.710724e-02,2.186623e-02
3.084268e-01,8.758272e-02,2.196741e-02
3.090861e-01,8.793452e-02,2.204233e-02
3.094910e-01,8.815065e-02,2.208839e-02
3.096276e-01,8.822353e-02,2.210393e-02
3.094910e-01,8.815065e-02,2.208839e-02
3.090861e-01,8.793452e-02,2.204233e-02
3.084268e-01,8.758272e-02,2.196741e-02
3.075357e-01,8.710724e-02,2.186623e-02
3.064421e-01,8.652389e-02,2.174223e-02
3.051811e-01,8.585137e-02,2.159946e-02
3.037912e-01,8.511031e-02,2.144237e-02
3.023129e-01,8.432237e-02,2.127561e-02
3.007872e-01,8.350935e-02,2.110382e-02
2.992537e-01,8.269250e-02,2.093152e-02
2.977503e-01,8.189189e-02,2.076292e-02
2.963118e-01,8.112610e-02,2.060192e-02
2.949697e-01,8.041183e-02,2.045198e-02
2.937517e-01,7.976374e-02,2.031612e-02
2.926816e-01,7.919454e-02,2.019695e-02
2.917795e-01,7.871475e-02,2.009661e-02
2.910614e-01,7.833289e-02,2.001682e-02
2.905398e-01,7.805555e-02,1.995891e-02
2.902233e-01,7.788730e-02,1.992380e-02
2.680375e-01,6.362742e-02,1.413940e-02
2.681245e-01,6.367222e-02,1.414704e-02
2.683842e-01,6.380575e-02,1.416978e-02
2.688118e-01,6.402573e-02,1.420728e-02
2.693999e-01,6.432825e-02,1.425886e-02
2.701377e-01,6.470779e-02,1.432363e-02
2.710113e-01,6.515726e-02,1.440038e-02
2.720036e-01,6.566790e-02,1.448767e-02
2.730945e-01,6.622933e-02,1.458373e-02
2.742607e-01,6.682962e-02,1.468657e-02
2.754761e-01,6.745537e-02,1.479389e-02
2.767123e-01,6.809189e-02,1.490320e-02
2.779384e-01,6.872339e-02,1.501177e-02
2.791229e-01,6.933352e-02,1.511681e-02
2.802333e-01,6.990558e-02,1.521540e-02
2.812378e-01,7.042322e-02,1.530471e-02
2.821068e-01,7.087105e-02,1.538205e-02
2.828135e-01,7.123528e-02,1.544501e-02
2.833353e-01,7.150428e-02,1.549153e-02
2.836555e-01,7.166934e-02,1.552009e-02
2.837634e-01,7.172496e-02,1.552971e-02
2.836555e-01,7.166934e-02,1.552009e-02
2.833353e-01,7.150428e-02,1.549153e-02
2.828135e-01,7.123528e-02,1.544501e-02
2.821068e-01,7.087105e-02,1.538205e-02
2.812378e-01,7.042322e-02,1.530471e-02
2.802333e-01,6.990558e-02,1.521540e-02
2.791229e-01,6.933352e-02,1.511681e-02
2.779384e-01,6.872339e-02,1.501177e-02
2.767123e-01,6.809189e-02,1.490320e-02
2.754761e-01,6.745537e-02,1.479389e-02
2.742607e-01,6.682962e-02,1.468657e-02
2.730945e-01,6.622933e-02,1.458373e-02
2.720036e-01,6.566790e-02,1.448767e-02
2.710113e-01,6.515726e-02,1.440038e-02
2.701377e-01,6.470779e-02,1.432363e-02
2.693999e-01,6.432825e-02,1.425886e-02
2.688118e-01,6.402573e-02,1.420728e-02
