R1,R2,R3
1.600000e+00,2.776739e+00,2.776739e+00
1.600000e+00,2.715968e+00,2.836208e+00
1.600000e+00,2.654194e+00,2.894100e+00
1.600000e+00,2.591739e+00,2.950161e+00
1.600000e+00,2.591739e+00,2.950161e+00
1.600000e+00,2.654194e+00,2.894100e+00
1.600000e+00,2.715968e+00,2.836208e+00
1.600000e+00,3.116431e+00,3.116431e+00
1.600000e+00,3.055165e+00,3.176516e+00
1.600000e+00,2.993034e+00,3.235125e+00
1.600000e+00,2.930380e+00,3.291985e+00
1.600000e+00,2.867565e+00,3.346843e+00
1.600000e+00,2.804981e+00,3.399466e+00
1.600000e+00,2.743041e+00,3.449640e+00
1.600000e+00,2.682185e+00,3.497166e+00
1.600000e+00,2.622878e+00,3.541864e+00
1.600000e+00,2.565604e+00,3.583569e+00
1.600000e+00,2.510867e+00,3.622131e+00
1.600000e+00,2.459186e+00,3.657416e+00
1.600000e+00,2.411085e+00,3.689303e+00
1.600000e+00,2.367087e+00,3.717686e+00
1.600000e+00,2.327704e+00,3.742470e+00
1.600000e+00,2.293422e+00,3.763576e+00
1.600000e+00,2.293422e+00,3.763576e+00
1.600000e+00,2.327704e+00,3.742470e+00
1.600000e+00,2.367087e+00,3.717686e+00
1.600000e+00,2.411085e+00,3.689303e+00
1.600000e+00,2.459186e+00,3.657416e+00
1.600000e+00,2.510867e+00,3.622131e+00
1.600000e+00,2.565604e+00,3.583569e+00
1.600000e+00,2.622878e+00,3.541864e+00
1.600000e+00,2.682185e+00,3.497166e+00
1.600000e+00,2.743041e+00,3.449640e+00
1.600000e+00,2.804981e+00,3.399466e+00
1.600000e+00,2.867565e+00,3.346843e+00
1.600000e+00,2.930380e+00,3.291985e+00
1.600000e+00,2.993034e+00,3.235125e+00
1.600000e+00,3.055165e+00,3.176516e+00
1.600000e+00,3.458790e+00,3.458790e+00
1.600000e+00,3.397175e+00,3.519325e+00
1.600000e+00,3.334814e+00,3.578473e+00
1.600000e+00,3.272057e+00,3.635945e+00
1.600000e+00,3.209280e+00,3.691473e+00
1.600000e+00,3.146881e+00,3.744809e+00
1.600000e+00,3.085278e+00,3.795723e+00
1.600000e+00,3.024912e+00,3.844003e+00
1.600000e+00,2.966242e+00,3.889455e+00
1.600000e+00,2.909742e+00,3.931902e+00
1.600000e+00,2.855900e+00,3.971182e+00
1.600000e+00,2.805209e+00,4.007150e+00
1.600000e+00,2.758166e+00,4.039675e+00
1.600000e+00,2.715255e+00,4.068641e+00
1.600000e+00,2.676947e+00,4.093947e+00
1.600000e+00,2.643683e+00,4.115506e+00
1.600000e+00,2.615863e+00,4.133245e+00
1.600000e+00,2.593836e+00,4.147103e+00
1.600000e+00,2.577889e+00,4.157035e+00
1.600000e+00,2.568233e+00,4.163007e+00
1.600000e+00,2.565000e+00,4.165000e+00
1.600000e+00,2.568233e+00,4.163007e+00
1.600000e+00,2.577889e+00,4.157035e+00
1.600000e+00,2.593836e+00,4.147103e+00
1.600000e+00,2.615863e+00,4.133245e+00
1.600000e+00,2.643683e+00,4.115506e+00
1.600000e+00,2.676947e+00,4.093947e+00
1.600000e+00,2.715255e+00,4.068641e+00
1.600000e+00,2.758166e+00,4.039675e+00
1.600000e+00,2.805209e+00,4.007150e+00
1.600000e+00,2.855900e+00,3.971182e+00
1.600000e+00,2.909742e+00,3.931902e+00
1.600000e+00,2.966242e+00,3.889455e+00
1.600000e+00,3.024912e+00,3.844003e+00
1.600000e+00,3.085278e+00,3.795723e+00
1.600000e+00,3.146881e+00,3.744809e+00
1.600000e+00,3.209280e+00,3.691473e+00
1.600000e+00,3.272057e+00,3.635945e+00
1.600000e+00,3.334814e+00,3.578473e+00
1.600000e+00,3.397175e+00,3.519325e+00
1.600000e+00,3.803094e+00,3.803094e+00
1.600000e+00,3.741228e+00,3.863970e+00
1.600000e+00,3.678713e+00,3.923534e+00
1.600000e+00,3.615910e+00,3.981488e+00
1.600000e+00,3.553202e+00,4.037549e+00
1.600000e+00,3.490991e+00,4.091458e+00
1.600000e+00,3.429698e+00,4.142973e+00
1.600000e+00,3.369760e+00,4.191869e+00
1.600000e+00,3.311632e+00,4.237941e+00
1.600000e+00,3.255778e+00,4.281000e+00
1.600000e+00,3.202669e+00,4.320875e+00
1.600000e+00,3.152780e+00,4.357411e+00
1.600000e+00,3.106581e+00,4.390467e+00
1.600000e+00,3.064529e+00,4.419922e+00
1.600000e+00,3.027062e+00,4.445666e+00
1.600000e+00,2.994587e+00,4.467605e+00
1.600000e+00,2.967470e+00,4.485663e+00
1.600000e+00,2.946030e+00,4.499773e+00
1.600000e+00,2.930523e+00,4.509887e+00
1.600000e+00,2.921141e+00,4.515970e+00
1.600000e+00,2.918000e+00,4.518000e+00
1.600000e+00,2.921141e+00,4.515970e+00
