G1,G2,G3
3.287348e-01,2.576072e-02,4.902476e-04
2.602016e-01,8.549511e-03,6.197373e-05
2.360730e-01,2.922320e-03,7.671488e-06
2.276351e-01,1.009393e-03,9.389534e-07
2.246952e-01,3.497148e-04,1.141446e-07
2.236732e-01,1.212308e-04,1.381791e-08
2.233184e-01,4.201617e-05,1.667901e-09
2.231954e-01,1.455706e-05,2.009430e-10
3.287348e-01,2.576072e-02,4.902476e-04
1.660383e-01,7.768341e-03,7.025353e-05
1.083466e-01,2.530780e-03,9.423538e-06
8.803716e-02,8.582811e-04,1.218488e-06
8.092242e-02,2.958481e-04,1.541099e-07
7.843822e-02,1.025379e-04,1.921643e-08
7.757283e-02,3.558774e-05,2.373738e-09
7.727184e-02,1.235055e-05,2.912031e-10
7.716728e-02,4.284824e-06,3.557066e-11
2.602016e-01,8.549511e-03,6.197373e-05
1.083466e-01,2.530780e-03,9.423538e-06
5.517403e-02,8.101531e-04,1.332172e-06
3.659175e-02,2.717133e-04,1.798936e-07
3.010979e-02,9.310892e-05,2.357215e-08
2.785226e-02,3.217679e-05,3.025771e-09
2.706703e-02,1.115200e-05,3.829947e-10
2.679415e-02,3.867434e-06,4.791943e-11
2.669941e-02,1.341099e-06,5.947798e-12
2.360730e-01,2.922320e-03,7.671488e-06
8.803716e-02,8.582811e-04,1.218488e-06
3.659175e-02,2.717133e-04,1.798936e-07
1.871719e-02,9.030401e-05,2.526110e-08
1.250930e-02,3.076034e-05,3.424878e-09
1.035430e-02,1.059072e-05,4.526056e-10
9.606579e-03,3.661675e-06,5.870478e-11
9.347263e-03,1.267895e-06,7.515903e-12
9.257355e-03,4.391643e-07,9.507740e-13
2.276351e-01,1.009393e-03,9.389534e-07
8.092242e-02,2.958481e-04,1.541099e-07
3.010979e-02,9.310892e-05,2.357215e-08
1.250930e-02,3.076034e-05,3.424878e-09
6.412847e-03,1.043109e-05,4.790098e-10
4.301327e-03,3.580553e-06,6.513885e-11
3.570070e-03,1.235378e-06,8.662654e-12
3.316859e-03,4.270963e-07,1.132606e-12
3.229192e-03,1.477636e-07,1.461709e-13
2.246952e-01,3.497148e-04,1.141446e-07
7.843822e-02,1.025379e-04,1.921643e-08
2.785226e-02,3.217679e-05,3.025771e-09
1.035430e-02,1.059072e-05,4.526056e-10
4.301327e-03,3.580553e-06,6.513885e-11
2.207384e-03,1.226376e-06,9.079518e-12
1.483027e-03,4.224969e-07,1.236792e-12
1.232453e-03,1.459066e-07,1.653024e-13
1.145775e-03,5.043586e-08,2.174266e-14
2.236732e-01,1.212308e-04,1.381791e-08
7.757283e-02,3.558774e-05,2.373738e-09
2.706703e-02,1.115200e-05,3.829947e-10
9.606579e-03,3.661675e-06,5.870478e-11
3.570070e-03,1.235378e-06,8.662654e-12
1.483027e-03,4.224969e-07,1.236792e-12
7.614498e-04,1.454041e-07,1.722206e-13
5.119683e-04,5.017771e-08,2.348299e-14
4.257113e-04,1.733545e-08,3.148029e-15
2.233184e-01,4.201617e-05,1.667901e-09
7.727184e-02,1.235055e-05,2.912031e-10
2.679415e-02,3.867434e-06,4.791943e-11
9.347263e-03,1.267895e-06,7.515903e-12
3.316859e-03,4.270963e-07,1.132606e-12
1.232453e-03,1.459066e-07,1.653024e-13
5.119683e-04,5.017771e-08,2.348299e-14
2.629274e-04,1.730756e-08,3.266687e-15
1.768437e-04,5.977361e-09,4.458719e-16
2.231954e-01,1.455706e-05,2.009430e-10
7.716728e-02,4.284824e-06,3.557066e-11
2.669941e-02,1.341099e-06,5.947798e-12
9.257355e-03,4.391643e-07,9.507740e-13
3.229192e-03,1.477636e-07,1.461709e-13
1.145775e-03,5.043586e-08,2.174266e-14
4.257113e-04,1.733545e-08,3.148029e-15
1.768437e-04,5.977361e-09,4.458719e-16
9.082989e-05,2.063881e-09,6.190071e-17
9.082989e-05,2.063881e-09,6.190071e-17
