G1,G2,G3
2.295336e-02,5.045144e-06,8.554317e-11
2.849911e-02,1.201891e-05,4.354679e-10
1.053684e-01,8.787396e-04,1.163707e-06
4.267274e-02,1.776497e-04,7.422981e-08
2.227725e-02,6.242716e-06,1.312129e-10
3.571458e-03,2.479068e-07,3.903627e-13
1.740515e-01,1.831552e-03,3.723673e-06
1.152480e-02,3.071324e-05,3.470386e-09
1.682568e-01,7.585942e-03,6.636107e-05
3.611248e-02,1.194997e-05,3.929652e-10
2.074774e-01,1.579895e-05,2.500150e-10
1.268197e-01,1.302792e-05,2.402118e-10
1.033191e-03,1.026372e-07,8.598530e-14
1.927933e-01,1.721000e-05,3.130995e-10
8.271549e-02,1.068085e-04,2.026643e-08
4.028339e-04,2.924252e-08,8.568360e-15
4.243405e-03,1.081344e-06,6.515742e-12
2.542586e-03,4.766530e-07,1.459102e-12
5.805368e-03,9.127162e-07,4.427438e-12
3.170624e-02,5.681315e-05,8.817742e-09
7.280872e-02,3.144625e-05,1.920846e-09
8.841391e-02,2.109346e-03,7.257320e-06
2.030941e-01,1.025918e-02,1.079330e-04
1.503747e-01,6.701418e-05,5.610646e-09
8.976432e-02,8.288686e-05,1.173019e-08
2.834836e-03,1.529111e-06,1.345729e-11
1.216122e-03,1.117064e-07,9.924350e-14
2.012193e-02,9.570995e-05,2.780083e-08
2.063124e-02,1.099482e-04,3.617491e-08
2.313209e-04,1.132633e-08,1.472522e-15
2.595575e-02,2.704839e-06,2.399682e-11
1.451326e-03,2.238291e-07,3.678136e-13
3.432409e-04,1.623505e-08,2.831981e-15
6.186141e-04,6.397245e-08,3.668531e-14
2.163660e-02,8.072275e-05,1.961051e-08
3.130001e-03,2.462760e-06,3.312609e-11
3.146888e-02,2.116537e-06,1.368528e-11
2.652513e-02,1.203918e-04,4.041762e-08
1.384253e-01,2.165874e-04,6.123787e-08
4.521434e-03,5.205154e-07,1.568816e-12
1.026700e-02,1.476220e-05,8.619706e-10
2.050828e-02,4.503262e-05,6.390202e-09
5.821937e-04,2.584760e-08,6.546800e-15
4.872799e-02,1.594866e-04,5.709781e-08
4.504002e-03,3.688379e-06,6.846489e-11
5.010674e-03,6.239964e-06,1.851046e-10
1.632672e-02,6.001362e-05,1.179960e-08
2.137165e-01,1.299984e-02,1.689682e-04
1.768837e-01,1.904819e-04,4.030461e-08
6.343129e-03,3.227268e-07,5.755214e-13
6.646550e-02,7.277386e-04,1.000211e-06
6.451528e-04,4.633289e-08,1.975440e-14
3.382845e-02,2.986466e-04,2.217534e-07
3.115734e-04,2.392269e-08,5.965998e-15
7.112988e-03,3.503032e-06,5.746184e-11
1.099210e-02,2.521857e-05,2.393282e-09
1.382056e-01,5.165989e-03,3.445694e-05
8.190971e-02,5.109210e-06,4.875078e-11
4.697667e-02,5.587116e-04,6.799817e-07
7.751421e-04,5.253394e-08,2.465492e-14
4.712457e-02,1.939072e-05,9.112535e-10
1.544509e-02,1.461480e-05,7.707169e-10
3.602964e-01,3.613327e-02,9.156284e-04
1.513036e-03,2.695144e-07,5.227359e-13
6.655605e-02,1.098898e-05,2.503403e-10
1.570143e-01,8.300480e-05,8.348366e-09
1.434013e-01,1.100935e-04,1.556253e-08
3.192039e-02,2.451649e-04,1.534333e-07
1.702396e-03,7.285020e-07,3.450507e-12
1.230574e-02,7.264846e-06,2.095204e-10
4.290053e-02,8.394483e-05,1.699579e-08
2.321517e-01,7.058975e-03,4.582412e-05
1.504096e-03,1.398525e-07,1.486324e-13
6.231952e-03,1.493668e-06,1.133076e-11
2.511244e-03,9.049110e-07,5.002417e-12
3.420105e-02,7.535483e-06,1.619392e-10
8.286225e-02,1.043830e-03,1.849491e-06
2.240714e-03,4.968835e-07,1.606762e-12
3.133216e-03,1.227765e-06,8.715657e-12
3.989364e-03,5.128621e-07,1.560835e-12
3.989364e-03,5.128621e-07,1.560835e-12
