R1,R2,R3
8.501000e+00,1.089700e+01,3.784000e+00
7.855600e+00,1.012600e+01,3.573000e+00
2.339500e+00,6.411300e+00,4.913100e+00
5.485500e+00,7.661900e+00,3.268700e+00
3.817000e+00,1.068500e+01,8.252200e+00
5.654800e+00,1.333800e+01,9.578900e+00
4.783200e+00,5.903300e+00,1.814300e+00
4.895300e+00,9.043300e+00,5.540400e+00
2.822000e+00,4.468500e+00,2.329900e+00
3.330400e+00,1.020400e+01,8.122900e+00
1.573100e+00,1.070500e+01,9.831400e+00
9.449700e+00,1.063400e+01,2.065800e+00
6.989000e+00,1.398400e+01,9.111600e+00
9.658900e+00,1.057900e+01,1.646600e+00
2.508300e+00,8.373400e+00,6.832600e+00
9.266200e+00,1.503900e+01,8.085500e+00
8.233200e+00,1.199500e+01,5.528600e+00
6.058000e+00,1.268000e+01,8.515200e+00
5.177200e+00,1.220400e+01,8.762000e+00
3.512900e+00,8.670700e+00,6.362900e+00
7.928000e+00,9.516600e+00,2.625900e+00
3.260400e+00,5.492300e+00,3.080800e+00
2.031500e+00,4.249800e+00,2.852700e+00
8.001300e+00,9.099700e+00,1.897600e+00
7.185900e+00,8.654200e+00,2.421000e+00
7.248700e+00,1.162400e+01,6.158800e+00
6.797900e+00,1.392400e+01,9.219300e+00
4.964800e+00,8.077600e+00,4.355800e+00
4.589000e+00,7.952300e+00,4.593600e+00
8.733800e+00,1.585300e+01,9.565000e+00
3.655400e+00,1.153400e+01,9.263700e+00
8.659300e+00,1.330800e+01,6.663900e+00
8.157300e+00,1.555800e+01,9.782500e+00
8.944300e+00,1.436600e+01,7.626100e+00
5.418000e+00,8.251100e+00,4.078100e+00
6.522400e+00,1.119900e+01,6.409300e+00
9.718800e+00,1.183500e+01,3.460900e+00
5.236500e+00,7.916700e+00,3.870800e+00
1.988900e+00,7.902000e+00,6.717600e+00
9.070300e+00,1.268500e+01,5.425400e+00
6.405000e+00,9.705300e+00,4.761500e+00
4.015700e+00,8.789000e+00,6.063800e+00
9.941300e+00,1.518300e+01,7.535500e+00
3.096000e+00,7.802800e+00,5.779700e+00
6.860400e+00,1.087100e+01,5.673300e+00
6.139900e+00,1.040100e+01,5.869200e+00
4.515400e+00,8.476700e+00,5.263100e+00
2.417900e+00,4.031700e+00,2.236200e+00
1.738400e+00,8.148900e+00,7.139500e+00
5.068500e+00,1.320000e+01,9.915000e+00
2.935200e+00,6.435500e+00,4.444600e+00
7.482400e+00,1.466200e+01,9.411000e+00
4.052900e+00,7.110900e+00,4.157900e+00
8.902700e+00,1.520100e+01,8.649000e+00
7.573500e+00,1.098300e+01,5.023400e+00
5.777700e+00,9.218900e+00,4.854000e+00
2.567400e+00,4.770900e+00,2.937500e+00
9.890400e+00,1.135100e+01,2.502900e+00
3.587100e+00,6.592700e+00,4.021400e+00
9.504600e+00,1.456500e+01,7.264200e+00
3.063800e+00,9.824700e+00,7.927700e+00
4.238000e+00,9.789400e+00,6.956300e+00
2.168200e+00,3.254100e+00,1.573600e+00
6.639900e+00,1.314200e+01,8.497800e+00
2.712200e+00,1.050900e+01,8.887000e+00
1.854800e+00,8.909900e+00,7.836500e+00
7.444900e+00,8.586000e+00,1.947500e+00
3.906700e+00,7.285000e+00,4.498300e+00
7.083300e+00,1.224900e+01,7.060200e+00
4.449400e+00,1.040100e+01,7.435800e+00
6.311500e+00,8.381100e+00,3.197700e+00
1.621500e+00,4.697400e+00,3.671800e+00
9.226300e+00,1.374300e+01,6.568000e+00
8.328600e+00,1.175600e+01,5.118900e+00
7.754100e+00,1.209000e+01,6.177000e+00
8.529800e+00,1.063200e+01,3.382000e+00
4.354000e+00,6.156700e+00,2.689900e+00
6.218800e+00,1.262700e+01,8.311000e+00
5.923600e+00,1.183700e+01,7.705300e+00
5.558000e+00,1.267800e+01,8.949800e+00
5.558000e+00,1.267800e+01,8.949800e+00
