R1,R2,R3,ETriat,E,ENew
5.500000,9.526279,5.500000,9.821729,9.746301,9.719023
5.500000,9.526279,5.500000,9.821729,9.746301,9.719023
5.500000,9.962429,6.000000,9.803928,9.744941,9.725218
6.000000,9.962429,5.500000,9.803928,9.744941,9.725218
5.500000,10.851267,7.000000,9.786916,9.741675,9.726481
7.000000,10.851267,5.500000,9.786916,9.741675,9.726481
5.500000,11.757976,8.000000,9.782556,9.741948,9.727948
8.000000,11.757976,5.500000,9.782556,9.741948,9.727948
5.500000,12.678722,9.000000,9.781589,9.742764,9.729019
9.000000,12.678722,5.500000,9.781589,9.742764,9.729019
5.500000,13.610658,10.000000,9.781360,9.743308,9.729638
10.000000,13.610658,5.500000,9.781360,9.743308,9.729638
5.500000,9.526279,5.500000,9.842682,9.767254,9.739976
5.500000,9.526279,5.500000,9.842682,9.767254,9.739976
5.500000,9.962429,6.000000,9.831684,9.772696,9.752974
6.000000,9.962429,5.500000,9.831684,9.772696,9.752974
5.500000,10.851267,7.000000,9.818481,9.773241,9.758046
7.000000,10.851267,5.500000,9.818481,9.773241,9.758046
5.500000,11.757976,8.000000,9.814394,9.773785,9.759785
8.000000,11.757976,5.500000,9.814394,9.773785,9.759785
5.500000,12.678722,9.000000,9.813427,9.774601,9.760857
9.000000,12.678722,5.500000,9.813427,9.774601,9.760857
5.500000,13.610658,10.000000,9.813197,9.775145,9.761475
10.000000,13.610658,5.500000,9.813197,9.775145,9.761475
