G1,G2,G3
2.900358e-02,7.191328e-04,1.608779e-05
3.668989e-02,1.166126e-03,2.976135e-05
1.160360e-01,1.091463e-02,9.284909e-04
2.593733e-02,4.264595e-04,5.405465e-06
3.563296e-02,5.297951e-04,6.400720e-06
1.121058e-02,1.253765e-04,1.398514e-06
6.323277e-02,2.832504e-03,1.112478e-04
2.485472e-02,5.614030e-04,1.173834e-05
1.650483e-01,2.705606e-02,4.406168e-03
2.628525e-01,6.834232e-02,1.754651e-02
1.589473e-02,2.056570e-04,2.413096e-06
2.766096e-02,6.533425e-04,1.216071e-05
6.688539e-02,3.311920e-03,1.381943e-04
1.630147e-01,8.837888e-03,3.817861e-04
1.637637e-02,2.063161e-04,2.277004e-06
4.731097e-02,1.844632e-03,6.479060e-05
5.122679e-02,1.250298e-03,2.378632e-05
2.488901e-02,5.054623e-04,8.697717e-06
1.135205e-01,4.547147e-03,1.456797e-04
1.328500e-01,1.717912e-02,2.149758e-03
6.093233e-02,1.697058e-03,3.806749e-05
8.031025e-02,6.002804e-03,3.983618e-04
8.860290e-03,7.554352e-05,6.261975e-07
7.898284e-02,5.020894e-03,2.855481e-04
6.029360e-02,2.072489e-03,5.811714e-05
7.607523e-02,5.563405e-03,3.936690e-04
3.937722e-02,1.372262e-03,4.347607e-05
5.204567e-02,2.503985e-03,1.121638e-04
1.443639e-01,1.964390e-02,2.566916e-03
2.379673e-01,5.636293e-02,1.329257e-02
1.068938e-02,1.111371e-04,1.118581e-06
1.868223e-02,2.714477e-04,3.539058e-06
1.034245e-01,1.028860e-02,9.632958e-04
7.420098e-02,1.086501e-03,1.220335e-05
1.589084e-02,2.470334e-04,3.725535e-06
1.210736e-02,1.216392e-04,1.116122e-06
1.504401e-02,1.660647e-04,1.619327e-06
4.026385e-02,1.189061e-03,2.854725e-05
3.090195e-02,8.443414e-04,1.792884e-05
3.889324e-02,1.238366e-03,3.590981e-05
1.227971e-02,1.485439e-04,1.771206e-06
9.190046e-02,6.669295e-03,4.349193e-04
3.234268e-01,1.033123e-01,3.252650e-02
4.229478e-02,1.731194e-03,6.798999e-05
5.745490e-02,2.294926e-03,7.793386e-05
1.129688e-02,1.226989e-04,1.270182e-06
2.537413e-02,6.100355e-04,1.394625e-05
7.782970e-02,1.454099e-03,2.124902e-05
2.023130e-02,3.701387e-04,5.735418e-06
5.602487e-02,2.916357e-03,1.358920e-04
1.557348e-01,2.158596e-02,2.771546e-03
5.076833e-02,8.504534e-04,1.093710e-05
2.502410e-02,4.915198e-04,8.076920e-06
2.730395e-02,5.810384e-04,1.024470e-05
3.069358e-01,9.332345e-02,2.815304e-02
7.129064e-02,1.819107e-03,3.686677e-05
9.249299e-02,3.909150e-03,1.349913e-04
2.533585e-02,3.877690e-04,4.979904e-06
1.085803e-02,1.130145e-04,1.141691e-06
2.277400e-01,4.058417e-02,6.500670e-03
2.592733e-02,4.959666e-04,8.231848e-06
5.571568e-02,1.283492e-03,2.388524e-05
1.381531e-02,1.904063e-04,2.618392e-06
2.703392e-02,6.241016e-04,1.329530e-05
3.221763e-02,9.583399e-04,2.713055e-05
2.104065e-02,3.156600e-04,4.071089e-06
3.489496e-02,8.986898e-04,2.029472e-05
2.681343e-02,3.352933e-04,3.440651e-06
2.109514e-01,3.246970e-02,4.400003e-03
2.729399e-02,7.349268e-04,1.944832e-05
2.484602e-02,4.896746e-04,7.877500e-06
9.224673e-02,7.891276e-03,6.406675e-04
4.049240e-02,1.595625e-03,6.142461e-05
2.422722e-02,4.430510e-04,6.118461e-06
1.094365e-01,3.076933e-03,6.779311e-05
6.513470e-02,1.757382e-03,3.849239e-05
3.596060e-02,1.258329e-03,4.270263e-05
3.396781e-02,1.111036e-03,3.427652e-05
1.610902e-02,2.448290e-04,3.378259e-06
1.340563e-01,1.686014e-02,1.997618e-03
7.133343e-02,2.193528e-03,5.493829e-05
8.664003e-02,4.608729e-03,2.086088e-04
3.328215e-02,5.104305e-04,6.328483e-06
5.515607e-02,9.441863e-04,1.250102e-05
1.089500e-01,1.050444e-02,9.195740e-04
3.100248e-02,5.095504e-04,6.903031e-06
1.407866e-02,1.864179e-04,2.373488e-06
1.827479e-01,3.332304e-02,6.061488e-03
1.275301e-02,1.536368e-04,1.720492e-06
1.026135e-01,7.732302e-03,5.125819e-04
1.400510e-01,1.599616e-02,1.660976e-03
4.415908e-02,1.039143e-03,2.005464e-05
3.862178e-02,1.015246e-03,2.320483e-05
2.142386e-02,4.414228e-04,8.638341e-06
5.682905e-02,3.156799e-03,1.715390e-04
2.536275e-02,6.119373e-04,1.372832e-05
4.739425e-02,2.192670e-03,9.948039e-05
3.631164e-02,9.683401e-04,2.273852e-05
4.723989e-02,7.058054e-04,8.199807e-06
9.412881e-02,7.669436e-03,5.680222e-04
1.003802e-01,5.242577e-03,2.279578e-04
1.856044e-01,3.339261e-02,5.741413e-03
4.380605e-02,1.306096e-03,3.225137e-05
6.766410e-02,2.976979e-03,1.094328e-04
1.169401e-01,1.102411e-02,9.164528e-04
5.041983e-02,9.303934e-04,1.369609e-05
7.067268e-02,2.316842e-03,6.233422e-05
7.334563e-02,3.370224e-03,1.313165e-04
3.349962e-02,8.816285e-04,2.087830e-05
7.444272e-02,3.873714e-03,1.762689e-04
7.117993e-02,4.447557e-03,2.568675e-04
7.975767e-02,4.991284e-03,2.784283e-04
1.271929e-01,1.209780e-02,1.016947e-03
8.320835e-02,3.061221e-03,9.131459e-05
5.440232e-02,1.700330e-03,4.464135e-05
6.203353e-02,3.613157e-03,1.959012e-04
2.140865e-02,4.262625e-04,7.864513e-06
4.098698e-02,1.530430e-03,5.339732e-05
4.114428e-02,9.641244e-04,1.806291e-05
1.702817e-02,2.835955e-04,4.635808e-06
2.981901e-02,8.467206e-04,2.258668e-05
3.722832e-02,1.177937e-03,3.349548e-05
8.414633e-02,1.830058e-03,3.114989e-05
3.780499e-02,8.896247e-04,1.780378e-05
1.876312e-02,3.351148e-04,5.704815e-06
1.993214e-02,3.220164e-04,4.265718e-06
3.658616e-02,1.324738e-03,4.750622e-05
3.860498e-02,1.449163e-03,5.235045e-05
1.763423e-01,3.031086e-02,5.069820e-03
2.828591e-02,4.970638e-04,7.169677e-06
1.018072e-01,1.009155e-02,9.772188e-04
4.843542e-02,1.609094e-03,4.309300e-05
2.170759e-01,4.693229e-02,1.010273e-02
1.460745e-02,1.987764e-04,2.404184e-06
3.109532e-02,8.823940e-04,2.096094e-05
2.089925e-02,3.116386e-04,4.035421e-06
1.803345e-02,2.436319e-04,2.862973e-06
1.910835e-02,3.413110e-04,5.691994e-06
2.902249e-02,8.175429e-04,2.234406e-05
4.957013e-02,1.317674e-03,2.893670e-05
1.113268e-01,5.324399e-03,2.067604e-04
3.802658e-02,1.117400e-03,2.786330e-05
3.296245e-02,8.631030e-04,2.037402e-05
9.882291e-02,6.228205e-03,3.365210e-04
3.630803e-02,1.107135e-03,3.094033e-05
2.936128e-02,5.349679e-04,8.020980e-06
8.429476e-02,3.566506e-03,1.247000e-04
1.948871e-01,3.695513e-02,6.779852e-03
1.038816e-01,1.571241e-03,1.828097e-05
1.632102e-02,2.476752e-04,3.296498e-06
1.047040e-01,1.013574e-02,8.991596e-04
1.396806e-01,1.264146e-02,9.749738e-04
4.547414e-02,9.405145e-04,1.579685e-05
5.084144e-02,2.433844e-03,1.062464e-04
1.165650e-01,6.529659e-03,3.001735e-04
1.510101e-02,2.133074e-04,2.713422e-06
3.820712e-02,1.261677e-03,3.829275e-05
1.408333e-02,1.757358e-04,1.979235e-06
1.052214e-01,1.718345e-03,2.160577e-05
5.343731e-02,2.642035e-03,1.225244e-04
1.599902e-02,2.374153e-04,3.347824e-06
4.799710e-02,2.199268e-03,9.697571e-05
2.514220e-01,6.134217e-02,1.463411e-02
3.045765e-02,4.139768e-04,4.541515e-06
5.637068e-02,2.950087e-03,1.371343e-04
2.147521e-02,3.938368e-04,6.180570e-06
6.545570e-02,3.607519e-03,1.820189e-04
7.893044e-02,5.612799e-03,3.549974e-04
1.372787e-01,5.570236e-03,1.788523e-04
6.135367e-02,2.657629e-03,9.831342e-05
2.115687e-01,4.180227e-02,7.865258e-03
4.381618e-02,1.138593e-03,2.409033e-05
1.678601e-02,2.538900e-04,3.615248e-06
8.916726e-02,7.817227e-03,6.718335e-04
8.187655e-03,6.659862e-05,5.378425e-07
8.837644e-02,7.320562e-03,5.741327e-04
3.690660e-02,1.357686e-03,4.979480e-05
8.300554e-02,6.496973e-03,4.606832e-04
