R1,R2,R3
7.672900e+00,5.962000e+00,8.440000e+00
8.591700e+00,6.629400e+00,5.623500e+00
5.606000e+00,5.300900e+00,3.057000e+00
8.538000e+00,9.990400e+00,5.727800e+00
9.560500e+00,4.815100e+00,9.542600e+00
8.860700e+00,8.914900e+00,9.184600e+00
7.035800e+00,7.114500e+00,4.057200e+00
8.513600e+00,7.720200e+00,6.471500e+00
3.321900e+00,3.639800e+00,3.887800e+00
3.113000e+00,2.383400e+00,2.589400e+00
9.536400e+00,9.292100e+00,7.040700e+00
6.142300e+00,7.235300e+00,9.257000e+00
4.014400e+00,6.363100e+00,7.396200e+00
7.099800e+00,6.950600e+00,1.690900e+00
9.211700e+00,6.882800e+00,9.890800e+00
7.476300e+00,4.889400e+00,6.923000e+00
8.067900e+00,4.154900e+00,9.070000e+00
7.918800e+00,9.210000e+00,6.176100e+00
7.704900e+00,7.529600e+00,2.433700e+00
3.575500e+00,4.753600e+00,3.955700e+00
8.567800e+00,7.999400e+00,3.785100e+00
4.818900e+00,6.444600e+00,4.392800e+00
9.768500e+00,9.997400e+00,8.801300e+00
6.522900e+00,3.815300e+00,5.984000e+00
8.175900e+00,3.943400e+00,7.386800e+00
5.353900e+00,5.816000e+00,4.510100e+00
5.459000e+00,7.753900e+00,6.873700e+00
6.130100e+00,6.986500e+00,5.074500e+00
4.277700e+00,3.093100e+00,4.559300e+00
3.071500e+00,2.947800e+00,2.621800e+00
9.025700e+00,8.594900e+00,9.786300e+00
9.249300e+00,9.222000e+00,6.632000e+00
5.527700e+00,4.162200e+00,4.200400e+00
9.511500e+00,3.148600e+00,9.967500e+00
8.008100e+00,8.982500e+00,8.010000e+00
9.798000e+00,7.625300e+00,9.988000e+00
6.975700e+00,9.777600e+00,9.913700e+00
5.022100e+00,7.286000e+00,8.619800e+00
6.697200e+00,6.131100e+00,9.029900e+00
7.582300e+00,7.625000e+00,5.261700e+00
8.394900e+00,9.235200e+00,8.857600e+00
3.473200e+00,6.129200e+00,5.878300e+00
2.173200e+00,2.730100e+00,1.948100e+00
5.827500e+00,6.229400e+00,7.135400e+00
6.973700e+00,7.716000e+00,4.229600e+00
8.403900e+00,8.909800e+00,9.839000e+00
7.501000e+00,8.224900e+00,6.634700e+00
9.285600e+00,3.088000e+00,9.144800e+00
9.480500e+00,7.661900e+00,6.995300e+00
5.627700e+00,7.119500e+00,5.060100e+00
2.713100e+00,4.821700e+00,4.241900e+00
4.022000e+00,9.007500e+00,9.817200e+00
6.084900e+00,8.046300e+00,9.321800e+00
5.899400e+00,7.870100e+00,9.208000e+00
2.007700e+00,2.560800e+00,2.571700e+00
8.316800e+00,3.369100e+00,8.730500e+00
2.949800e+00,7.308500e+00,7.562300e+00
9.090500e+00,9.606900e+00,5.722800e+00
8.365700e+00,9.588900e+00,9.411400e+00
4.213100e+00,4.217400e+00,1.641200e+00
8.431900e+00,9.084400e+00,5.898700e+00
8.534700e+00,8.832500e+00,3.917300e+00
8.381700e+00,8.622900e+00,8.701300e+00
8.113000e+00,8.256900e+00,6.086300e+00
7.421400e+00,7.617500e+00,5.990800e+00
2.300100e+00,1.770900e+00,2.370800e+00
9.609800e+00,6.269700e+00,8.943700e+00
5.303000e+00,8.379800e+00,7.927500e+00
5.436600e+00,9.781200e+00,9.941900e+00
4.458900e+00,1.687000e+00,4.706400e+00
6.999300e+00,6.966400e+00,7.729800e+00
9.442000e+00,7.932400e+00,6.128600e+00
3.914500e+00,5.613200e+00,5.178300e+00
5.867000e+00,6.571800e+00,6.956600e+00
6.101200e+00,9.903200e+00,8.004000e+00
1.882800e+00,2.445000e+00,2.295800e+00
8.283900e+00,2.420600e+00,8.493600e+00
8.326900e+00,8.397600e+00,3.605600e+00
6.628300e+00,7.334900e+00,6.159300e+00
6.430600e+00,7.736600e+00,6.394900e+00
9.512200e+00,7.974100e+00,7.710000e+00
3.254300e+00,4.987400e+00,4.189900e+00
8.148100e+00,8.029100e+00,3.441400e+00
6.724500e+00,6.948700e+00,3.276900e+00
4.998600e+00,9.731700e+00,9.210600e+00
9.033800e+00,9.707500e+00,3.838100e+00
5.728900e+00,3.424500e+00,4.829800e+00
5.221400e+00,9.512900e+00,9.032800e+00
7.731600e+00,9.081900e+00,9.088800e+00
3.309500e+00,3.305400e+00,3.596700e+00
8.060500e+00,9.814400e+00,8.670900e+00
5.841800e+00,6.172600e+00,3.137700e+00
4.992000e+00,5.117000e+00,2.691700e+00
8.268200e+00,4.517600e+00,8.848300e+00
8.200400e+00,8.146500e+00,4.995400e+00
8.594800e+00,7.155100e+00,7.568700e+00
5.249400e+00,6.288400e+00,5.803600e+00
7.176500e+00,6.779800e+00,8.435800e+00
5.570500e+00,6.300000e+00,6.560600e+00
8.234100e+00,7.933500e+00,5.215300e+00
9.325100e+00,9.944400e+00,4.153300e+00
6.015900e+00,5.290600e+00,3.640200e+00
6.952500e+00,6.961200e+00,2.859000e+00
3.110600e+00,2.986700e+00,4.222800e+00
4.749800e+00,8.463800e+00,7.470300e+00
3.828400e+00,6.814200e+00,7.597800e+00
5.873200e+00,3.039000e+00,5.077800e+00
4.069600e+00,9.340300e+00,8.986900e+00
7.993500e+00,3.495500e+00,7.877000e+00
6.908000e+00,3.628900e+00,7.338900e+00
5.481500e+00,8.037500e+00,8.034600e+00
6.799600e+00,6.773200e+00,3.714200e+00
5.905600e+00,4.232100e+00,6.396200e+00
3.747100e+00,6.088100e+00,6.537500e+00
5.687200e+00,2.734500e+00,5.360200e+00
7.541500e+00,3.145400e+00,7.915500e+00
8.092300e+00,4.153200e+00,7.788200e+00
5.602800e+00,4.833400e+00,6.639600e+00
8.805500e+00,7.801300e+00,6.899500e+00
5.470400e+00,7.415500e+00,6.789600e+00
9.068300e+00,4.708100e+00,8.066900e+00
8.311800e+00,7.641200e+00,8.610400e+00
8.028700e+00,6.957400e+00,6.410200e+00
7.183000e+00,5.448400e+00,7.976800e+00
2.947500e+00,9.035700e+00,8.770200e+00
8.625400e+00,8.298700e+00,4.948100e+00
8.808700e+00,8.068100e+00,7.271600e+00
9.827700e+00,8.285000e+00,6.617100e+00
6.267500e+00,6.956400e+00,6.685400e+00
7.292600e+00,6.101700e+00,6.320800e+00
3.479600e+00,4.108500e+00,2.980800e+00
8.636600e+00,9.525200e+00,5.529500e+00
4.713400e+00,5.118000e+00,4.030200e+00
4.561700e+00,7.143500e+00,8.399100e+00
3.008000e+00,3.310300e+00,2.871600e+00
7.809800e+00,9.846200e+00,8.220600e+00
6.618200e+00,8.661000e+00,6.266500e+00
9.523000e+00,6.282400e+00,9.035400e+00
9.778000e+00,6.647800e+00,9.101500e+00
8.038900e+00,8.968300e+00,7.145700e+00
6.541100e+00,7.746100e+00,7.130700e+00
4.290300e+00,8.072200e+00,8.538300e+00
7.335200e+00,7.083000e+00,2.549700e+00
8.426900e+00,7.335300e+00,5.214200e+00
7.949500e+00,5.534200e+00,8.118800e+00
3.048700e+00,6.380000e+00,6.565000e+00
7.546100e+00,5.456400e+00,7.764400e+00
5.453600e+00,8.577700e+00,9.435600e+00
3.186500e+00,7.512100e+00,7.280600e+00
3.989000e+00,3.196100e+00,2.802500e+00
9.708400e+00,9.675600e+00,2.435300e+00
9.698900e+00,7.913100e+00,7.633300e+00
3.707800e+00,5.718800e+00,4.601500e+00
2.373100e+00,5.517500e+00,5.975600e+00
8.669000e+00,9.074800e+00,4.367600e+00
5.342000e+00,7.186900e+00,5.770600e+00
2.513600e+00,6.707700e+00,7.001000e+00
8.197100e+00,9.699000e+00,7.738500e+00
7.694300e+00,5.431400e+00,7.214800e+00
7.526500e+00,9.866100e+00,8.873000e+00
9.473200e+00,9.594900e+00,2.417000e+00
6.859600e+00,6.141000e+00,5.013800e+00
9.094100e+00,8.703100e+00,7.417200e+00
6.293700e+00,6.802000e+00,5.386400e+00
2.173300e+00,3.221200e+00,3.054300e+00
9.966300e+00,9.478200e+00,5.160000e+00
5.066500e+00,5.569800e+00,7.152800e+00
6.592600e+00,9.390100e+00,8.005500e+00
4.284800e+00,6.314700e+00,6.623300e+00
5.213500e+00,4.170000e+00,6.503300e+00
2.000900e+00,7.578800e+00,7.678200e+00
6.804000e+00,7.533400e+00,4.117300e+00
3.922000e+00,2.288300e+00,3.480300e+00
8.769700e+00,7.884000e+00,4.613700e+00
7.199800e+00,8.832900e+00,9.028000e+00
4.466900e+00,5.388200e+00,4.755900e+00
9.372100e+00,9.937000e+00,9.562300e+00
5.762500e+00,5.093600e+00,4.069200e+00
6.767500e+00,6.657300e+00,6.390400e+00
4.439300e+00,6.247200e+00,4.679100e+00
4.099000e+00,4.361000e+00,2.684000e+00
7.167700e+00,8.429300e+00,7.522300e+00
5.506800e+00,6.377000e+00,7.017300e+00
3.094100e+00,7.975100e+00,8.358000e+00
6.756700e+00,9.156600e+00,8.520000e+00
8.105700e+00,7.526700e+00,6.095200e+00
1.628700e+00,6.320800e+00,6.373200e+00
5.972900e+00,6.049800e+00,3.116000e+00
5.107800e+00,7.274900e+00,5.267300e+00
9.646800e+00,8.266700e+00,8.349700e+00
8.778500e+00,5.620400e+00,7.133700e+00
7.265200e+00,6.887700e+00,2.877100e+00
7.231500e+00,5.538900e+00,5.490300e+00
