R1,R2,R3
3.549600e+00,5.635100e+00,2.088300e+00
5.573400e+00,1.204200e+01,7.719100e+00
7.550900e+00,1.508100e+01,9.038300e+00
8.569000e+00,1.261800e+01,4.489600e+00
7.781000e+00,1.561000e+01,9.686800e+00
8.132000e+00,1.430600e+01,6.190300e+00
7.503400e+00,1.656400e+01,9.187800e+00
4.470200e+00,1.243900e+01,8.717600e+00
9.436700e+00,1.275600e+01,3.653800e+00
6.063700e+00,9.473500e+00,6.317200e+00
8.278000e+00,9.218300e+00,2.569900e+00
3.292500e+00,8.582500e+00,5.727400e+00
6.373000e+00,1.196200e+01,5.755200e+00
4.242700e+00,1.360200e+01,9.893400e+00
7.751800e+00,1.259300e+01,4.892600e+00
2.445500e+00,7.081500e+00,5.246600e+00
6.951800e+00,9.253300e+00,4.251200e+00
4.917900e+00,9.423100e+00,6.262700e+00
4.706000e+00,5.604300e+00,1.881100e+00
7.902400e+00,1.036800e+01,4.669100e+00
6.496900e+00,9.144000e+00,4.032400e+00
9.910900e+00,1.313100e+01,3.241100e+00
9.566300e+00,1.668200e+01,7.214600e+00
6.169100e+00,9.051500e+00,6.506400e+00
1.525500e+00,3.776700e+00,3.091500e+00
4.375800e+00,5.397300e+00,1.919900e+00
1.847500e+00,8.668300e+00,6.860700e+00
9.568900e+00,1.305900e+01,4.393000e+00
9.856100e+00,1.065100e+01,2.538600e+00
4.913800e+00,8.034000e+00,5.528700e+00
1.547700e+00,5.769300e+00,4.423800e+00
6.632400e+00,1.327400e+01,6.699200e+00
3.958300e+00,1.108800e+01,7.502100e+00
1.865000e+00,4.926100e+00,4.162900e+00
9.214700e+00,1.646800e+01,9.134200e+00
3.304900e+00,8.925800e+00,6.291600e+00
5.241900e+00,1.202400e+01,8.392200e+00
5.049900e+00,9.625200e+00,7.444500e+00
4.976100e+00,1.391300e+01,9.499300e+00
3.688800e+00,7.478300e+00,5.511500e+00
9.000900e+00,1.043000e+01,2.781200e+00
3.095900e+00,1.152200e+01,8.866700e+00
2.072200e+00,5.448600e+00,4.858500e+00
5.039500e+00,1.074800e+01,7.176800e+00
4.254600e+00,9.445300e+00,5.442100e+00
6.213300e+00,1.250100e+01,8.431700e+00
4.437100e+00,7.911000e+00,5.687900e+00
7.920200e+00,1.018100e+01,3.681800e+00
7.377200e+00,1.073800e+01,3.379700e+00
8.153400e+00,1.182500e+01,5.364700e+00
3.632700e+00,5.087900e+00,2.266500e+00
8.015900e+00,1.316000e+01,5.861600e+00
4.873400e+00,9.642800e+00,4.771600e+00
4.526400e+00,1.172000e+01,8.810500e+00
9.636500e+00,1.789900e+01,8.870100e+00
7.805800e+00,1.238600e+01,4.619500e+00
8.174500e+00,1.521900e+01,9.277300e+00
8.140600e+00,1.242400e+01,4.290400e+00
1.596700e+00,9.638900e+00,8.236200e+00
7.762000e+00,1.445900e+01,6.728300e+00
3.664000e+00,1.338400e+01,9.934000e+00
3.377500e+00,9.986900e+00,6.633900e+00
9.995800e+00,1.779800e+01,7.821100e+00
3.379300e+00,1.079500e+01,7.613800e+00
5.756000e+00,9.078600e+00,5.488900e+00
1.941300e+00,7.499900e+00,5.848900e+00
7.704200e+00,1.171600e+01,4.080200e+00
4.025700e+00,7.785200e+00,6.605800e+00
5.177000e+00,7.045100e+00,1.889800e+00
5.129800e+00,6.373100e+00,1.535000e+00
8.561100e+00,1.239100e+01,7.763200e+00
5.511200e+00,1.049200e+01,5.958700e+00
6.611100e+00,7.407300e+00,2.107700e+00
3.047300e+00,5.392500e+00,2.350600e+00
6.675100e+00,8.127100e+00,1.579100e+00
6.479800e+00,1.293300e+01,7.310100e+00
3.934700e+00,8.528100e+00,5.947600e+00
7.881800e+00,1.020100e+01,2.328000e+00
2.181300e+00,1.144200e+01,9.729800e+00
1.719600e+00,1.092200e+01,9.250200e+00
5.431800e+00,6.805500e+00,3.019100e+00
6.351400e+00,9.811100e+00,3.877300e+00
5.909500e+00,1.107900e+01,7.211400e+00
3.195000e+00,8.443700e+00,7.124600e+00
5.396400e+00,1.046100e+01,5.458400e+00
5.925700e+00,8.135800e+00,2.443500e+00
4.595000e+00,6.739200e+00,2.189000e+00
2.595400e+00,9.569300e+00,7.786600e+00
8.700400e+00,1.528900e+01,7.327400e+00
8.644100e+00,1.157800e+01,4.138800e+00
6.584100e+00,1.129800e+01,5.172900e+00
3.897400e+00,4.928200e+00,2.016900e+00
5.378600e+00,9.069500e+00,6.790400e+00
4.004300e+00,7.510900e+00,5.945000e+00
9.621100e+00,1.487800e+01,7.551700e+00
7.519500e+00,1.468200e+01,7.168800e+00
2.215000e+00,1.022600e+01,8.709700e+00
5.140700e+00,6.828800e+00,4.469700e+00
5.120600e+00,9.873600e+00,4.921700e+00
7.431600e+00,1.168300e+01,7.858300e+00
4.606400e+00,6.141700e+00,1.559400e+00
9.784800e+00,1.078500e+01,3.572000e+00
4.713800e+00,9.053500e+00,4.646100e+00
2.927500e+00,1.098900e+01,8.745000e+00
8.094500e+00,1.325200e+01,5.568900e+00
5.562600e+00,8.836200e+00,3.274900e+00
5.097900e+00,1.028500e+01,7.082100e+00
6.067300e+00,8.450800e+00,2.405100e+00
5.329600e+00,1.415100e+01,8.821300e+00
2.256500e+00,4.885600e+00,2.681900e+00
7.532900e+00,8.858500e+00,4.035400e+00
2.333700e+00,4.812900e+00,2.969300e+00
1.696800e+00,8.011900e+00,6.873600e+00
4.400500e+00,7.869800e+00,6.130800e+00
7.636400e+00,1.740300e+01,9.821600e+00
8.009400e+00,1.240900e+01,7.799000e+00
7.263000e+00,8.309800e+00,1.834000e+00
5.583300e+00,7.996500e+00,2.718800e+00
3.245500e+00,6.588200e+00,4.521800e+00
5.194400e+00,1.206300e+01,6.952300e+00
3.781000e+00,5.311200e+00,3.442600e+00
8.472600e+00,9.618200e+00,2.292200e+00
9.155800e+00,1.122200e+01,2.124800e+00
8.768400e+00,1.283900e+01,4.870600e+00
9.648800e+00,1.356800e+01,7.239500e+00
7.827700e+00,9.106900e+00,1.502800e+00
8.620000e+00,1.154100e+01,3.643100e+00
6.817900e+00,1.335400e+01,9.833400e+00
2.612300e+00,1.082400e+01,8.661200e+00
1.827800e+00,3.806300e+00,3.120800e+00
5.590100e+00,6.090300e+00,1.735800e+00
5.954200e+00,8.362500e+00,3.773200e+00
3.222100e+00,1.014800e+01,7.621700e+00
1.980800e+00,1.137900e+01,9.489200e+00
7.438000e+00,1.136600e+01,3.929900e+00
7.194800e+00,1.290200e+01,6.901200e+00
7.104700e+00,1.145800e+01,6.401400e+00
8.293300e+00,1.141600e+01,5.914900e+00
9.881200e+00,1.337000e+01,3.560100e+00
4.466500e+00,1.181300e+01,7.671200e+00
9.933900e+00,1.210500e+01,5.781200e+00
5.719700e+00,1.100300e+01,5.478500e+00
7.040200e+00,9.633000e+00,2.693700e+00
6.804200e+00,9.410700e+00,3.065800e+00
9.186100e+00,1.643100e+01,7.565500e+00
9.575500e+00,1.270600e+01,6.284900e+00
7.171700e+00,7.552400e+00,1.785700e+00
7.563400e+00,1.382900e+01,6.656400e+00
5.791600e+00,1.148100e+01,8.074600e+00
3.566000e+00,1.197100e+01,9.221100e+00
2.801200e+00,4.281800e+00,2.809200e+00
2.835100e+00,8.375900e+00,6.219000e+00
4.801000e+00,9.324400e+00,6.098800e+00
6.901600e+00,1.148400e+01,4.584300e+00
3.032900e+00,6.603000e+00,3.638400e+00
6.718500e+00,8.223200e+00,2.654300e+00
4.142400e+00,6.186100e+00,3.175600e+00
2.115500e+00,5.722700e+00,3.609100e+00
9.043900e+00,1.525400e+01,6.297000e+00
5.742300e+00,9.191800e+00,3.806800e+00
6.707000e+00,9.242900e+00,3.672900e+00
4.303900e+00,9.693800e+00,8.486800e+00
8.189000e+00,1.614200e+01,8.025400e+00
3.498500e+00,5.001200e+00,1.513800e+00
5.320000e+00,1.351300e+01,9.162900e+00
3.788800e+00,9.824200e+00,8.553000e+00
6.554100e+00,8.427900e+00,1.942300e+00
1.663700e+00,4.781500e+00,4.057900e+00
9.681900e+00,1.505400e+01,9.357400e+00
9.768900e+00,1.894800e+01,9.647200e+00
8.778700e+00,1.491300e+01,6.522400e+00
1.745500e+00,1.151500e+01,9.913600e+00
3.155800e+00,1.007200e+01,7.319600e+00
4.281900e+00,1.167600e+01,8.528000e+00
4.369000e+00,1.168300e+01,8.153600e+00
6.392000e+00,1.338000e+01,7.069800e+00
2.396500e+00,9.273300e+00,7.663300e+00
7.964500e+00,1.460900e+01,7.098500e+00
5.739000e+00,9.568800e+00,3.997300e+00
2.977800e+00,6.437800e+00,3.531500e+00
3.527600e+00,4.952000e+00,3.087400e+00
2.557000e+00,7.352600e+00,6.181200e+00
8.085400e+00,9.840800e+00,4.498100e+00
9.503400e+00,1.150000e+01,3.189700e+00
2.144900e+00,9.574700e+00,7.659800e+00
9.557500e+00,1.524600e+01,7.002100e+00
9.067600e+00,1.023200e+01,1.715600e+00
7.076200e+00,1.471100e+01,8.635900e+00
8.953300e+00,1.202900e+01,3.297300e+00
2.626400e+00,7.811400e+00,5.185300e+00
5.496000e+00,1.128400e+01,7.753400e+00
9.373600e+00,1.186000e+01,5.558000e+00
4.792900e+00,6.457800e+00,3.830000e+00
7.660500e+00,1.188000e+01,5.814400e+00
7.025900e+00,1.480300e+01,7.831300e+00
7.794700e+00,1.012100e+01,6.325900e+00
6.307600e+00,1.245800e+01,7.645800e+00
7.073700e+00,8.625000e+00,1.778400e+00
9.689000e+00,1.456300e+01,4.875200e+00
2.001100e+00,3.584800e+00,2.458800e+00
1.724800e+00,4.654600e+00,4.146000e+00
6.646200e+00,1.505200e+01,9.292000e+00
9.943800e+00,1.667200e+01,6.736900e+00
7.442500e+00,1.639900e+01,9.327200e+00
8.887400e+00,1.618000e+01,8.207200e+00
3.945200e+00,7.641400e+00,6.343100e+00
5.225900e+00,9.543900e+00,4.333600e+00
2.883300e+00,1.093200e+01,9.927900e+00
9.117400e+00,1.043000e+01,1.689900e+00
2.270000e+00,4.233200e+00,3.072600e+00
9.449700e+00,1.173200e+01,3.267700e+00
9.535900e+00,1.486400e+01,6.077900e+00
4.068400e+00,8.428200e+00,6.934100e+00
9.297600e+00,1.559400e+01,6.335300e+00
2.516800e+00,9.506800e+00,8.365600e+00
7.811400e+00,8.455900e+00,2.510300e+00
8.436200e+00,1.092500e+01,2.942500e+00
6.535100e+00,8.853700e+00,2.417000e+00
3.821900e+00,5.462100e+00,3.723400e+00
3.850200e+00,8.487300e+00,6.852900e+00
8.589400e+00,1.597500e+01,8.088900e+00
5.897100e+00,6.996500e+00,2.147000e+00
5.703500e+00,1.499400e+01,9.304900e+00
6.663400e+00,1.488500e+01,8.470600e+00
4.479300e+00,5.279800e+00,1.614600e+00
