G1,G2,G3
4.696804e-02,1.098343e-05,4.388778e-10
8.014792e-04,1.314413e-07,3.215527e-14
1.865123e-01,1.679946e-03,3.574447e-06
8.288406e-02,1.809650e-04,3.114849e-08
1.970463e-02,6.289502e-05,3.805570e-09
5.136100e-02,3.485822e-06,2.903846e-11
1.980078e-01,8.150201e-04,8.290379e-07
8.566337e-02,5.850932e-04,3.243638e-07
2.483442e-01,1.299221e-02,1.142182e-04
4.669682e-03,1.890112e-06,7.734849e-11
1.812511e-01,3.505361e-04,9.754032e-08
6.583157e-03,3.435036e-06,2.669086e-11
1.195870e-02,1.415892e-05,1.398452e-09
9.069101e-02,3.509639e-04,1.188029e-07
1.411353e-01,5.142356e-03,2.048331e-05
2.248374e-03,5.566600e-07,7.235549e-13
1.602271e-01,7.371791e-03,9.008112e-05
1.289629e-01,6.238448e-05,5.699998e-09
1.642981e-04,6.170207e-09,3.391802e-16
8.761335e-03,1.414739e-05,2.392290e-10
1.328914e-02,3.955836e-05,1.729039e-09
3.587164e-03,1.770809e-06,7.702431e-11
3.597204e-02,2.692580e-06,3.187497e-11
1.574153e-02,1.164831e-05,5.419215e-10
2.713842e-03,2.433670e-07,6.096357e-14
1.188974e-01,3.557614e-04,1.020503e-07
7.094323e-03,1.103210e-05,9.634505e-10
9.439142e-03,1.621429e-06,5.039068e-12
1.235954e-02,1.694242e-05,4.366016e-10
5.376359e-02,2.059520e-04,4.649598e-08
3.015187e-04,1.605942e-08,4.530632e-16
1.548988e-01,7.817675e-04,5.951812e-07
1.315685e-01,7.321646e-04,9.330566e-07
1.859977e-03,6.495133e-07,4.202612e-13
1.692254e-02,2.680591e-06,1.586192e-11
9.691706e-03,3.241657e-06,2.670955e-11
9.403616e-02,2.608904e-04,5.690970e-08
7.622565e-03,9.970020e-06,5.616737e-10
2.332265e-02,6.483291e-05,3.037640e-08
1.147753e-02,8.120401e-06,3.913182e-10
2.726569e-02,1.218382e-05,6.325891e-10
1.465128e-01,4.316371e-03,1.483977e-05
5.347680e-02,1.474073e-05,3.225381e-10
3.791381e-02,3.592554e-05,1.218190e-09
1.326266e-01,2.416334e-03,1.022372e-05
1.556866e-02,5.034063e-05,2.190831e-08
3.010144e-02,1.061086e-05,1.068602e-10
1.779087e-01,1.585021e-03,1.839899e-06
1.078183e-03,2.358072e-07,1.002409e-13
3.125502e-02,1.390470e-04,4.260475e-08
1.669076e-02,1.574633e-06,3.289124e-12
5.003060e-03,1.334685e-06,8.082661e-12
7.169913e-02,2.816946e-05,6.918859e-10
3.227162e-03,1.043437e-06,2.110070e-12
1.532729e-01,1.560211e-05,3.029359e-10
1.592988e-01,9.661032e-05,1.048521e-08
4.066447e-04,2.527024e-08,1.351583e-15
5.006759e-03,3.133126e-07,7.378764e-13
2.065216e-01,1.491747e-05,1.860697e-10
3.920709e-04,3.296841e-08,1.646236e-14
3.143642e-03,6.384009e-07,4.258880e-13
6.788986e-03,8.953985e-06,6.630969e-10
4.742189e-02,1.465808e-04,3.516903e-08
5.292091e-02,2.692346e-05,1.691585e-09
6.451543e-02,3.596350e-05,1.401672e-09
1.251089e-01,4.171504e-03,1.798271e-05
7.222441e-02,6.669993e-05,5.829702e-09
1.025103e-01,1.058179e-05,1.226851e-10
2.079438e-02,1.089463e-04,1.914738e-08
5.203490e-04,4.256306e-08,4.320155e-14
9.473829e-02,5.048951e-06,3.001872e-11
1.187450e-01,2.985909e-05,1.564499e-09
1.053517e-03,6.842371e-08,4.674753e-15
2.665736e-02,9.547709e-06,9.307644e-11
5.180093e-03,1.104853e-06,1.286237e-12
2.618246e-01,9.795197e-03,9.280593e-05
1.854734e-04,8.089761e-09,8.232145e-17
3.026317e-02,2.802951e-05,9.085238e-10
6.222564e-03,5.733193e-07,4.534529e-12
1.614107e-01,6.117826e-03,4.801966e-05
9.859606e-02,2.688532e-05,1.151270e-09
2.768784e-02,2.157207e-05,3.192377e-09
2.021132e-01,1.290550e-04,1.364626e-08
2.130614e-02,2.197555e-05,3.280074e-09
5.001445e-02,6.560062e-05,1.845925e-08
7.703178e-03,1.077937e-06,1.710903e-12
4.603413e-03,5.048256e-06,2.687875e-10
1.626852e-01,7.599545e-03,7.807037e-05
4.498865e-03,3.321433e-06,1.214504e-11
2.415558e-02,3.171621e-05,3.920683e-09
7.730789e-02,2.415582e-04,1.064703e-07
1.161318e-02,2.718510e-05,1.531681e-09
1.525086e-01,7.331103e-05,4.703307e-09
3.639949e-02,1.665073e-04,3.636715e-08
1.050409e-03,6.218358e-08,9.056578e-14
5.600144e-02,7.772122e-04,7.507448e-07
8.790468e-03,1.504478e-05,8.143751e-10
1.515056e-01,1.967048e-03,2.948541e-06
1.751380e-02,5.990561e-05,4.623564e-09
9.018591e-04,7.804531e-08,1.365890e-13
5.984545e-04,4.152412e-08,8.060506e-15
1.970032e-01,2.716141e-04,6.142800e-08
6.148729e-04,4.792596e-08,9.646319e-15
1.030143e-01,2.867821e-05,1.049869e-09
1.922737e-03,2.612702e-07,1.127166e-13
5.630023e-02,4.565478e-06,2.132161e-11
2.767671e-03,1.214291e-06,1.934833e-12
9.784280e-04,1.281345e-07,6.116599e-13
2.751059e-02,8.678967e-05,1.857034e-08
6.767401e-02,1.298726e-05,3.190096e-10
1.198168e-01,4.586456e-05,2.781432e-09
1.143945e-02,2.190612e-05,6.285628e-09
1.735886e-02,6.912480e-05,1.349563e-08
4.496070e-02,3.697032e-06,4.638709e-11
3.108027e-03,2.463644e-07,1.686080e-13
1.011148e-01,2.436479e-03,9.597576e-06
1.548115e-02,5.864750e-05,8.036276e-09
6.478286e-03,7.938948e-06,1.099275e-10
1.241140e-02,1.347040e-06,2.256063e-12
2.231700e-02,1.240527e-04,4.381893e-08
4.011994e-02,2.743270e-04,1.983168e-07
1.423847e-03,2.181994e-07,2.920942e-13
1.009940e-01,2.181700e-03,9.217562e-06
1.345134e-03,6.583539e-08,2.293069e-14
1.193997e-02,2.807351e-05,2.530877e-09
9.420162e-02,1.433007e-03,3.212054e-06
2.656320e-03,7.668612e-07,9.768923e-13
1.836224e-01,9.230280e-04,8.130282e-07
3.877375e-02,6.258036e-06,3.649302e-11
1.156376e-03,1.393922e-07,6.194775e-13
1.238548e-01,1.447846e-04,3.703139e-08
6.268241e-04,7.354195e-08,5.976238e-14
