Variables = "r1", "r2", "r3", "E"
   9.086700E+00,   1.236000E+01,   3.862800E+00,  -8.081712E-05
   8.431900E+00,   1.120000E+01,   6.770700E+00,   1.733560E-08
   9.503700E+00,   1.335800E+01,   5.419700E+00,  -4.202903E-08
   3.504600E+00,   7.248500E+00,   3.767600E+00,   1.249504E+00
   6.481500E+00,   8.912900E+00,   4.663100E+00,   7.889996E-04
   3.031400E+00,   3.409700E+00,   2.362100E+00,   8.893165E+00
   4.476900E+00,   1.011900E+01,   6.322800E+00,   1.023008E-04
   6.692300E+00,   1.141700E+01,   7.015900E+00,   1.080058E-07
   7.029100E+00,   1.531800E+01,   8.670500E+00,  -7.223795E-14
   6.771500E+00,   1.032800E+01,   3.580900E+00,  -6.558764E-04
   8.946500E+00,   1.058100E+01,   1.757200E+00,  -2.635478E-05
   7.870300E+00,   1.484600E+01,   6.976100E+00,   7.225858E-13
   8.319800E+00,   1.343200E+01,   8.685500E+00,   6.489333E-13
   3.624200E+00,   6.193100E+00,   4.919100E+00,   1.484379E-01
   3.312900E+00,   1.265600E+01,   9.419100E+00,  -2.076129E-04
   2.457700E+00,   5.691200E+00,   3.734000E+00,   2.109912E+00
   4.800900E+00,   7.991500E+00,   3.902300E+00,   7.003547E-02
   2.637100E+00,   9.883600E+00,   7.249000E+00,  -5.851882E-04
   6.534100E+00,   9.371500E+00,   5.638800E+00,   1.124587E-04
   8.116500E+00,   1.648400E+01,   8.372200E+00,   7.648883E-17
   3.212700E+00,   1.032300E+01,   9.468900E+00,   1.832761E-04
   7.105100E+00,   8.998200E+00,   1.896100E+00,   1.466858E-04
   5.594000E+00,   5.746300E+00,   3.143700E+00,   1.835765E-01
   9.216400E+00,   1.036500E+01,   3.671000E+00,   1.223961E-04
   6.584800E+00,   9.407100E+00,   5.074300E+00,   1.797663E-04
   5.366000E+00,   9.466200E+00,   5.693300E+00,   4.012647E-04
   7.949800E+00,   1.387400E+01,   7.259600E+00,   4.927243E-12
   9.906000E+00,   1.047300E+01,   4.560500E+00,   1.261315E-05
   2.380100E+00,   4.511500E+00,   3.255500E+00,   4.102981E+00
   6.659600E+00,   6.550700E+00,   4.622400E+00,   2.249161E-02
   3.754400E+00,   1.318600E+01,   9.435600E+00,  -1.190649E-04
   4.891000E+00,   6.790900E+00,   6.633900E+00,   1.466466E-02
   7.082500E+00,   8.765100E+00,   4.776200E+00,   4.742391E-04
   6.441100E+00,   1.265000E+01,   9.495300E+00,   4.716539E-11
   6.758700E+00,   1.368400E+01,   9.794400E+00,   2.827897E-13
   8.363500E+00,   1.026700E+01,   9.696000E+00,   1.090504E-09
   6.644800E+00,   1.016700E+01,   3.694800E+00,  -4.652151E-04
   7.031100E+00,   8.183800E+00,   4.696700E+00,   1.555881E-03
   7.712600E+00,   1.230300E+01,   5.979200E+00,   5.904647E-09
   2.670700E+00,   4.611300E+00,   3.926500E+00,   1.459034E+00
   3.458600E+00,   4.579800E+00,   4.014400E+00,   1.009407E+00
   2.956500E+00,   9.223800E+00,   6.295200E+00,   7.473631E-04
   2.677600E+00,   5.528400E+00,   3.022600E+00,   5.611516E+00
   3.344400E+00,   1.044800E+01,   8.412900E+00,  -3.582310E-05
   9.191900E+00,   1.244800E+01,   3.586400E+00,  -1.493141E-04
   8.440100E+00,   1.037900E+01,   3.499600E+00,   1.819961E-05
   4.063200E+00,   7.220500E+00,   3.834300E+00,   3.579000E-01
   9.851400E+00,   1.688900E+01,   8.474900E+00,   3.536533E-20
   2.351700E+00,   1.021700E+01,   8.277500E+00,  -1.396230E-04
   2.138300E+00,   7.096700E+00,   7.839700E+00,   2.230866E-03
   4.085700E+00,   1.097900E+01,   8.996500E+00,   1.824371E-05
   5.274700E+00,   1.282000E+01,   9.341300E+00,  -7.741102E-08
   3.807000E+00,   1.199500E+01,   8.954500E+00,  -8.305950E-05
   6.574100E+00,   8.580400E+00,   4.540700E+00,   1.451640E-03
   3.851300E+00,   9.412700E+00,   5.684200E+00,   3.052629E-03
   8.375200E+00,   1.006400E+01,   4.219600E+00,   4.354685E-05
   6.955800E+00,   6.281400E+00,   3.037100E+00,   4.734240E-02
   4.683800E+00,   6.046500E+00,   2.261400E+00,   3.493724E-01
   7.588500E+00,   1.076700E+01,   3.636700E+00,  -3.201316E-04
   4.506900E+00,   6.165300E+00,   6.891800E+00,   2.631643E-02
