R1,R2,R3,ETriat,E,ENew
2.375000,4.117846,2.375100,20.157182,2.331084,2.331084
2.375100,4.117846,2.375000,20.157182,2.331084,2.331084
2.385000,4.126518,2.375100,20.078586,2.328871,2.328871
2.375100,4.126518,2.385000,20.078586,2.328871,2.328871
2.365000,4.109180,2.375100,20.235985,2.334323,2.334323
2.375100,4.109180,2.365000,20.235985,2.334323,2.334323
2.375000,4.126518,2.385100,20.078579,2.328873,2.328873
2.385100,4.126518,2.375000,20.078579,2.328873,2.328873
2.375000,4.109180,2.365100,20.235992,2.334319,2.334319
2.365100,4.109180,2.375000,20.235992,2.334319,2.334319
2.375000,4.138353,2.375100,20.145230,2.338833,2.338833
2.375100,4.138353,2.375000,20.145230,2.338833,2.338833
2.375000,4.097026,2.375100,20.172862,2.325889,2.325889
2.375100,4.097026,2.375000,20.172862,2.325889,2.325889
2.402528,4.108517,2.402614,19.772856,2.315839,2.315839
2.402614,4.108517,2.402528,19.772856,2.315839,2.315839
2.412528,4.117071,2.402614,19.695461,2.317230,2.317230
2.402614,4.117071,2.412528,19.695461,2.317230,2.317230
2.392528,4.099970,2.402614,19.850465,2.315325,2.315325
2.402614,4.099970,2.392528,19.850465,2.315325,2.315325
2.402528,4.117071,2.412614,19.695455,2.317231,2.317231
2.412614,4.117071,2.402528,19.695455,2.317231,2.317231
2.402528,4.099970,2.392614,19.850471,2.315324,2.315324
2.392614,4.099970,2.402528,19.850471,2.315324,2.315324
2.402528,4.130106,2.402614,19.754505,2.318610,2.318610
2.402614,4.130106,2.402528,19.754505,2.318610,2.318610
2.402528,4.086615,2.402614,19.795211,2.315781,2.315781
2.402614,4.086615,2.402528,19.795211,2.315781,2.315781
2.395668,4.081296,2.395733,19.896040,2.315332,2.315332
2.395733,4.081296,2.395668,19.896040,2.315332,2.315332
2.405668,4.089817,2.395733,19.817361,2.315349,2.315349
2.395733,4.089817,2.405668,19.817361,2.315349,2.315349
2.385668,4.072781,2.395733,19.974947,2.316235,2.316235
2.395733,4.072781,2.385668,19.974947,2.316235,2.316235
2.395668,4.089817,2.405733,19.817356,2.315350,2.315350
2.405733,4.089817,2.395668,19.817356,2.315350,2.315350
2.395668,4.072781,2.385733,19.974951,2.316234,2.316234
2.385733,4.072781,2.395668,19.974951,2.316234,2.316234
2.395668,4.103045,2.395733,19.873865,2.315663,2.315663
2.395733,4.103045,2.395668,19.873865,2.315663,2.315663
2.395668,4.059236,2.395733,19.922414,2.317818,2.317818
2.395733,4.059236,2.395668,19.922414,2.317818,2.317818
2.397588,4.091916,2.397647,19.858056,2.315080,2.315080
2.397647,4.091916,2.397588,19.858056,2.315080,2.315080
2.407588,4.100453,2.397647,19.779841,2.315538,2.315538
2.397647,4.100453,2.407588,19.779841,2.315538,2.315538
2.387588,4.083386,2.397647,19.936493,2.315528,2.315528
2.397647,4.083386,2.387588,19.936493,2.315528,2.315528
2.397588,4.100453,2.407647,19.779837,2.315539,2.315539
2.407647,4.100453,2.397588,19.779837,2.315539,2.315539
2.397588,4.083386,2.387647,19.936497,2.315527,2.315527
2.387647,4.083386,2.397588,19.936497,2.315527,2.315527
2.397588,4.113578,2.397647,19.837524,2.316479,2.316479
2.397647,4.113578,2.397588,19.837524,2.316479,2.316479
2.397588,4.069943,2.397647,19.882704,2.316453,2.316453
2.397647,4.069943,2.397588,19.882704,2.316453,2.316453
2.397570,4.091789,2.397618,19.858516,2.315079,2.315079
2.397618,4.091789,2.397570,19.858516,2.315079,2.315079
2.217000,4.312529,2.838000,17.505655,2.393289,2.393289
2.838000,4.312529,2.217000,17.505655,2.393289,2.393289
2.227000,4.320617,2.838000,17.457613,2.394954,2.394954
2.838000,4.320617,2.227000,17.457613,2.394954,2.394954
2.207000,4.304448,2.838000,17.553801,2.393839,2.393839
2.838000,4.304448,2.207000,17.553801,2.393839,2.393839
2.217000,4.321411,2.848000,17.427411,2.392146,2.392146
2.848000,4.321411,2.217000,17.427411,2.392146,2.392146
2.217000,4.303651,2.828000,17.584230,2.394228,2.394228
2.828000,4.303651,2.217000,17.584230,2.394228,2.394228
2.217000,4.335143,2.838000,17.496226,2.398402,2.398402
2.838000,4.335143,2.217000,17.496226,2.398402,2.398402
2.217000,4.289595,2.838000,17.518149,2.390338,2.390338
2.838000,4.289595,2.217000,17.518149,2.390338,2.390338
2.227000,4.329493,2.848000,17.380084,2.394428,2.394428
2.848000,4.329493,2.227000,17.380084,2.394428,2.394428
2.207000,4.295564,2.828000,17.633099,2.395400,2.395400
2.828000,4.295564,2.207000,17.633099,2.395400,2.395400
2.227000,4.343291,2.838000,17.448732,2.400415,2.400415
2.838000,4.343291,2.227000,17.448732,2.400415,2.400415
2.207000,4.281575,2.838000,17.566871,2.391251,2.391251
2.838000,4.281575,2.207000,17.566871,2.391251,2.391251
2.217000,4.344059,2.848000,17.418351,2.397389,2.397389
2.848000,4.344059,2.217000,17.418351,2.397389,2.397389
2.217000,4.280751,2.828000,17.597142,2.391437,2.391437
2.828000,4.280751,2.217000,17.597142,2.391437,2.391437
2.226875,4.248937,2.803945,17.751239,2.392051,2.392051
2.803945,4.248937,2.226875,17.751239,2.392051,2.392051
2.236875,4.256947,2.803945,17.699819,2.393082,2.393082
2.803945,4.256947,2.236875,17.699819,2.393082,2.393082
2.216875,4.240935,2.803945,17.802801,2.393168,2.393168
2.803945,4.240935,2.216875,17.802801,2.393168,2.393168
2.226875,4.257734,2.813945,17.671731,2.391805,2.391805
2.813945,4.257734,2.226875,17.671731,2.391805,2.391805
2.226875,4.240144,2.793945,17.831118,2.392164,2.392164
2.793945,4.240144,2.226875,17.831118,2.392164,2.392164
2.226875,4.272067,2.803945,17.735221,2.392954,2.392954
2.803945,4.272067,2.226875,17.735221,2.392954,2.392954
2.226875,4.225491,2.803945,17.770700,2.393522,2.393522
2.803945,4.225491,2.226875,17.770700,2.393522,2.393522
2.236875,4.265738,2.813945,17.621031,2.393446,2.393446
2.813945,4.265738,2.236875,17.621031,2.393446,2.393446
2.216875,4.232136,2.793945,17.883409,2.393895,2.393895
2.793945,4.232136,2.216875,17.883409,2.393895,2.393895
2.236875,4.280138,2.803945,17.684408,2.394359,2.394359
2.803945,4.280138,2.236875,17.684408,2.394359,2.394359
2.216875,4.217550,2.803945,17.822901,2.395029,2.395029
2.803945,4.217550,2.216875,17.822901,2.395029,2.395029
2.226875,4.280900,2.813945,17.656184,2.392902,2.392902
2.813945,4.280900,2.226875,17.656184,2.392902,2.392902
2.226875,4.216733,2.793945,17.851103,2.393860,2.393860
2.793945,4.216733,2.226875,17.851103,2.393860,2.393860
2.228192,4.248925,2.799134,17.780394,2.392075,2.392075
2.799134,4.248925,2.228192,17.780394,2.392075,2.392075
2.238192,4.256948,2.799134,17.728732,2.393143,2.393143
2.799134,4.256948,2.238192,17.728732,2.393143,2.393143
2.218192,4.240911,2.799134,17.832203,2.393147,2.393147
2.799134,4.240911,2.218192,17.832203,2.393147,2.393147
2.228192,4.257724,2.809134,17.700870,2.392004,2.392004
2.809134,4.257724,2.228192,17.700870,2.392004,2.392004
2.228192,4.240132,2.789134,17.860290,2.392022,2.392022
2.789134,4.240132,2.228192,17.860290,2.392022,2.392022
2.228192,4.272004,2.799134,17.764685,2.393250,2.393250
2.799134,4.272004,2.228192,17.764685,2.393250,2.393250
3.036600,3.036600,3.036600,18.439068,6.808340,6.808340
3.036600,3.036600,3.036600,18.439068,6.808340,6.808340
3.046600,3.036600,3.041612,18.357132,6.817745,6.817745
3.041612,3.036600,3.046600,18.357132,6.817745,6.817745
3.026600,3.036600,3.031612,18.521949,6.799287,6.799287
3.031612,3.036600,3.026600,18.521949,6.799287,6.799287
3.036600,3.046600,3.041612,18.357132,6.817745,6.817745
3.041612,3.046600,3.036600,18.357132,6.817745,6.817745
3.036600,3.026600,3.031612,18.521949,6.799287,6.799287
3.031612,3.026600,3.036600,18.521949,6.799287,6.799287
3.036600,3.036600,3.059520,18.315359,6.823085,6.823085
3.059520,3.036600,3.036600,18.315359,6.823085,6.823085
3.036600,3.036600,3.013622,18.567553,6.794887,6.794887
3.013622,3.036600,3.036600,18.567553,6.794887,6.794887
2.784345,2.784342,2.803483,23.347242,6.721089,6.721089
2.803483,2.784342,2.784345,23.347242,6.721089,6.721089
2.794345,2.784342,2.808530,23.229359,6.713458,6.713458
2.808530,2.784342,2.794345,23.229359,6.713458,6.713458
2.774345,2.784342,2.798462,23.466224,6.729553,6.729553
2.798462,2.784342,2.774345,23.466224,6.729553,6.729553
2.784345,2.794342,2.808530,23.229358,6.713457,6.713457
2.808530,2.794342,2.784345,23.229358,6.713457,6.713457
2.784345,2.774342,2.798462,23.466224,6.729553,6.729553
2.798462,2.774342,2.784345,23.466224,6.729553,6.729553
2.784345,2.784342,2.824450,23.187022,6.712944,6.712944
2.824450,2.784342,2.784345,23.187022,6.712944,6.712944
2.784345,2.784342,2.782462,23.512376,6.732046,6.732046
2.782462,2.784342,2.784345,23.512376,6.732046,6.732046
2.912885,2.912884,2.889300,20.847662,6.656718,6.656718
2.889300,2.912884,2.912885,20.847662,6.656718,6.656718
2.922885,2.912884,2.894272,20.747640,6.658751,6.658751
2.894272,2.912884,2.922885,20.747640,6.658751,6.658751
2.902885,2.912884,2.884353,20.948688,6.655239,6.655239
2.884353,2.912884,2.902885,20.948688,6.655239,6.655239
2.912885,2.922884,2.894272,20.747640,6.658751,6.658751
2.894272,2.922884,2.912885,20.747640,6.658751,6.658751
2.912885,2.902884,2.884353,20.948688,6.655239,6.655239
2.884353,2.902884,2.912885,20.948688,6.655239,6.655239
2.912885,2.912884,2.911346,20.698613,6.658933,6.658933
2.911346,2.912884,2.912885,20.698613,6.658933,6.658933
2.912885,2.912884,2.867199,21.001704,6.656736,6.656736
2.867199,2.912884,2.912885,21.001704,6.656736,6.656736
2.884819,2.884819,2.886191,21.249756,6.651740,6.651740
2.886191,2.884819,2.884819,21.249756,6.651740,6.651740
2.894819,2.884819,2.891206,21.146555,6.652375,6.652375
2.891206,2.884819,2.894819,21.146555,6.652375,6.652375
2.874819,2.884819,2.881201,21.353985,6.651709,6.651709
2.881201,2.884819,2.874819,21.353985,6.651709,6.651709
2.884819,2.894819,2.891206,21.146555,6.652375,6.652375
2.891206,2.894819,2.884819,21.146555,6.652375,6.652375
2.884819,2.874819,2.881201,21.353985,6.651709,6.651709
2.881201,2.874819,2.884819,21.353985,6.651709,6.651709
2.884819,2.884819,2.907962,21.101677,6.653394,6.653394
2.907962,2.884819,2.884819,21.101677,6.653394,6.653394
2.884819,2.884819,2.864365,21.402735,6.652301,6.652301
2.864365,2.884819,2.884819,21.402735,6.652301,6.652301
2.880645,2.880645,2.879496,21.354117,6.651593,6.651593
2.879496,2.880645,2.880645,21.354117,6.651593,6.651593
2.890645,2.880645,2.884507,21.250203,6.651851,6.651851
2.884507,2.880645,2.890645,21.250203,6.651851,6.651851
2.870645,2.880645,2.874511,21.459061,6.651947,6.651947
2.874511,2.880645,2.870645,21.459061,6.651947,6.651947
2.880645,2.890645,2.884507,21.250203,6.651851,6.651851
2.884507,2.890645,2.880645,21.250203,6.651851,6.651851
2.880645,2.870645,2.874511,21.459060,6.651947,6.651947
2.874511,2.870645,2.880645,21.459060,6.651947,6.651947
2.880645,2.880645,2.901242,21.204798,6.652552,6.652552
2.901242,2.880645,2.880645,21.204798,6.652552,6.652552
2.880645,2.880645,2.857695,21.508352,6.652901,6.652901
2.857695,2.880645,2.880645,21.508352,6.652901,6.652901
2.880618,2.880618,2.881350,21.341592,6.651589,6.651589
2.881350,2.880618,2.880618,21.341592,6.651589,6.651589
2.890618,2.880618,2.886364,21.237746,6.651893,6.651893
2.886364,2.880618,2.890618,21.237746,6.651893,6.651893
2.870618,2.880618,2.876362,21.446470,6.651897,6.651897
2.876362,2.880618,2.870618,21.446470,6.651897,6.651897
2.880618,2.890618,2.886364,21.237746,6.651893,6.651893
2.886364,2.890618,2.880618,21.237746,6.651893,6.651893
2.880618,2.870618,2.876362,21.446470,6.651897,6.651897
2.876362,2.870618,2.880618,21.446470,6.651897,6.651897
2.880618,2.880618,2.903091,21.192690,6.652732,6.652732
2.903091,2.880618,2.880618,21.192690,6.652732,6.652732
2.880618,2.880618,2.859554,21.495403,6.652696,6.652696
2.859554,2.880618,2.880618,21.495403,6.652696,6.652696
2.880767,2.880767,2.881167,21.340781,6.651589,6.651589
2.881167,2.880767,2.880767,21.340781,6.651589,6.651589
2.222335,2.666756,2.870630,29.074442,8.096004,8.096004
2.870630,2.666756,2.222335,29.074442,8.096004,8.096004
2.232335,2.669987,2.870630,29.011446,8.103357,8.103357
2.870630,2.669987,2.232335,29.011446,8.103357,8.103357
2.212335,2.663558,2.870630,29.137385,8.090983,8.090983
