R1,R2,R3,ETriat,E,ENew
3.000000,5.196152,3.000000,13.601643,5.313839,5.313839
3.000000,5.196152,3.000000,13.601643,5.313839,5.313839
3.000000,5.414102,3.250000,12.820953,5.945415,5.945415
3.250000,5.414102,3.000000,12.820953,5.945415,5.945415
3.000000,5.634714,3.500000,12.161934,6.303245,6.303245
3.500000,5.634714,3.000000,12.161934,6.303245,6.303245
3.000000,5.857687,3.750000,11.579045,6.391138,6.391138
3.750000,5.857687,3.000000,11.579045,6.391138,6.391138
3.000000,6.082763,4.000000,11.098266,6.325830,6.325830
4.000000,6.082763,3.000000,11.098266,6.325830,6.325830
3.000000,6.538348,4.500000,10.467273,6.095622,6.095622
4.500000,6.538348,3.000000,10.467273,6.095622,6.095622
3.000000,7.000000,5.000000,10.184116,5.963103,5.963103
5.000000,7.000000,3.000000,10.184116,5.963103,5.963103
3.000000,7.466592,5.500000,10.066956,5.905959,5.905959
5.500000,7.466592,3.000000,10.066956,5.905959,5.905959
3.000000,7.937254,6.000000,10.019983,5.884734,5.884734
6.000000,7.937254,3.000000,10.019983,5.884734,5.884734
3.000000,8.888194,7.000000,9.992168,5.876843,5.876843
7.000000,8.888194,3.000000,9.992168,5.876843,5.876843
3.000000,9.848858,8.000000,9.986237,5.877387,5.877387
8.000000,9.848858,3.000000,9.986237,5.877387,5.877387
3.000000,10.816654,9.000000,9.984998,5.878475,5.878475
9.000000,10.816654,3.000000,9.984998,5.878475,5.878475
3.000000,11.789826,10.000000,9.984826,5.879292,5.879292
10.000000,11.789826,3.000000,9.984826,5.879292,5.879292
3.250000,5.629165,3.250000,12.241947,6.771553,6.771553
3.250000,5.629165,3.250000,12.241947,6.771553,6.771553
3.250000,5.847008,3.500000,11.748868,7.290746,7.290746
3.500000,5.847008,3.250000,11.748868,7.290746,7.290746
3.250000,6.067331,3.750000,11.336801,7.546533,7.546533
3.750000,6.067331,3.250000,11.336801,7.546533,7.546533
3.250000,6.289873,4.000000,10.980109,7.603405,7.603405
4.000000,6.289873,3.250000,10.980109,7.603405,7.603405
3.250000,6.740734,4.500000,10.457190,7.479049,7.479049
4.500000,6.740734,3.250000,10.457190,7.479049,7.479049
3.250000,7.198090,5.000000,10.195112,7.366394,7.366394
5.000000,7.198090,3.250000,10.195112,7.366394,7.366394
3.250000,7.660777,5.500000,10.083284,7.313876,7.313876
5.500000,7.660777,3.250000,10.083284,7.313876,7.313876
3.250000,8.127884,6.000000,10.037798,7.293739,7.293739
6.000000,8.127884,3.250000,10.037798,7.293739,7.293739
3.250000,9.072624,7.000000,10.010605,7.286120,7.286120
7.000000,9.072624,3.250000,10.010605,7.286120,7.286120
3.250000,10.028086,8.000000,10.005067,7.286937,7.286937
8.000000,10.028086,3.250000,10.005067,7.286937,7.286937
3.250000,10.991474,9.000000,10.003605,7.287753,7.287753
9.000000,10.991474,3.250000,10.003605,7.287753,7.287753
3.250000,11.960874,10.000000,10.003455,7.288569,7.288569
10.000000,11.960874,3.250000,10.003455,7.288569,7.288569
3.500000,6.062178,3.500000,11.385288,7.936472,7.936472
3.500000,6.062178,3.500000,11.385288,7.936472,7.936472
3.500000,6.279928,3.750000,11.083204,8.300288,8.300288
3.750000,6.279928,3.500000,11.083204,8.300288,8.300288
3.500000,6.500000,4.000000,10.828258,8.457570,8.457570
4.000000,6.500000,3.500000,10.828258,8.457570,8.457570
3.500000,6.946222,4.500000,10.430283,8.456482,8.456482
4.500000,6.946222,3.500000,10.430283,8.456482,8.456482
3.500000,7.399324,5.000000,10.198561,8.373215,8.373215
5.000000,7.399324,3.500000,10.198561,8.373215,8.373215
3.500000,7.858117,5.500000,10.092738,8.326139,8.326139
5.500000,7.858117,3.500000,10.092738,8.326139,8.326139
3.500000,8.321658,6.000000,10.048659,8.307091,8.307091
6.000000,8.321658,3.500000,10.048659,8.307091,8.307091
3.500000,9.260130,7.000000,10.022293,8.300016,8.300016
7.000000,9.260130,3.500000,10.022293,8.300016,8.300016
3.500000,10.210289,8.000000,10.016585,8.300561,8.300561
8.000000,10.210289,3.500000,10.016585,8.300561,8.300561
3.500000,11.169154,9.000000,10.015438,8.301649,8.301649
9.000000,11.169154,3.500000,10.015438,8.301649,8.301649
3.500000,12.134661,10.000000,10.015037,8.302193,8.302193
10.000000,12.134661,3.500000,10.015037,8.302193,8.302193
3.750000,6.495191,3.750000,10.859478,8.741113,8.741113
3.750000,6.495191,3.750000,10.859478,8.741113,8.741113
3.750000,6.712861,4.000000,10.669455,8.962341,8.962341
4.000000,6.712861,3.750000,10.669455,8.962341,8.962341
3.750000,7.154544,4.500000,10.372370,9.060847,9.060847
4.500000,7.154544,3.750000,10.372370,9.060847,9.060847
3.750000,7.603453,5.000000,10.180873,9.017036,9.017036
5.000000,7.603453,3.750000,10.180873,9.017036,9.017036
3.750000,8.058381,5.500000,10.083659,8.978124,8.978124
5.500000,8.058381,3.750000,10.083659,8.978124,8.978124
3.750000,8.518363,6.000000,10.041193,8.960437,8.960437
6.000000,8.518363,3.750000,10.041193,8.960437,8.960437
3.750000,9.450529,7.000000,10.015328,8.953634,8.953634
7.000000,9.450529,3.750000,10.015328,8.953634,8.953634
3.750000,10.395311,8.000000,10.009708,8.954178,8.954178
8.000000,10.395311,3.750000,10.009708,8.954178,8.954178
3.750000,11.349559,9.000000,10.008326,8.954994,8.954994
9.000000,11.349559,3.750000,10.008326,8.954994,8.954994
3.750000,12.311072,10.000000,10.008215,8.955811,8.955811
10.000000,12.311072,3.750000,10.008215,8.955811,8.955811
4.000000,6.928203,4.000000,10.524526,9.227925,9.227925
4.000000,6.928203,4.000000,10.524526,9.227925,9.227925
4.000000,7.365460,4.500000,10.292403,9.390376,9.390376
4.500000,7.365460,4.000000,10.292403,9.390376,9.390376
4.000000,7.810250,5.000000,10.139062,9.384118,9.384118
5.000000,7.810250,4.000000,10.139062,9.384118,9.384118
4.000000,8.261356,5.500000,10.052810,9.355818,9.355818
5.500000,8.261356,4.000000,10.052810,9.355818,9.355818
4.000000,8.717798,6.000000,10.012720,9.340308,9.340308
6.000000,8.717798,4.000000,10.012720,9.340308,9.340308
