R1,R2,R3,ETriat,E,ENew
3.000000,5.196152,3.000000,13.044736,5.313839,4.756933
3.000000,5.196152,3.000000,13.044736,5.313839,4.756933
3.000000,5.414102,3.250000,12.311758,5.945415,5.436220
3.250000,5.414102,3.000000,12.311758,5.945415,5.436220
3.000000,5.634714,3.500000,11.689749,6.303245,5.831060
3.500000,5.634714,3.000000,11.689749,6.303245,5.831060
3.000000,5.857687,3.750000,11.137401,6.391138,5.949493
3.750000,5.857687,3.000000,11.137401,6.391138,5.949493
3.000000,6.082763,4.000000,10.686105,6.325830,5.913669
4.000000,6.082763,3.000000,10.686105,6.325830,5.913669
3.000000,6.538348,4.500000,10.116922,6.095622,5.745271
4.500000,6.538348,3.000000,10.116922,6.095622,5.745271
3.000000,7.000000,5.000000,9.881068,5.963103,5.660055
5.000000,7.000000,3.000000,9.881068,5.963103,5.660055
3.000000,7.466592,5.500000,9.786180,5.905959,5.625183
5.500000,7.466592,3.000000,9.786180,5.905959,5.625183
3.000000,7.937254,6.000000,9.747121,5.884734,5.611872
6.000000,7.937254,3.000000,9.747121,5.884734,5.611872
3.000000,8.888194,7.000000,9.724071,5.876843,5.608746
7.000000,8.888194,3.000000,9.724071,5.876843,5.608746
3.000000,9.848858,8.000000,9.719394,5.877387,5.610544
8.000000,9.848858,3.000000,9.719394,5.877387,5.610544
3.000000,10.816654,9.000000,9.718433,5.878475,5.611911
9.000000,10.816654,3.000000,9.718433,5.878475,5.611911
3.000000,11.789826,10.000000,9.718347,5.879292,5.612813
10.000000,11.789826,3.000000,9.718347,5.879292,5.612813
3.250000,5.629165,3.250000,11.777361,6.771553,6.306967
3.250000,5.629165,3.250000,11.777361,6.771553,6.306967
3.250000,5.847008,3.500000,11.319307,7.290746,6.861185
3.500000,5.847008,3.250000,11.319307,7.290746,6.861185
3.250000,6.067331,3.750000,10.936621,7.546533,7.146353
3.750000,6.067331,3.250000,10.936621,7.546533,7.146353
3.250000,6.289873,4.000000,10.608764,7.603405,7.232061
4.000000,6.289873,3.250000,10.608764,7.603405,7.232061
3.250000,6.740734,4.500000,10.147044,7.479049,7.168903
4.500000,6.740734,3.250000,10.147044,7.479049,7.168903
3.250000,7.198090,5.000000,9.931955,7.366394,7.103236
5.000000,7.198090,3.250000,9.931955,7.366394,7.103236
3.250000,7.660777,5.500000,9.842204,7.313876,7.072796
5.500000,7.660777,3.250000,9.842204,7.313876,7.072796
3.250000,8.127884,6.000000,9.804529,7.293739,7.060470
6.000000,8.127884,3.250000,9.804529,7.293739,7.060470
3.250000,9.072624,7.000000,9.782033,7.286120,7.057548
7.000000,9.072624,3.250000,9.782033,7.286120,7.057548
3.250000,10.028086,8.000000,9.777736,7.286937,7.059605
8.000000,10.028086,3.250000,9.777736,7.286937,7.059605
3.250000,10.991474,9.000000,9.776548,7.287753,7.060696
9.000000,10.991474,3.250000,9.776548,7.287753,7.060696
3.250000,11.960874,10.000000,9.776482,7.288569,7.061596
10.000000,11.960874,3.250000,9.776482,7.288569,7.061596
3.500000,6.062178,3.500000,10.989573,7.936472,7.540758
3.500000,6.062178,3.500000,10.989573,7.936472,7.540758
3.500000,6.279928,3.750000,10.716202,8.300288,7.933287
3.750000,6.279928,3.500000,10.716202,8.300288,7.933287
3.500000,6.500000,4.000000,10.489704,8.457570,8.119016
4.000000,6.500000,3.500000,10.489704,8.457570,8.119016
3.500000,6.946222,4.500000,10.152495,8.456482,8.178694
4.500000,6.946222,3.500000,10.152495,8.456482,8.178694
3.500000,7.399324,5.000000,9.967503,8.373215,8.142157
5.000000,7.399324,3.500000,9.967503,8.373215,8.142157
3.500000,7.858117,5.500000,9.883604,8.326139,8.117005
5.500000,7.858117,3.500000,9.883604,8.326139,8.117005
3.500000,8.321658,6.000000,9.847258,8.307091,8.105690
6.000000,8.321658,3.500000,9.847258,8.307091,8.105690
3.500000,9.260130,7.000000,9.825540,8.300016,8.103264
7.000000,9.260130,3.500000,9.825540,8.300016,8.103264
3.500000,10.210289,8.000000,9.821063,8.300561,8.105038
8.000000,10.210289,3.500000,9.821063,8.300561,8.105038
3.500000,11.169154,9.000000,9.820187,8.301649,8.106398
9.000000,11.169154,3.500000,9.820187,8.301649,8.106398
3.500000,12.134661,10.000000,9.819868,8.302193,8.107024
10.000000,12.134661,3.500000,9.819868,8.302193,8.107024
3.750000,6.495191,3.750000,10.520796,8.741113,8.402431
3.750000,6.495191,3.750000,10.520796,8.741113,8.402431
3.750000,6.712861,4.000000,10.358966,8.962341,8.651852
4.000000,6.712861,3.750000,10.358966,8.962341,8.651852
3.750000,7.154544,4.500000,10.122313,9.060847,8.810789
4.500000,7.154544,3.750000,10.122313,9.060847,8.810789
3.750000,7.603453,5.000000,9.977335,9.017036,8.813498
5.000000,7.603453,3.750000,9.977335,9.017036,8.813498
3.750000,8.058381,5.500000,9.901927,8.978124,8.796392
5.500000,8.058381,3.750000,9.901927,8.978124,8.796392
3.750000,8.518363,6.000000,9.867138,8.960437,8.786381
6.000000,8.518363,3.750000,9.867138,8.960437,8.786381
3.750000,9.450529,7.000000,9.845887,8.953634,8.784192
7.000000,9.450529,3.750000,9.845887,8.953634,8.784192
3.750000,10.395311,8.000000,9.841489,8.954178,8.785959
8.000000,10.395311,3.750000,9.841489,8.954178,8.785959
3.750000,11.349559,9.000000,9.840376,8.954994,8.787044
9.000000,11.349559,3.750000,9.840376,8.954994,8.787044
3.750000,12.311072,10.000000,9.840345,8.955811,8.787941
10.000000,12.311072,3.750000,9.840345,8.955811,8.787941
4.000000,6.928203,4.000000,10.242042,9.227925,8.945440
4.000000,6.928203,4.000000,10.242042,9.227925,8.945440
4.000000,7.365460,4.500000,10.070080,9.390376,9.168054
4.500000,7.365460,4.000000,10.070080,9.390376,9.168054
4.000000,7.810250,5.000000,9.963093,9.384118,9.208149
5.000000,7.810250,4.000000,9.963093,9.384118,9.208149
4.000000,8.261356,5.500000,9.898560,9.355818,9.201569
5.500000,8.261356,4.000000,9.898560,9.355818,9.201569
4.000000,8.717798,6.000000,9.866108,9.340308,9.193695
6.000000,8.717798,4.000000,9.866108,9.340308,9.193695
4.000000,9.643651,7.000000,9.845018,9.333505,9.191481
7.000000,9.643651,4.000000,9.845018,9.333505,9.191481
4.000000,10.583005,8.000000,9.840688,9.334049,9.193241
8.000000,10.583005,4.000000,9.840688,9.334049,9.193241
4.000000,11.532563,9.000000,9.839877,9.335137,9.194595
9.000000,11.532563,4.000000,9.839877,9.335137,9.194595
