R1,R2,R3
8.385812,15.723620,15.625449
2.515257,15.538734,12.266564
9.977071,19.134625,19.132347
4.226843,18.835700,14.972037
8.844965,12.732220,12.355759
4.559638,18.104475,11.042399
2.880561,16.084274,11.425114
7.631101,15.010370,19.569548
5.576131,18.445629,10.611377
3.462261,16.366525,11.250637
8.081303,17.127474,17.993729
6.911653,12.905363,16.064981
9.716504,19.964628,13.357077
5.291880,14.346086,17.561630
5.932363,12.820426,12.807672
3.754662,13.241158,16.903834
3.734829,14.827923,11.681310
9.763182,12.342462,13.455700
4.046844,11.595296,17.652782
8.606255,18.301302,18.359554
5.669503,19.219058,10.887186
3.409043,19.857381,19.732404
2.942322,19.618568,14.580326
3.206036,17.549772,19.734828
6.720749,17.217256,13.210439
6.066405,12.122686,16.758740
9.363173,10.347563,16.370454
4.613396,14.396778,14.438290
5.075556,15.160076,10.179951
4.130778,18.509292,17.082842
6.007960,19.486028,18.206125
7.203456,14.904011,16.356676
2.783893,19.193564,14.907488
2.115499,16.148360,16.471490
4.645135,10.150535,18.615456
3.994196,14.093075,17.019321
2.465006,19.276014,16.593140
6.901950,10.955510,17.105199
6.578219,14.532363,15.743769
6.153516,17.152566,16.699108
7.102988,14.221664,18.576239
7.564414,11.106689,16.265529
8.595779,12.477331,13.580684
8.753511,11.971580,16.126018
3.642546,16.764482,17.821262
5.154840,11.961565,15.884649
8.931102,15.986495,13.298738
9.416130,17.059761,13.167596
3.076178,16.441081,10.377987
4.580551,11.721744,12.990914
1.955899,16.789332,13.726167
9.309277,10.975922,18.691333
5.616232,11.669192,15.449671
5.351617,13.201180,11.160695
6.372987,18.259487,16.217177
6.135806,10.455428,14.607130
8.940909,16.801486,13.315909
5.690246,16.124874,10.979796
6.633410,19.014097,15.354128
5.384197,10.289651,15.973577
4.899610,16.381262,19.637117
9.388725,13.886869,19.314241
7.483068,14.746761,12.218703
3.227459,12.563661,13.961435
5.434604,18.817519,15.142998
3.263638,18.779463,15.311207
9.457947,12.170277,15.950886
9.827815,10.927331,19.400448
9.028982,19.387295,12.138808
7.896843,13.141432,15.299299
9.551814,16.429030,19.386851
9.118442,17.974730,11.213908
9.679826,15.352919,14.383206
3.620830,13.989195,13.474111
7.732918,15.645722,11.590294
4.250603,19.464250,10.091679
3.805059,17.716205,12.647935
3.044293,15.747499,14.707031
3.475734,16.853353,13.670468
5.545592,10.837659,13.426956
6.862824,19.984480,18.762555
6.673944,18.612151,18.456595
8.501720,14.534907,11.180060
9.839904,18.207678,17.854515
2.625130,16.604409,14.202471
4.853666,17.785899,15.683087
8.195745,12.244506,12.847969
2.281529,10.567974,17.350684
4.737885,12.466534,12.569224
8.401515,11.256875,12.113314
1.864528,18.889751,18.657979
7.797257,10.532254,19.298986
4.776484,18.596453,19.246710
7.888900,18.726244,14.737456
9.867408,13.666098,16.431892
6.028484,12.143863,17.409751
8.891533,19.035199,12.031136
4.684548,11.539701,18.810477
8.660758,18.085457,11.539424
4.023322,12.859424,19.959680
7.162761,17.914523,18.055985
7.435255,16.010116,12.078770
9.572676,10.412608,16.099130
7.003924,10.886913,16.624923
7.567559,12.099357,16.662513
9.789613,12.961252,10.809414
5.096153,14.010243,12.452749
6.531350,17.327611,19.136839
3.159391,10.764811,18.244754
5.920143,10.680491,11.514684
7.258526,18.357211,11.363404
5.378687,16.663983,11.652838
8.713870,19.695601,12.868562
2.907947,13.666785,17.291605
3.352011,12.671215,19.627054
6.762887,19.562365,13.772050
5.846349,13.278234,14.523498
4.092184,11.643149,14.887445
5.195438,16.913641,10.726576
9.529328,14.986336,17.480382
3.169343,12.288938,18.179019
2.013468,15.767817,13.120548
7.601375,18.925835,17.324354
6.705507,14.045735,10.050518
7.329160,18.149188,17.775789
8.288011,13.193608,17.515043
4.952693,19.802396,10.938144
6.793496,19.430113,18.138560
2.549449,10.080591,17.200387
9.492608,10.398914,14.775064
4.927088,18.656268,11.607022
5.455202,17.571880,15.798046
6.605103,13.460566,19.871251
4.169597,10.221088,18.099619
8.237065,14.944006,19.018633
7.072026,15.460205,13.747381
6.440603,17.021458,17.703454
5.497709,11.062352,17.235161
3.769869,18.537758,13.998229
8.801583,14.867769,13.086966
3.098399,11.150485,16.558465
2.019657,13.081389,17.381002
6.393476,15.404515,16.005967
5.840865,17.340592,11.915319
2.710608,17.193936,14.942907
9.144848,13.903733,11.090318
9.594635,16.724210,14.474805
8.878436,18.020187,10.103783
3.599950,11.871196,15.857497
4.713455,11.854380,19.220500
8.269115,19.734154,12.197847
7.530002,13.383214,10.783356
5.528518,19.793931,18.510106
2.206920,12.868814,15.590824
7.279919,17.682784,13.872183
4.992602,13.808493,14.047107
4.184399,16.040901,12.408207
5.814825,16.309676,17.065469
4.279934,13.781128,18.727259
9.742518,19.574476,12.610821
2.065246,11.470147,10.231106
5.257155,16.291790,12.965446
7.692580,16.467538,17.434302
6.038867,15.194786,19.188606
7.043875,15.530920,12.926181
2.746604,11.500036,15.534519
3.929620,16.199280,15.218364
5.734561,18.293339,15.474638
5.128832,14.111892,15.110215
3.979149,12.572109,10.734536
5.780704,16.936006,16.790403
6.484851,15.274907,16.865586
7.826214,15.089165,15.024180
9.621484,13.750923,10.522417
7.924808,15.310980,14.539542
6.092753,17.851618,12.497060
9.238609,15.870478,15.514997
8.470877,13.713189,19.495157
9.323898,17.067344,18.916766
3.711110,15.684048,14.653993
2.369181,10.265233,19.052381
7.971050,12.208408,11.324486
7.989993,12.044620,10.594489
6.964119,16.669855,14.266023
5.048379,11.208339,18.296656
4.454630,15.593534,17.579191
2.682738,13.430920,14.276166
9.664436,18.938441,12.739756
7.365420,11.308846,13.152045
4.390020,14.658877,16.196335
9.970261,11.758470,19.788103
7.238266,18.475382,16.145187
4.348665,10.044358,10.493215
2.084710,12.513215,13.643570
5.000428,13.492402,10.903348
6.345424,12.739160,16.963110
6.822970,14.572221,13.926045
5.892748,11.904016,11.440562
5.749054,15.469641,18.111103
2.509504,19.931379,15.663362
3.952420,12.382837,12.680118
7.724754,19.323324,13.631657
6.845145,19.093950,17.938668
8.332179,11.276290,14.694273
5.978323,14.498609,15.812969
8.035071,17.892236,15.396089
6.506068,17.461394,18.476496
9.063392,11.454170,11.774912
3.893909,17.959771,10.290022
5.313847,18.429080,11.478305
7.130530,13.060487,17.624819
3.574293,16.972319,11.858805
2.568110,13.341514,18.794673
6.639967,18.735933,13.000627
3.522568,10.724230,18.834195
8.121099,11.807932,11.761362
8.145591,13.104423,16.512204
9.895721,13.550523,12.708159
3.432339,19.510107,13.375508
2.256802,16.887547,10.006019
8.210595,10.625734,19.924441
1.891850,15.107256,11.974401
3.021666,14.780531,11.003995
2.648493,10.477769,11.386934
3.363022,11.030131,13.243692
6.468198,14.168681,12.315746
3.854234,12.017923,12.533779
6.989881,15.222583,19.693028
5.629643,11.099832,17.749144
6.237476,17.604028,19.566214
2.998112,14.444771,14.409549
8.724120,19.875777,16.817004
5.218748,18.387335,15.247963
2.784690,14.276414,15.917162
7.773020,13.004433,15.713604
6.269494,14.428843,16.999179
4.483656,11.604621,11.943958
1.832614,15.944296,10.141032
