R1,R2,R3,ETriat,E,ENew
1.511781,1.511782,1.840621,50.582158,78.146255,78.146255
1.840621,1.511782,1.511781,50.582158,78.146255,78.146255
1.511781,1.511788,1.943512,48.782953,74.470626,74.470626
1.943512,1.511788,1.511781,48.782953,74.470626,74.470626
1.511781,1.511788,2.042701,46.538150,71.143081,71.143081
2.042701,1.511788,1.511781,46.538150,71.143081,71.143081
1.511781,1.511781,2.137981,44.499042,68.538719,68.538719
2.137981,1.511781,1.511781,44.499042,68.538719,68.538719
1.511781,1.511788,2.229203,42.832437,66.639804,66.639804
2.229203,1.511788,1.511781,42.832437,66.639804,66.639804
1.511781,1.511788,2.316189,41.553559,65.341266,65.341266
2.316189,1.511788,1.511781,41.553559,65.341266,65.341266
1.511781,1.511782,2.398759,40.678724,64.577233,64.577233
2.398759,1.511782,1.511781,40.678724,64.577233,64.577233
1.511776,1.511781,2.476758,39.954795,64.038998,64.038998
2.476758,1.511781,1.511776,39.954795,64.038998,64.038998
1.511781,1.511784,2.550043,37.816257,62.123692,62.123692
2.550043,1.511784,1.511781,37.816257,62.123692,62.123692
1.511780,1.511781,2.618481,36.154979,60.701696,60.701696
2.618481,1.511781,1.511780,36.154979,60.701696,60.701696
1.511777,1.511781,2.681929,34.865825,59.651764,59.651764
2.681929,1.511781,1.511777,34.865825,59.651764,59.651764
1.511781,1.511787,2.740281,33.897092,58.911538,58.911538
2.740281,1.511787,1.511781,33.897092,58.911538,58.911538
1.511781,1.511793,2.793418,33.204477,58.432191,58.432191
2.793418,1.511793,1.511781,33.204477,58.432191,58.432191
1.511781,1.511787,2.841227,32.748555,58.171226,58.171226
2.841227,1.511787,1.511781,32.748555,58.171226,58.171226
1.511777,1.511781,2.883619,32.493622,58.090135,58.090135
2.883619,1.511781,1.511777,32.493622,58.090135,58.090135
1.511780,1.511781,2.920536,32.405549,58.152189,58.152189
2.920536,1.511781,1.511780,32.405549,58.152189,58.152189
1.511781,1.511784,2.951896,32.446394,58.319965,58.319965
2.951896,1.511784,1.511781,32.446394,58.319965,58.319965
1.511776,1.511781,2.977621,32.577928,58.555909,58.555909
2.977621,1.511781,1.511776,32.577928,58.555909,58.555909
1.511781,1.511782,2.997695,32.752943,58.810934,58.810934
2.997695,1.511782,1.511781,32.752943,58.810934,58.810934
1.511781,1.511788,3.012064,32.925504,59.040286,59.040286
3.012064,1.511788,1.511781,32.925504,59.040286,59.040286
1.511781,1.511788,3.020692,33.069009,59.218123,59.218123
3.020692,1.511788,1.511781,33.069009,59.218123,59.218123
1.511781,1.614578,1.700749,50.939717,75.604424,75.604424
1.700749,1.614578,1.511781,50.939717,75.604424,75.604424
1.511781,1.700761,1.733438,50.508497,69.664278,69.664278
1.733438,1.700761,1.511781,50.508497,69.664278,69.664278
1.511781,1.700749,1.849118,49.717710,65.560601,65.560601
1.849118,1.700749,1.511781,49.717710,65.560601,65.560601
1.511781,1.700749,1.961397,47.808404,61.725739,61.725739
1.961397,1.700749,1.511781,47.808404,61.725739,61.725739
1.511781,1.700758,2.070054,45.221602,58.093301,58.093301
2.070054,1.700758,1.511781,45.221602,58.093301,58.093301
1.511781,1.700762,2.174831,42.794004,55.178322,55.178322
2.174831,1.700762,1.511781,42.794004,55.178322,55.178322
1.511781,1.700754,2.275532,40.760624,53.007297,53.007297
2.275532,1.700754,1.511781,40.760624,53.007297,53.007297
1.511781,1.700762,2.371973,39.161205,51.481964,51.481964
2.371973,1.700762,1.511781,39.161205,51.481964,51.481964
1.511781,1.700758,2.463939,37.917647,50.436022,50.436022
2.463939,1.700758,1.511781,37.917647,50.436022,50.436022
1.511781,1.700749,2.551270,36.933072,49.714486,49.714486
2.551270,1.700749,1.511781,36.933072,49.714486,49.714486
1.511781,1.700749,2.633784,35.852366,48.925086,48.925086
2.633784,1.700749,1.511781,35.852366,48.925086,48.925086
1.511781,1.700761,2.711335,34.439120,47.808590,47.808590
2.711335,1.700761,1.511781,34.439120,47.808590,47.808590
1.511781,1.700749,2.783738,33.119695,46.778953,46.778953
2.783738,1.700749,1.511781,33.119695,46.778953,46.778953
1.511781,1.700760,2.850893,32.083736,46.015614,46.015614
2.850893,1.700760,1.511781,32.083736,46.015614,46.015614
1.511781,1.700755,2.912642,31.305391,45.489304,45.489304
2.912642,1.700755,1.511781,31.305391,45.489304,45.489304
1.511781,1.700764,2.968885,30.760801,45.172269,45.172269
2.968885,1.700764,1.511781,30.760801,45.172269,45.172269
1.511781,1.700755,3.019487,30.419296,45.033677,45.033677
3.019487,1.700755,1.511781,30.419296,45.033677,45.033677
1.511781,1.700760,3.064382,30.252073,45.043087,45.043087
3.064382,1.700760,1.511781,30.252073,45.043087,45.043087
1.511781,1.700749,3.103450,30.227353,45.169971,45.169971
3.103450,1.700749,1.511781,30.227353,45.169971,45.169971
1.511781,1.700761,3.136658,30.313898,45.382151,45.382151
3.136658,1.700761,1.511781,30.313898,45.382151,45.382151
1.511781,1.700749,3.163893,30.473510,45.643984,45.643984
3.163893,1.700749,1.511781,30.473510,45.643984,45.643984
1.511781,1.700749,3.185141,30.667229,45.915833,45.915833
3.185141,1.700749,1.511781,30.667229,45.915833,45.915833
1.511781,1.700758,3.200357,30.851779,46.155290,46.155290
3.200357,1.700758,1.511781,30.851779,46.155290,46.155290
1.511781,1.700762,3.209496,30.985475,46.321721,46.321721
3.209496,1.700762,1.511781,30.985475,46.321721,46.321721
1.477776,1.511781,1.889723,49.974893,79.618987,79.618987
1.889723,1.511781,1.477776,49.974893,79.618987,79.618987
1.511781,1.606015,1.889727,49.462686,69.236144,69.236144
1.889727,1.606015,1.511781,49.462686,69.236144,69.236144
1.511781,1.731971,1.889734,49.063064,62.876406,62.876406
1.889734,1.731971,1.511781,49.063064,62.876406,62.876406
1.511781,1.855220,1.889731,48.701757,59.015742,59.015742
1.889731,1.855220,1.511781,48.701757,59.015742,59.015742
1.511781,1.889721,1.975431,47.092750,55.440371,55.440371
1.975431,1.889721,1.511781,47.092750,55.440371,55.440371
1.511781,1.889734,2.092309,44.206440,51.542501,51.542501
2.092309,1.889734,1.511781,44.206440,51.542501,51.542501
1.511781,1.889731,2.205534,41.343536,48.261442,48.261442
2.205534,1.889731,1.511781,41.343536,48.261442,48.261442
1.511781,1.889718,2.314845,38.908148,45.769393,45.769393
2.314845,1.889718,1.511781,38.908148,45.769393,45.769393
1.511781,1.889726,2.420030,36.955330,43.971430,43.971430
2.420030,1.889726,1.511781,36.955330,43.971430,43.971430
1.511781,1.889718,2.520818,35.435331,42.722803,42.722803
2.520818,1.889718,1.511781,35.435331,42.722803,42.722803
1.511781,1.889731,2.617011,34.195753,41.810596,41.810596
2.617011,1.889731,1.511781,34.195753,41.810596,41.810596
1.511781,1.889734,2.708394,33.107061,41.069286,41.069286
2.708394,1.889734,1.511781,33.107061,41.069286,41.069286
1.511781,1.889721,2.794768,32.038772,40.346710,40.346710
2.794768,1.889721,1.511781,32.038772,40.346710,40.346710
1.511781,1.889731,2.875985,30.948658,39.587231,39.587231
2.875985,1.889731,1.511781,30.948658,39.587231,39.587231
1.511781,1.889734,2.951851,29.976432,38.923543,38.923543
2.951851,1.889734,1.511781,29.976432,38.923543,38.923543
1.511781,1.889727,3.022220,29.191633,38.421040,38.421040
3.022220,1.889727,1.511781,29.191633,38.421040,38.421040
1.511781,1.889723,3.086947,28.601379,38.084491,38.084491
3.086947,1.889723,1.511781,28.601379,38.084491,38.084491
1.511781,1.889735,3.145917,28.196910,37.904226,37.904226
3.145917,1.889735,1.511781,28.196910,37.904226,37.904226
1.511781,1.889723,3.198978,27.959343,37.862250,37.862250
3.198978,1.889723,1.511781,27.959343,37.862250,37.862250
1.511781,1.889727,3.246064,27.866950,37.937183,37.937183
3.246064,1.889727,1.511781,27.866950,37.937183,37.937183
1.511781,1.889734,3.287068,27.894372,38.105219,38.105219
3.287068,1.889734,1.511781,27.894372,38.105219,38.105219
1.511781,1.889731,3.321890,28.013145,38.339602,38.339602
3.321890,1.889731,1.511781,28.013145,38.339602,38.339602
1.511781,1.889721,3.350468,28.190961,38.609587,38.609587
3.350468,1.889721,1.511781,28.190961,38.609587,38.609587
1.511781,1.889734,3.372776,28.391365,38.879702,38.879702
3.372776,1.889734,1.511781,28.391365,38.879702,38.879702
1.511781,1.889731,3.388728,28.574176,39.111570,39.111570
3.388728,1.889731,1.511781,28.574176,39.111570,39.111570
1.511781,1.889718,3.398301,28.702537,39.269155,39.269155
3.398301,1.889718,1.511781,28.702537,39.269155,39.269155
1.470464,1.511781,2.078706,45.937716,74.086680,74.086680
2.078706,1.511781,1.470464,45.937716,74.086680,74.086680
1.511781,1.602032,2.078705,45.361245,63.165038,63.165038
2.078705,1.602032,1.511781,45.361245,63.165038,63.165038
1.511781,1.732490,2.078699,44.917244,56.501708,56.501708
2.078699,1.732490,1.511781,44.917244,56.501708,56.501708
1.511781,1.861168,2.078702,44.613258,52.591262,52.591262
2.078702,1.861168,1.511781,44.613258,52.591262,52.591262
1.511781,1.987534,2.078701,44.425263,50.422926,50.422926
2.078701,1.987534,1.511781,44.425263,50.422926,50.422926
1.511781,2.078694,2.111123,43.132185,48.156544,48.156544
2.111123,2.078694,1.511781,43.132185,48.156544,48.156544
1.511781,2.078701,2.231544,39.572061,44.240721,44.240721
2.231544,2.078701,1.511781,39.572061,44.240721,44.240721
1.511781,2.078700,2.348426,37.203145,41.885442,41.885442
2.348426,2.078700,1.511781,37.203145,41.885442,41.885442
1.511781,2.078691,2.461435,34.926925,39.832932,39.832932
2.461435,2.078691,1.511781,34.926925,39.832932,39.832932
1.511781,2.078699,2.570305,33.143862,38.383270,38.383270
2.570305,2.078699,1.511781,33.143862,38.383270,38.383270
1.511781,2.078691,2.674735,31.749417,37.370848,37.370848
2.674735,2.078691,1.511781,31.749417,37.370848,37.370848
1.511781,2.078700,2.774500,30.575110,36.590857,36.590857
2.774500,2.078700,1.511781,30.575110,36.590857,36.590857
1.511781,2.078701,2.869350,29.541296,35.942737,35.942737
2.869350,2.078701,1.511781,29.541296,35.942737,35.942737
1.511781,2.078694,2.959064,28.592366,35.358666,35.358666
2.959064,2.078694,1.511781,28.592366,35.358666,35.358666
1.511781,2.078701,3.043463,27.725951,34.829190,34.829190
3.043463,2.078701,1.511781,27.725951,34.829190,34.829190
