# R1,R2,R3,E
1.511781,1.511788,1.943512,77.077026
1.511781,1.511788,2.042701,72.464169
1.511781,1.511781,2.137981,68.584641
1.511781,1.511788,2.229203,65.450934
1.511781,1.511788,2.316189,62.977184
1.511781,1.511782,2.398759,61.060274
1.511776,1.511781,2.476758,59.606492
1.511781,1.511784,2.550043,58.536699
1.511780,1.511781,2.618481,57.771886
1.511777,1.511781,2.681929,57.283433
1.511781,1.511787,2.740281,57.014575
1.511781,1.511793,2.793418,56.915098
1.511781,1.511787,2.841227,56.986822
1.511777,1.511781,2.883619,57.185343
1.511780,1.511781,2.920536,57.480609
1.511781,1.511784,2.951896,57.841702
1.511776,1.511781,2.977621,58.233627
1.511781,1.511782,2.997695,58.615968
1.511781,1.511788,3.012064,58.943454
1.511781,1.511788,3.020692,59.169858
1.511781,1.700761,1.733438,75.642715
1.511781,1.700749,1.849118,70.502896
1.511781,1.700749,1.961397,65.421012
1.511781,1.700758,2.070054,60.670864
1.511781,1.700762,2.174831,56.609424
1.511781,1.700754,2.275532,53.316310
1.511781,1.700762,2.371973,50.711558
1.511781,1.700758,2.463939,48.685846
1.511781,1.700749,2.551270,47.137921
1.511781,1.700749,2.633784,45.982224
1.511781,1.700761,2.711335,45.148765
1.511781,1.700749,2.783738,44.580782
1.511781,1.700760,2.850893,44.232482
1.511781,1.700755,2.912642,44.068002
1.511781,1.700764,2.968885,44.047360
1.511781,1.700755,3.019487,44.157202
1.511781,1.700760,3.064382,44.391932
1.511781,1.700749,3.103450,44.696564
1.511781,1.700761,3.136658,45.058698
1.511781,1.700749,3.163893,45.434405
1.511781,1.700749,3.185141,45.792506
1.511781,1.700758,3.200357,46.087555
1.511781,1.700762,3.209496,46.285642
1.511781,1.606015,1.889727,73.429541
1.511781,1.731971,1.889734,67.505569
1.511781,1.855220,1.889731,63.387192
1.511781,1.889721,1.975431,59.009715
1.511781,1.889734,2.092309,54.445555
1.511781,1.889731,2.205534,50.369632
1.511781,1.889718,2.314845,47.011211
1.511781,1.889726,2.420030,44.335341
1.511781,1.889718,2.520818,42.240941
1.511781,1.889731,2.617011,40.626148
1.511781,1.889734,2.708394,39.403237
1.511781,1.889721,2.794768,38.500309
1.511781,1.889731,2.875985,37.859952
1.511781,1.889734,2.951851,37.436631
1.511781,1.889727,3.022220,37.194312
1.511781,1.889723,3.086947,37.104419
1.511781,1.889735,3.145917,37.143229
1.511781,1.889723,3.198978,37.287892
1.511781,1.889727,3.246064,37.517028
1.511781,1.889734,3.287068,37.814896
1.511781,1.889731,3.321890,38.153310
1.511781,1.889721,3.350468,38.500786
1.511781,1.889734,3.372776,38.822808
1.511781,1.889731,3.388728,39.084597
1.511781,1.889718,3.398301,39.255972
1.470464,1.511781,2.078706,74.446993
1.511781,1.602032,2.078705,64.921848
1.511781,1.732490,2.078699,59.152166
1.511781,1.861168,2.078702,55.572285
1.511781,1.987534,2.078701,53.245193
1.511781,2.078694,2.111123,50.716284
1.511781,2.078701,2.231544,46.943563
1.511781,2.078700,2.348426,43.583668
1.511781,2.078691,2.461435,40.890236
1.511781,2.078699,2.570305,38.772116
1.511781,2.078691,2.674735,37.126881
1.511781,2.078700,2.774500,35.866156
1.511781,2.078701,2.869350,34.917696
1.511781,2.078694,2.959064,34.224174
1.511781,2.078701,3.043463,33.740664
1.511781,2.078702,3.122342,33.432302
1.511781,2.078699,3.195531,33.271725
1.511781,2.078705,3.262895,33.237077
1.511781,2.078706,3.324264,33.309842
1.511781,2.078705,3.379519,33.472761
1.511781,2.078699,3.428544,33.707014
1.511781,2.078702,3.471243,33.990962
1.511781,2.078701,3.507520,34.300278
1.511781,2.078694,3.537298,34.604347
1.511781,2.078701,3.560534,34.869822
1.511781,2.078700,3.577160,35.070295
1.511781,2.078691,3.587140,35.192018
1.474957,1.511781,2.267672,67.459776
1.511781,1.606110,2.267676,57.963772
1.511781,1.737974,2.267672,52.215338
1.511781,1.869520,2.267666,48.777605
1.511781,1.999897,2.267671,46.709570
1.511781,2.128418,2.267671,45.343210
1.511781,2.254501,2.267667,43.158526
1.511781,2.267668,2.377654,40.457289
1.511781,2.267673,2.497439,38.172086
1.511781,2.267665,2.613463,36.214804
1.511781,2.267671,2.725402,34.640556
1.511781,2.267665,2.832911,33.695175
1.511781,2.267673,2.935719,32.757253
1.511781,2.267668,3.033540,32.045951
1.511781,2.267667,3.126150,31.529181
1.511781,2.267671,3.213325,31.175807
1.511781,2.267671,3.294850,30.960634
1.511781,2.267666,3.370530,30.863975
1.511781,2.267672,3.440216,30.869613
1.511781,2.267676,3.503725,30.962542
1.511781,2.267672,3.560919,31.124377
1.511781,2.267666,3.611682,31.322941
1.511781,2.267671,3.655908,31.245016
1.511781,2.267671,3.693490,31.436338
1.511781,2.267667,3.724344,31.551600
1.511781,2.267668,3.748415,31.569900
1.511781,2.267673,3.765648,31.532260
1.511781,2.267665,3.775992,31.484863
1.495353,1.511781,2.456648,61.349469
1.511781,1.621889,2.456642,52.516849
1.511781,1.751665,2.456647,46.990613
1.511781,1.883106,2.456642,43.650362
1.511781,2.014989,2.456648,41.658821
