R1,R2,R3
7.948100e+00,1.580800e+01,9.142800e+00
9.601800e+00,7.259100e+00,3.367800e+00
2.879300e+00,9.138100e+00,9.047900e+00
6.090700e+00,4.942900e+00,3.438500e+00
1.633500e+00,7.138700e+00,6.787100e+00
4.226100e+00,1.038800e+01,6.465000e+00
6.285200e+00,5.454900e+00,5.549000e+00
3.414200e+00,5.820700e+00,8.209600e+00
4.580900e+00,7.565900e+00,3.810200e+00
1.690200e+00,4.395800e+00,4.000500e+00
4.269300e+00,6.308600e+00,6.835200e+00
9.040100e+00,8.079900e+00,2.010800e+00
7.987300e+00,1.318000e+01,9.129600e+00
6.293600e+00,1.073600e+01,4.633100e+00
6.532600e+00,7.429400e+00,2.695400e+00
3.139500e+00,6.458600e+00,8.082900e+00
4.777000e+00,1.005600e+01,5.776200e+00
1.564100e+00,3.150400e+00,1.774600e+00
7.510800e+00,8.564100e+00,2.714400e+00
6.409600e+00,8.152100e+00,1.776200e+00
7.920200e+00,1.650300e+01,8.614400e+00
3.217100e+00,5.446500e+00,7.449100e+00
3.046800e+00,5.780200e+00,5.936000e+00
2.992200e+00,9.997500e+00,8.141700e+00
7.640800e+00,9.588600e+00,5.383200e+00
2.482400e+00,6.416500e+00,4.611300e+00
3.627900e+00,4.579300e+00,2.688100e+00
6.877500e+00,4.951100e+00,7.250400e+00
6.528700e+00,7.879200e+00,5.304000e+00
3.543400e+00,6.344700e+00,5.616600e+00
3.558800e+00,9.199400e+00,6.193700e+00
3.296900e+00,8.080900e+00,7.167000e+00
8.865200e+00,9.442900e+00,6.577200e+00
3.018900e+00,1.032700e+01,7.591300e+00
4.748800e+00,6.549600e+00,1.800700e+00
5.668000e+00,9.813600e+00,9.690200e+00
8.523300e+00,5.952700e+00,4.202900e+00
7.452900e+00,8.309100e+00,2.038400e+00
5.400000e+00,1.007000e+01,4.680200e+00
8.897000e+00,1.431700e+01,6.130000e+00
2.211100e+00,8.743400e+00,8.435900e+00
4.179200e+00,4.735100e+00,3.867100e+00
7.778000e+00,1.143500e+01,5.388000e+00
7.696200e+00,1.448700e+01,8.078900e+00
8.612600e+00,1.490100e+01,9.454900e+00
1.879300e+00,4.354800e+00,3.786300e+00
9.369200e+00,9.855600e+00,8.549700e+00
4.081700e+00,5.062300e+00,2.043600e+00
9.670800e+00,1.154100e+01,2.774400e+00
5.253800e+00,1.141300e+01,6.744800e+00
4.078500e+00,4.865200e+00,4.378200e+00
7.969800e+00,1.450000e+01,7.327700e+00
4.165400e+00,1.118100e+01,8.797500e+00
8.918700e+00,1.079800e+01,5.377500e+00
8.595400e+00,9.941200e+00,1.680400e+00
6.785800e+00,7.837600e+00,3.698100e+00
6.217700e+00,5.256000e+00,2.595600e+00
3.180800e+00,7.908900e+00,4.732900e+00
6.708900e+00,8.284800e+00,2.427100e+00
4.644100e+00,6.177800e+00,1.875000e+00
3.300300e+00,1.214600e+01,9.144600e+00
9.158300e+00,1.363600e+01,4.593800e+00
3.857500e+00,9.515800e+00,7.755700e+00
7.171900e+00,9.440800e+00,2.338000e+00
9.435200e+00,7.900400e+00,3.958700e+00
4.094800e+00,8.193300e+00,5.927000e+00
6.806900e+00,6.581400e+00,6.563200e+00
5.237300e+00,1.424000e+01,9.248000e+00
2.727800e+00,5.921000e+00,5.118600e+00
8.581900e+00,6.770000e+00,4.402700e+00
2.559400e+00,1.116400e+01,8.795100e+00
8.768100e+00,1.058400e+01,3.509000e+00
6.687000e+00,1.261300e+01,8.410300e+00
6.746800e+00,5.352200e+00,2.611300e+00
6.592000e+00,4.872400e+00,2.561000e+00
9.578800e+00,1.124300e+01,5.686100e+00
6.643500e+00,1.655500e+01,9.928700e+00
3.233600e+00,6.483600e+00,7.267700e+00
2.335600e+00,1.060600e+01,9.672700e+00
2.282500e+00,6.061200e+00,6.080200e+00
3.825000e+00,6.149100e+00,7.130300e+00
2.083300e+00,9.017200e+00,8.079500e+00
6.409100e+00,4.430000e+00,5.550100e+00
5.422300e+00,8.493500e+00,6.445200e+00
1.906100e+00,7.237800e+00,5.701800e+00
2.148700e+00,1.000100e+01,7.866600e+00
4.052500e+00,5.632200e+00,5.752800e+00
8.946900e+00,1.100300e+01,4.320500e+00
2.304200e+00,1.038500e+01,8.144700e+00
7.901300e+00,1.115900e+01,5.858600e+00
8.431100e+00,1.211300e+01,6.352600e+00
6.800300e+00,7.986000e+00,3.447600e+00
2.696400e+00,7.284200e+00,6.561300e+00
9.533700e+00,1.387400e+01,4.594800e+00
1.829100e+00,6.041000e+00,5.996800e+00
7.759500e+00,1.384200e+01,6.121200e+00
8.081100e+00,1.122900e+01,4.357200e+00
3.229900e+00,6.963500e+00,7.595700e+00
6.762700e+00,1.043900e+01,5.426100e+00
3.262600e+00,3.998200e+00,4.747100e+00
9.261600e+00,9.814500e+00,1.761700e+00
9.147700e+00,1.682900e+01,7.704900e+00
3.873800e+00,6.559700e+00,6.307900e+00
6.007300e+00,8.083400e+00,6.868900e+00
9.034700e+00,1.742700e+01,8.394300e+00
9.044600e+00,1.660400e+01,8.564200e+00
8.246400e+00,1.391300e+01,5.804500e+00
7.199500e+00,1.534900e+01,8.154500e+00
4.093500e+00,3.521900e+00,2.535700e+00
8.309800e+00,1.392700e+01,7.038900e+00
7.850200e+00,1.219100e+01,9.154500e+00
9.634900e+00,1.193000e+01,3.019300e+00
1.719900e+00,8.008400e+00,8.416900e+00
7.939500e+00,1.273900e+01,4.883700e+00
2.377800e+00,8.847500e+00,7.082900e+00
9.825300e+00,1.217300e+01,2.466200e+00
2.932800e+00,9.985400e+00,8.888400e+00
8.552500e+00,1.282800e+01,7.147900e+00
9.158500e+00,1.281600e+01,5.751800e+00
2.936800e+00,4.526400e+00,5.487500e+00
9.809700e+00,1.312200e+01,4.065000e+00
7.856500e+00,9.249700e+00,2.644100e+00
6.635900e+00,5.675200e+00,5.877700e+00
3.868300e+00,7.144500e+00,4.805800e+00
7.797100e+00,1.196700e+01,9.366500e+00
4.760800e+00,1.070700e+01,6.008100e+00
6.967400e+00,1.513400e+01,8.200900e+00
6.552100e+00,9.205600e+00,8.528100e+00
4.939500e+00,9.056100e+00,5.450300e+00
2.977200e+00,1.005800e+01,7.328600e+00
6.567100e+00,6.787100e+00,6.757000e+00
4.932000e+00,1.425400e+01,9.451400e+00
7.973200e+00,1.232800e+01,4.523600e+00
8.269100e+00,1.646000e+01,8.968600e+00
3.259700e+00,1.043900e+01,7.178900e+00
5.406500e+00,1.386200e+01,8.456700e+00
3.849000e+00,8.586200e+00,9.146100e+00
1.809100e+00,6.753200e+00,5.805300e+00
8.007200e+00,1.351300e+01,6.245200e+00
5.670500e+00,1.319800e+01,8.733000e+00
3.339400e+00,9.648400e+00,9.131700e+00
6.048300e+00,1.160300e+01,6.526600e+00
9.217200e+00,1.289000e+01,5.115500e+00
7.642100e+00,6.513300e+00,8.045600e+00
6.677100e+00,1.243300e+01,6.360000e+00
8.331700e+00,8.019900e+00,3.991200e+00
6.654300e+00,1.361400e+01,8.375100e+00
7.785700e+00,7.678300e+00,8.291100e+00
2.843800e+00,5.820300e+00,4.051600e+00
4.349700e+00,5.332500e+00,3.140400e+00
7.950400e+00,1.251900e+01,8.050300e+00
5.880000e+00,5.846400e+00,7.113700e+00
9.086700e+00,1.292200e+01,4.937100e+00
1.657400e+00,6.052900e+00,5.845800e+00
5.305500e+00,5.980400e+00,7.740800e+00
5.065300e+00,8.141800e+00,3.160200e+00
8.301100e+00,9.020200e+00,9.313700e+00
5.419000e+00,1.206000e+01,7.500000e+00
8.106100e+00,6.979600e+00,1.528300e+00
6.610500e+00,9.401600e+00,3.752600e+00
6.404900e+00,9.421700e+00,7.745700e+00
2.016100e+00,8.723500e+00,6.737500e+00
8.544400e+00,1.449900e+01,6.966400e+00
2.447100e+00,1.038500e+01,9.609600e+00
4.446900e+00,6.083100e+00,8.589400e+00
6.490200e+00,8.849900e+00,3.682000e+00
8.604600e+00,1.728100e+01,9.414100e+00
9.057600e+00,8.834500e+00,3.286000e+00
