R1,R2,R3,ETriat,E,ENew
1.511781,1.511782,1.840621,46.498429,74.062527,74.062527
1.840621,1.511782,1.511781,46.498429,74.062527,74.062527
1.511781,1.511788,1.943512,44.552654,70.240327,70.240327
1.943512,1.511788,1.511781,44.552654,70.240327,70.240327
1.511781,1.511788,2.042701,41.197252,65.802183,65.802183
2.042701,1.511788,1.511781,41.197252,65.802183,65.802183
1.511781,1.511781,2.137981,38.069835,62.109512,62.109512
2.137981,1.511781,1.511781,38.069835,62.109512,62.109512
1.511781,1.511788,2.229203,35.412837,59.220204,59.220204
2.229203,1.511788,1.511781,35.412837,59.220204,59.220204
1.511781,1.511788,2.316189,33.238230,57.025936,57.025936
2.316189,1.511788,1.511781,33.238230,57.025936,57.025936
1.511781,1.511782,2.398759,31.536051,55.434560,55.434560
2.398759,1.511782,1.511781,31.536051,55.434560,55.434560
1.511776,1.511781,2.476758,30.263652,54.347855,54.347855
2.476758,1.511781,1.511776,30.263652,54.347855,54.347855
1.511781,1.511784,2.550043,28.311927,52.619362,52.619362
2.550043,1.511784,1.511781,28.311927,52.619362,52.619362
1.511780,1.511781,2.618481,26.114929,50.661645,50.661645
2.618481,1.511781,1.511780,26.114929,50.661645,50.661645
1.511777,1.511781,2.681929,24.350634,49.136573,49.136573
2.681929,1.511781,1.511777,24.350634,49.136573,49.136573
1.511781,1.511787,2.740281,22.971330,47.985776,47.985776
2.740281,1.511787,1.511781,22.971330,47.985776,47.985776
1.511781,1.511793,2.793418,21.909036,47.136750,47.136750
2.793418,1.511793,1.511781,21.909036,47.136750,47.136750
1.511781,1.511787,2.841227,21.122116,46.544786,46.544786
2.841227,1.511787,1.511781,21.122116,46.544786,46.544786
1.511777,1.511781,2.883619,20.577033,46.173546,46.173546
2.883619,1.511781,1.511777,20.577033,46.173546,46.173546
1.511780,1.511781,2.920536,20.236885,45.983525,45.983525
2.920536,1.511781,1.511780,20.236885,45.983525,45.983525
1.511781,1.511784,2.951896,20.065722,45.939293,45.939293
2.951896,1.511784,1.511781,20.065722,45.939293,45.939293
1.511776,1.511781,2.977621,20.025707,46.003689,46.003689
2.977621,1.511781,1.511776,20.025707,46.003689,46.003689
1.511781,1.511782,2.997695,20.074013,46.132003,46.132003
2.997695,1.511782,1.511781,20.074013,46.132003,46.132003
1.511781,1.511788,3.012064,20.152257,46.267039,46.267039
3.012064,1.511788,1.511781,20.152257,46.267039,46.267039
1.511781,1.511788,3.020692,20.224689,46.373802,46.373802
3.020692,1.511788,1.511781,20.224689,46.373802,46.373802
1.511781,1.614578,1.700749,50.939933,75.604641,75.604641
1.700749,1.614578,1.511781,50.939933,75.604641,75.604641
1.511781,1.700761,1.733438,50.083225,69.239006,69.239006
1.733438,1.700761,1.511781,50.083225,69.239006,69.239006
1.511781,1.700749,1.849118,48.147885,63.990777,63.990777
1.849118,1.700749,1.511781,48.147885,63.990777,63.990777
1.511781,1.700749,1.961397,45.057515,58.974850,58.974850
1.961397,1.700749,1.511781,45.057515,58.974850,58.974850
1.511781,1.700758,2.070054,41.472817,54.344516,54.344516
2.070054,1.700758,1.511781,41.472817,54.344516,54.344516
1.511781,1.700762,2.174831,38.012763,50.397081,50.397081
2.174831,1.700762,1.511781,38.012763,50.397081,50.397081
1.511781,1.700754,2.275532,35.038296,47.284969,47.284969
2.275532,1.700754,1.511781,35.038296,47.284969,47.284969
1.511781,1.700762,2.371973,32.480053,44.800812,44.800812
2.371973,1.700762,1.511781,32.480053,44.800812,44.800812
1.511781,1.700758,2.463939,30.628139,43.146514,43.146514
2.463939,1.700758,1.511781,30.628139,43.146514,43.146514
1.511781,1.700749,2.551270,29.105286,41.886700,41.886700
2.551270,1.700749,1.511781,29.105286,41.886700,41.886700
1.511781,1.700749,2.633784,27.904461,40.977181,40.977181
2.633784,1.700749,1.511781,27.904461,40.977181,40.977181
1.511781,1.700761,2.711335,26.289095,39.658565,39.658565
2.711335,1.700761,1.511781,26.289095,39.658565,39.658565
1.511781,1.700749,2.783738,24.492925,38.152182,38.152182
2.783738,1.700749,1.511781,24.492925,38.152182,38.152182
1.511781,1.700760,2.850893,23.030696,36.962575,36.962575
2.850893,1.700760,1.511781,23.030696,36.962575,36.962575
1.511781,1.700755,2.912642,21.903314,36.087226,36.087226
2.912642,1.700755,1.511781,21.903314,36.087226,36.087226
