# R1,R2,R3,E
1.511781,1.511782,1.840621,74.062527
1.511781,1.511788,1.943512,70.240327
1.511781,1.511788,2.042701,65.802183
1.511781,1.511781,2.137981,62.109512
1.511781,1.511788,2.229203,59.220204
1.511781,1.511788,2.316189,57.025936
1.511781,1.511782,2.398759,55.434560
1.511776,1.511781,2.476758,54.347855
1.511781,1.511784,2.550043,52.619362
1.511780,1.511781,2.618481,50.661645
1.511777,1.511781,2.681929,49.136573
1.511781,1.511787,2.740281,47.985776
1.511781,1.511793,2.793418,47.136750
1.511781,1.511787,2.841227,46.544786
1.511777,1.511781,2.883619,46.173546
1.511780,1.511781,2.920536,45.983525
1.511781,1.511784,2.951896,45.939293
1.511776,1.511781,2.977621,46.003689
1.511781,1.511782,2.997695,46.132003
1.511781,1.511788,3.012064,46.267039
1.511781,1.511788,3.020692,46.373802
1.511781,1.614578,1.700749,75.604641
1.511781,1.700761,1.733438,69.239006
1.511781,1.700749,1.849118,63.990777
1.511781,1.700749,1.961397,58.974850
1.511781,1.700758,2.070054,54.344516
1.511781,1.700762,2.174831,50.397081
1.511781,1.700754,2.275532,47.284969
1.511781,1.700762,2.371973,44.800812
1.511781,1.700758,2.463939,43.146514
1.511781,1.700749,2.551270,41.886700
1.511781,1.700749,2.633784,40.977181
1.511781,1.700761,2.711335,39.658565
1.511781,1.700749,2.783738,38.152182
1.511781,1.700760,2.850893,36.962575
1.511781,1.700755,2.912642,36.087226
1.511781,1.700764,2.968885,35.476963
1.511781,1.700755,3.019487,35.071205
1.511781,1.700760,3.064382,34.848574
1.511781,1.700749,3.103450,34.776286
1.511781,1.700761,3.136658,34.819650
1.511781,1.700749,3.163893,34.944972
1.511781,1.700749,3.185141,35.116477
1.511781,1.700758,3.200357,35.288199
1.511781,1.700762,3.209496,35.415126
1.477776,1.511781,1.889723,75.558849
1.511781,1.606015,1.889727,66.622936
1.511781,1.731971,1.889734,61.053509
1.511781,1.855220,1.889731,57.044800
1.511781,1.889721,1.975431,53.055475
1.511781,1.889734,2.092309,48.457664
1.511781,1.889731,2.205534,44.348090
1.511781,1.889718,2.314845,41.088106
1.511781,1.889726,2.420030,38.572814
1.511781,1.889718,2.520818,36.693153
1.511781,1.889731,2.617011,35.333125
1.511781,1.889734,2.708394,34.049070
1.511781,1.889721,2.794768,33.181094
1.511781,1.889731,2.875985,32.510251
1.511781,1.889734,2.951851,31.400520
1.511781,1.889727,3.022220,30.506568
1.511781,1.889723,3.086947,29.852377
1.511781,1.889735,3.145917,29.411711
1.511781,1.889723,3.198978,29.408849
1.511781,1.889727,3.246064,29.303518
1.511781,1.889734,3.287068,29.319909
1.511781,1.889731,3.321890,29.426932
1.511781,1.889721,3.350468,29.590935
1.511781,1.889734,3.372776,29.775796
1.511781,1.889731,3.388728,29.945393
1.511781,1.889718,3.398301,30.065208
1.470464,1.511781,2.078706,67.781885
1.511781,1.602032,2.078705,58.442165
1.511781,1.732490,2.078699,52.889000
1.511781,1.861168,2.078702,49.544673
1.511781,1.987534,2.078701,47.406171
1.511781,2.078694,2.111123,45.146294
1.511781,2.078701,2.231544,41.146605
1.511781,2.078700,2.348426,37.620929
1.511781,2.078691,2.461435,35.068040
1.511781,2.078699,2.570305,33.055034
1.511781,2.078691,2.674735,31.610575
1.511781,2.078700,2.774500,30.057793
1.511781,2.078701,2.869350,28.820268
1.511781,2.078694,2.959064,28.079609
1.511781,2.078701,3.043463,27.772374
1.511781,2.078702,3.122342,27.617955
1.511781,2.078699,3.195531,27.326765
1.511781,2.078705,3.262895,26.865587
1.511781,2.078706,3.324264,26.575915
1.511781,2.078705,3.379519,26.436282
1.511781,2.078699,3.428544,26.426265
1.511781,2.078702,3.471243,26.524225
1.511781,2.078701,3.507520,26.701281
1.511781,2.078694,3.537298,26.917624
1.511781,2.078701,3.560534,27.129068
1.511781,2.078700,3.577160,27.300833
1.511781,2.078691,3.587140,27.412929
1.345858,1.511781,2.267666,76.522963
