# R1,R2,R3,E
1.511781,1.511784,1.624569,76.792558
1.511776,1.511781,1.734233,70.761780
1.511781,1.511782,1.840621,66.825229
1.511781,1.511788,1.943512,64.275853
1.511781,1.511788,2.042701,61.444870
1.511781,1.511781,2.137981,58.711456
1.511781,1.511788,2.229203,56.436401
1.511781,1.511788,2.316189,54.738609
1.511781,1.511782,2.398759,53.521249
1.511776,1.511781,2.476758,52.731978
1.511781,1.511784,2.550043,51.327892
1.511780,1.511781,2.618481,49.579190
1.511777,1.511781,2.681929,48.211096
1.511781,1.511787,2.740281,47.163636
1.511781,1.511793,2.793418,46.391885
1.511781,1.511787,2.841227,45.839035
1.511777,1.511781,2.883619,45.602311
1.511780,1.511781,2.920536,45.575772
1.511781,1.511784,2.951896,45.689646
1.511776,1.511781,2.977621,45.902304
1.511781,1.511782,2.997695,46.134475
1.511781,1.511788,3.012064,46.336899
1.511781,1.511788,3.020692,46.505368
1.492829,1.511781,1.700760,74.134338
1.511781,1.614578,1.700749,64.888241
1.511781,1.700761,1.733438,58.538433
1.511781,1.700749,1.849118,54.217546
1.511781,1.700749,1.961397,51.363537
1.511781,1.700758,2.070054,49.227507
1.511781,1.700762,2.174831,46.050739
1.511781,1.700754,2.275532,43.345946
1.511781,1.700762,2.371973,41.443909
1.511781,1.700758,2.463939,40.109465
1.511781,1.700749,2.551270,39.185419
1.511781,1.700749,2.633784,38.550785
1.511781,1.700761,2.711335,37.509873
1.511781,1.700749,2.783738,36.233450
1.511781,1.700760,2.850893,35.265607
1.511781,1.700755,2.912642,34.527116
1.511781,1.700764,2.968885,34.020016
1.511781,1.700755,3.019487,33.712564
1.511781,1.700760,3.064382,33.578309
1.511781,1.700749,3.103450,33.593833
1.511781,1.700761,3.136658,33.760091
1.511781,1.700749,3.163893,34.057309
1.511781,1.700749,3.185141,34.442989
1.511781,1.700758,3.200357,34.789859
1.511781,1.700762,3.209496,35.110406
1.477776,1.511781,1.889723,68.713650
1.511781,1.606015,1.889727,58.275690
1.511781,1.731971,1.889734,51.548919
1.511781,1.855220,1.889731,47.106915
1.511781,1.889721,1.975431,44.151217
1.511781,1.889734,2.092309,41.797847
1.511781,1.889731,2.205534,39.009317
1.511781,1.889718,2.314845,36.416273
1.511781,1.889726,2.420030,34.340043
1.511781,1.889718,2.520818,32.869219
1.511781,1.889731,2.617011,31.825531
1.511781,1.889734,2.708394,31.110544
1.511781,1.889721,2.794768,30.616583
1.511781,1.889731,2.875985,29.808666
1.511781,1.889734,2.951851,28.960898
1.511781,1.889727,3.022220,28.204975
1.511781,1.889723,3.086947,27.742323
1.511781,1.889735,3.145917,27.423640
1.511781,1.889723,3.198978,27.267963
1.511781,1.889727,3.246064,27.253436
1.511781,1.889734,3.287068,27.360155
1.511781,1.889731,3.321890,27.568042
1.511781,1.889721,3.350468,27.831956
1.511781,1.889734,3.372776,28.244783
1.511781,1.889731,3.388728,28.651148
1.511781,1.889718,3.398301,29.007731
1.338597,1.511781,2.078705,81.340933
1.470464,1.511781,2.078706,64.706719
1.511781,1.602032,2.078705,54.176350
1.511781,1.732490,2.078699,47.454566
1.511781,1.861168,2.078702,43.125829
1.511781,1.987534,2.078701,40.201180
1.511781,2.078694,2.111123,38.126858
1.511781,2.078701,2.231544,35.593830
1.511781,2.078700,2.348426,32.724556
1.511781,2.078691,2.461435,30.533584
1.511781,2.078699,2.570305,28.900145
1.511781,2.078691,2.674735,27.768385
1.511781,2.078700,2.774500,27.020094
1.511781,2.078701,2.869350,26.479386
1.511781,2.078694,2.959064,26.059145
1.511781,2.078701,3.043463,25.523685
1.511781,2.078702,3.122342,24.921444
1.511781,2.078699,3.195531,24.433814
1.511781,2.078705,3.262895,24.103943
1.511781,2.078706,3.324264,23.924980
1.511781,2.078705,3.379519,23.880228
1.511781,2.078699,3.428544,23.952343
1.511781,2.078702,3.471243,24.125149
1.511781,2.078701,3.507520,24.383078
1.511781,2.078694,3.537298,24.647903
1.511781,2.078701,3.560534,25.045378
1.511781,2.078700,3.577160,25.440165
1.511781,2.078691,3.587140,25.798830
1.345858,1.511781,2.267666,75.433136
1.474957,1.511781,2.267672,59.093537
1.511781,1.606110,2.267676,48.587627
1.511781,1.737974,2.267672,41.976030
1.511781,1.869520,2.267666,37.939828
1.511781,1.999897,2.267671,35.518593
1.511781,2.128418,2.267671,34.033372
