# R1,R2,R3,E
1.511781,1.511788,1.943512,51.389354
1.511781,1.511788,2.042701,47.859238
1.511781,1.511781,2.137981,44.544964
1.511781,1.511788,2.229203,41.643566
1.511781,1.511788,2.316189,39.189477
1.511781,1.511782,2.398759,37.161764
1.511776,1.511781,2.476758,35.522288
1.511781,1.511784,2.550043,34.229265
1.511780,1.511781,2.618481,33.225170
1.511777,1.511781,2.681929,32.497493
1.511781,1.511787,2.740281,32.000129
1.511781,1.511793,2.793418,31.687383
1.511781,1.511787,2.841227,31.564151
1.511777,1.511781,2.883619,31.588830
1.511780,1.511781,2.920536,31.733969
1.511781,1.511784,2.951896,31.968131
1.511776,1.511781,2.977621,32.255646
1.511781,1.511782,2.997695,32.557978
1.511781,1.511788,3.012064,32.828672
1.511781,1.511788,3.020692,33.020745
1.511781,1.700761,1.733438,56.486934
1.511781,1.700749,1.849118,54.660005
1.511781,1.700749,1.961397,51.503677
1.511781,1.700758,2.070054,47.799165
1.511781,1.700762,2.174831,44.225107
1.511781,1.700754,2.275532,41.069637
1.511781,1.700762,2.371973,38.390799
1.511781,1.700758,2.463939,36.167471
1.511781,1.700749,2.551270,34.356507
1.511781,1.700749,2.633784,32.909503
1.511781,1.700761,2.711335,31.779295
1.511781,1.700749,2.783738,30.921525
1.511781,1.700760,2.850893,30.300603
1.511781,1.700755,2.912642,29.884089
1.511781,1.700764,2.968885,29.635893
1.511781,1.700755,3.019487,29.542821
1.511781,1.700760,3.064382,29.600917
1.511781,1.700749,3.103450,29.753947
1.511781,1.700761,3.136658,29.990446
1.511781,1.700749,3.163893,30.263932
1.511781,1.700749,3.185141,30.543901
1.511781,1.700758,3.200357,30.784044
1.511781,1.700762,3.209496,30.949396
1.511781,1.606015,1.889727,53.656083
1.511781,1.731971,1.889734,53.692227
1.511781,1.855220,1.889731,53.073207
1.511781,1.889721,1.975431,50.662093
1.511781,1.889734,2.092309,47.109494
1.511781,1.889731,2.205534,43.451726
1.511781,1.889718,2.314845,40.149966
1.511781,1.889726,2.420030,37.319242
1.511781,1.889718,2.520818,34.953469
1.511781,1.889731,2.617011,33.011306
1.511781,1.889734,2.708394,31.441012
1.511781,1.889721,2.794768,30.192371
1.511781,1.889731,2.875985,29.221379
1.511781,1.889734,2.951851,28.489520
1.511781,1.889727,3.022220,27.964906
1.511781,1.889723,3.086947,27.621307
1.511781,1.889735,3.145917,27.435913
1.511781,1.889723,3.198978,27.384985
1.511781,1.889727,3.246064,27.446795
1.511781,1.889734,3.287068,27.604049
1.511781,1.889731,3.321890,27.826853
1.511781,1.889721,3.350468,28.082160
1.511781,1.889734,3.372776,28.334471
