#R1,R2,R3,E
2.000000e+00,9.229678e-01,2.922968e+00,1.402064e+01
2.000000e+00,1.922968e+00,3.922968e+00,-1.226773e+01
2.000000e+00,2.922968e+00,4.922968e+00,-1.029685e+01
2.000000e+00,3.922968e+00,5.922968e+00,-7.929194e+00
2.000000e+00,4.922968e+00,6.922968e+00,-6.890976e+00
2.000000e+00,5.922968e+00,7.922968e+00,-6.614802e+00
2.000000e+00,6.922968e+00,8.922968e+00,-6.557258e+00
3.000000e+00,1.384452e+00,4.384452e+00,-4.073917e+00
3.000000e+00,2.384452e+00,5.384452e+00,-8.348495e+00
3.000000e+00,3.384452e+00,6.384452e+00,-5.938537e+00
3.000000e+00,4.384452e+00,7.384452e+00,-4.544390e+00
3.000000e+00,5.384452e+00,8.384452e+00,-4.116440e+00
3.000000e+00,6.384452e+00,9.384452e+00,-4.019717e+00
4.000000e+00,8.459355e-01,4.845936e+00,3.117701e+01
4.000000e+00,1.845936e+00,5.845936e+00,-4.010963e+00
4.000000e+00,2.845936e+00,6.845936e+00,-2.867658e+00
4.000000e+00,3.845936e+00,7.845936e+00,-1.094900e+00
4.000000e+00,4.845936e+00,8.845936e+00,-5.352640e-01
4.000000e+00,5.845936e+00,9.845936e+00,-4.206951e-01
5.000000e+00,6.925806e-01,4.307419e+00,5.736473e+01
5.000000e+00,1.307419e+00,6.307419e+00,3.447849e+00
5.000000e+00,2.307419e+00,7.307419e+00,-2.841389e+00
5.000000e+00,3.307419e+00,8.307419e+00,-8.673770e-01
5.000000e+00,4.307419e+00,9.307419e+00,-1.544892e-01
5.000000e+00,5.307419e+00,1.030742e+01,-4.941835e-02
6.000000e+00,1.231097e+00,4.768903e+00,5.980020e+00
6.000000e+00,7.689033e-01,6.768903e+00,4.326736e+01
6.000000e+00,1.768903e+00,7.768903e+00,-2.330462e+00
6.000000e+00,2.768903e+00,8.768903e+00,-1.605842e+00
6.000000e+00,3.768903e+00,9.768903e+00,-2.112554e-01
6.000000e+00,4.768903e+00,1.076890e+01,-4.492605e-03
7.000000e+00,1.769613e+00,5.230387e+00,-2.252345e+00
7.000000e+00,7.696128e-01,6.230387e+00,4.479854e+01
7.000000e+00,1.230387e+00,8.230387e+00,7.448517e+00
7.000000e+00,2.230387e+00,9.230387e+00,-8.363587e-01
1.000000e+01,1.461484e+01,2.461484e+01,9.697051e-03
1.800000e+00,2.030671e+00,3.830671e+00,-9.015873e+00
1.800000e+00,2.830671e+00,4.630671e+00,-7.026951e+00
1.800000e+00,3.030671e+00,4.830671e+00,-6.384716e+00
1.800000e+00,3.280671e+00,5.080671e+00,-5.622176e+00
1.800000e+00,3.530671e+00,5.330671e+00,-4.936345e+00
1.800000e+00,4.030671e+00,5.830671e+00,-3.922993e+00
1.800000e+00,4.530671e+00,6.330671e+00,-3.756982e+00
1.800000e+00,5.030671e+00,6.830671e+00,-3.414666e+00
1.800000e+00,6.030671e+00,7.830671e+00,-3.165321e+00
1.800000e+00,6.530671e+00,8.330671e+00,-3.129732e+00
1.800000e+00,7.030671e+00,8.830671e+00,-3.113922e+00
1.800000e+00,8.030671e+00,9.830671e+00,-3.103443e+00
3.800000e+00,2.153639e+00,5.953639e+00,-4.807283e+00
3.800000e+00,2.953639e+00,6.753639e+00,-3.172642e+00
3.800000e+00,3.953639e+00,7.753639e+00,-1.462498e+00
3.800000e+00,4.953639e+00,8.753639e+00,-9.019052e-01
4.500000e+00,5.766775e-01,5.076677e+00,8.967478e+01
4.500000e+00,1.776677e+00,6.276677e+00,-2.914914e+00
4.500000e+00,2.576677e+00,7.076677e+00,-2.648736e+00
4.500000e+00,3.576677e+00,8.076677e+00,-7.480864e-01
4.500000e+00,4.576677e+00,9.076677e+00,-1.869690e-01
5.200000e+00,1.399716e+00,6.599716e+00,1.412564e+00
5.200000e+00,2.199716e+00,7.399716e+00,-2.919207e+00
5.200000e+00,3.199716e+00,8.399716e+00,-9.856157e-01
5.200000e+00,4.199716e+00,9.399716e+00,-1.672291e-01
6.000000e+00,9.689033e-01,6.968903e+00,2.017374e+01
6.000000e+00,1.768903e+00,7.768903e+00,-2.342450e+00
6.000000e+00,2.768903e+00,8.768903e+00,-1.717603e+00
6.000000e+00,3.768903e+00,9.768903e+00,-3.103476e-01
6.500000e+00,1.249645e+00,7.749645e+00,5.350800e+00
6.500000e+00,1.499645e+00,7.999645e+00,-6.944732e-02
6.500000e+00,1.999645e+00,8.499645e+00,-2.813062e+00
6.500000e+00,2.499645e+00,8.999645e+00,-2.199898e+00
6.500000e+00,2.799645e+00,9.299645e+00,-1.514012e+00
6.500000e+00,3.299645e+00,9.799645e+00,-5.788318e-01
6.500000e+00,3.499645e+00,9.999645e+00,-3.724128e-01
6.500000e+00,3.999645e+00,1.049965e+01,-1.168861e-01
6.500000e+00,4.499645e+00,1.099965e+01,-2.397854e-02
6.500000e+00,5.499645e+00,1.199965e+01,3.137832e-02
6.500000e+00,6.499645e+00,1.299965e+01,4.552226e-02
6.500000e+00,7.499645e+00,1.399965e+01,5.008172e-02
7.500000e+00,1.261129e+00,8.761129e+00,6.740574e+00
7.500000e+00,7.111291e-01,8.211129e+00,5.510582e+01
7.500000e+00,9.611291e-01,8.461129e+00,2.251168e+01
7.500000e+00,2.538871e+00,4.961129e+00,-2.170677e+00
7.500000e+00,2.038871e+00,5.461129e+00,-2.796723e+00
7.500000e+00,1.538871e+00,5.961129e+00,1.220212e+00
7.500000e+00,9.611291e-01,8.461129e+00,2.084654e+01
7.500000e+00,1.461129e+00,8.961129e+00,5.042907e-01
7.500000e+00,1.961129e+00,9.461129e+00,-2.767868e+00
7.500000e+00,2.461129e+00,9.961129e+00,-2.265370e+00
7.500000e+00,2.961129e+00,1.046113e+01,-1.148547e+00
7.500000e+00,3.461129e+00,1.096113e+01,-3.937749e-01
7.500000e+00,3.961129e+00,1.146113e+01,-1.191074e-01
7.500000e+00,4.961129e+00,1.246113e+01,1.968816e-02
1.400000e+00,6.246077e+00,7.646077e+00,2.161313e+01
1.400000e+00,8.246077e+00,9.646077e+00,2.166025e+01
1.400000e+00,1.096077e+00,2.496077e+00,2.889992e+01
1.400000e+00,1.146077e+00,2.546077e+00,2.657646e+01
1.400000e+00,1.246077e+00,2.646077e+00,2.295056e+01
1.400000e+00,1.446077e+00,2.846077e+00,1.856547e+01
1.400000e+00,1.646077e+00,3.046077e+00,1.649830e+01
1.400000e+00,2.046077e+00,3.446077e+00,1.562927e+01
1.400000e+00,2.446077e+00,3.846077e+00,1.647445e+01
1.400000e+00,2.846077e+00,4.246077e+00,1.776000e+01
1.400000e+00,3.246077e+00,4.646077e+00,1.903181e+01
1.400000e+00,3.746077e+00,5.146077e+00,2.025559e+01
1.400000e+00,4.246077e+00,5.646077e+00,2.065855e+01
1.400000e+00,4.746077e+00,6.146077e+00,2.115740e+01
1.400000e+00,5.246077e+00,6.646077e+00,2.142314e+01
1.400000e+00,5.746077e+00,7.146077e+00,2.155281e+01
1.500000e+00,1.042226e+00,2.542226e+00,2.232225e+01
1.500000e+00,1.092226e+00,2.592226e+00,1.951945e+01
1.500000e+00,1.192226e+00,2.692226e+00,1.513576e+01
1.500000e+00,1.392226e+00,2.892226e+00,9.783821e+00
1.500000e+00,1.592226e+00,3.092226e+00,7.183657e+00
1.500000e+00,1.992226e+00,3.492226e+00,5.848302e+00
1.500000e+00,2.392226e+00,3.892226e+00,6.554086e+00
1.500000e+00,2.792226e+00,4.292226e+00,7.818341e+00
1.500000e+00,3.192226e+00,4.692226e+00,9.123950e+00
1.500000e+00,3.692226e+00,5.192226e+00,1.053294e+01
1.500000e+00,4.192226e+00,5.692226e+00,1.152585e+01
1.500000e+00,4.692226e+00,6.192226e+00,1.134671e+01
1.500000e+00,5.192226e+00,6.692226e+00,1.163394e+01
1.500000e+00,5.692226e+00,7.192226e+00,1.177464e+01
1.500000e+00,6.192226e+00,7.692226e+00,1.183990e+01
1.500000e+00,8.192226e+00,9.692226e+00,1.189070e+01
1.600000e+00,9.883742e-01,2.588374e+00,1.922079e+01
1.600000e+00,1.038374e+00,2.638374e+00,1.584597e+01
