# R1,R2,R3
2.000000,1.922968,3.922968
2.000000,2.922968,4.922968
2.000000,3.922968,5.922968
2.000000,4.922968,6.922968
2.000000,5.922968,7.922968
2.000000,6.922968,8.922968
3.000000,1.384452,4.384452
3.000000,2.384452,5.384452
3.000000,3.384452,6.384452
3.000000,4.384452,7.384452
3.000000,5.384452,8.384452
3.000000,6.384452,9.384452
4.000000,1.845936,5.845936
4.000000,2.845936,6.845936
4.000000,3.845936,7.845936
4.000000,4.845936,8.845936
4.000000,5.845936,9.845936
5.000000,1.307419,6.307419
5.000000,3.307419,8.307419
5.000000,4.307419,9.307419
6.000000,1.231097,4.768903
6.000000,0.768903,6.768903
6.000000,1.768903,7.768903
6.000000,2.768903,8.768903
6.000000,3.768903,9.768903
6.000000,4.768903,10.768900
7.000000,1.769613,5.230387
7.000000,1.230387,8.230387
7.000000,2.230387,9.230387
10.000000,14.614840,24.614840
1.800000,2.830671,4.630671
1.800000,3.030671,4.830671
1.800000,3.280671,5.080671
1.800000,3.530671,5.330671
1.800000,4.030671,5.830671
1.800000,4.530671,6.330671
1.800000,5.030671,6.830671
1.800000,6.030671,7.830671
1.800000,6.530671,8.330671
1.800000,7.030671,8.830671
1.800000,8.030671,9.830671
3.800000,2.153639,5.953639
3.800000,2.953639,6.753639
3.800000,3.953639,7.753639
3.800000,4.953639,8.753639
4.500000,0.576677,5.076677
4.500000,1.776677,6.276677
4.500000,2.576677,7.076677
4.500000,3.576677,8.076677
4.500000,4.576677,9.076677
5.200000,1.399716,6.599716
5.200000,2.199716,7.399716
5.200000,3.199716,8.399716
5.200000,4.199716,9.399716
6.000000,0.968903,6.968903
6.000000,1.768903,7.768903
6.000000,2.768903,8.768903
6.000000,3.768903,9.768903
6.500000,1.249645,7.749645
6.500000,1.499645,7.999645
6.500000,1.999645,8.499645
6.500000,2.499645,8.999645
6.500000,2.799645,9.299645
6.500000,3.299645,9.799645
6.500000,3.499645,9.999645
7.500000,1.261129,8.761129
7.500000,0.711129,8.211129
7.500000,0.961129,8.461129
7.500000,2.538871,4.961129
7.500000,2.038871,5.461129
7.500000,1.538871,5.961129
7.500000,0.961129,8.461129
7.500000,1.461129,8.961129
7.500000,1.961129,9.461129
7.500000,2.461129,9.961129
1.400000,6.246077,7.646077
1.400000,8.246077,9.646077
1.400000,1.146077,2.546077
1.400000,1.246077,2.646077
1.400000,1.446077,2.846077
1.400000,1.646077,3.046077
1.400000,2.046077,3.446077
1.400000,2.846077,4.246077
1.400000,3.246077,4.646077
1.400000,3.746077,5.146077
1.400000,4.246077,5.646077
1.400000,4.746077,6.146077
1.400000,5.246077,6.646077
1.400000,5.746077,7.146077
1.500000,1.042226,2.542226
1.500000,1.092226,2.592226
1.500000,1.192226,2.692226
1.500000,1.392226,2.892226
1.500000,1.592226,3.092226
1.500000,1.992226,3.492226
1.500000,2.392226,3.892226
1.500000,3.192226,4.692226
1.500000,3.692226,5.192226
1.500000,4.192226,5.692226
1.500000,4.692226,6.192226
1.500000,5.192226,6.692226
1.500000,5.692226,7.192226
1.500000,6.192226,7.692226
1.500000,8.192226,9.692226
1.600000,0.988374,2.588374
1.600000,1.138374,2.738374
1.600000,1.338374,2.938374
1.600000,1.938374,3.538374
1.600000,2.338374,3.938374
1.600000,2.738374,4.338374
1.600000,3.138374,4.738374
1.600000,3.638374,5.238374
1.600000,4.138374,5.738374
1.600000,4.638374,6.238374
1.600000,5.138374,6.738374
1.600000,5.638374,7.238374
1.600000,6.138374,7.738374
1.600000,8.138374,9.738374
1.700000,1.084523,2.784523
1.700000,1.284523,2.984523
1.700000,1.484523,3.184523
1.700000,1.884523,3.584523
1.700000,2.284523,3.984523
1.700000,2.684523,4.384523
1.700000,3.084523,4.784523
1.700000,3.584523,5.284523
1.700000,4.084523,5.784523
1.700000,4.584523,6.284523
1.700000,5.084523,6.784523
1.700000,5.584523,7.284523
1.700000,6.084523,7.784523
1.700000,8.084523,9.784523
1.800000,1.230671,3.030671
1.800000,1.480671,3.280671
1.800000,1.630671,3.430671
1.800000,1.930671,3.730671
1.800000,2.130671,3.930671
1.800000,2.330671,4.130671
3.800000,1.853639,5.653639
4.000000,1.054064,2.945936
4.000000,0.954064,3.045936
4.000000,1.145936,5.145936
4.000000,1.345936,5.345936
4.000000,1.545936,5.545936
4.500000,1.323323,3.176677
4.500000,1.223323,3.276677
4.500000,0.876677,5.376677
4.500000,0.976677,5.476677
4.500000,1.126677,5.626677
4.500000,1.276677,5.776677
5.000000,0.607419,5.607419
5.000000,0.707419,5.707419
5.000000,0.757419,5.757419
5.000000,0.807419,5.807419
5.200000,1.900284,3.299716
5.200000,1.550284,3.649716
5.200000,1.300284,3.899716
5.200000,0.599716,5.799716
5.200000,0.649716,5.849716
5.200000,0.699716,5.899716
5.200000,0.799716,5.999716
5.200000,0.949716,6.149716
5.200000,1.099716,6.299716
5.200000,1.299716,6.499716
6.500000,2.800355,3.699645
6.500000,2.600355,3.899645
6.500000,2.400355,4.099645
6.500000,2.250355,4.249645
6.500000,2.000355,4.499645
6.500000,1.750355,4.749645
6.500000,1.500355,4.999645
6.500000,1.400355,5.099645
6.500000,1.250355,5.249645
6.500000,1.150355,5.349645
6.500000,0.699645,7.199645
6.500000,0.849645,7.349645
6.500000,0.949645,7.449645
6.500000,1.099645,7.599645
7.500000,3.238871,4.261129
7.500000,3.088871,4.411129
7.500000,2.938871,4.561129
7.500000,2.788871,4.711129
7.500000,2.538871,4.961129
7.500000,2.438871,5.061129
7.500000,2.288871,5.211129
7.500000,2.088871,5.411129
7.500000,1.988871,5.511129
7.500000,1.838871,5.661129
7.500000,1.688871,5.811129
7.500000,1.588871,5.911129
7.500000,1.438871,6.061129
7.500000,1.288871,6.211129
7.500000,1.188871,6.311129
7.500000,1.038871,6.461129
7.500000,0.411129,7.911129
7.500000,0.561129,8.061129
9.000000,3.096645,5.903355
9.000000,2.896645,6.103355
9.000000,2.796645,6.203355
9.000000,2.646645,6.353355
9.000000,2.496645,6.503355
9.000000,2.396645,6.603355
9.000000,2.246645,6.753355
9.000000,2.096645,6.903355
9.000000,1.946645,7.053355
9.000000,1.746645,7.253355
9.000000,1.546645,7.453355
9.000000,1.446645,7.553355
9.000000,1.246645,7.753355
9.000000,0.553355,9.553355
9.000000,0.703355,9.703355
9.000000,0.903355,9.903355
9.000000,1.153355,10.153350
9.000000,1.403355,10.403350
9.000000,1.653355,10.653350
9.000000,1.903355,10.903350
9.000000,2.153355,11.153350
9.000000,2.453355,11.453350
9.000000,2.753355,11.753350
9.000000,3.053355,12.053350
9.000000,3.453355,12.453350
9.000000,3.853355,12.853350
9.000000,4.153355,13.153350
9.000000,4.653355,13.653350
2.000000,0.762619,2.713683
2.000000,0.957768,2.913358
2.000000,1.154579,3.113074
2.000000,1.352325,3.312825
2.000000,1.749356,3.712407
2.000000,2.147490,4.112070
2.000000,2.945274,4.911561
2.400000,0.572979,2.897126
2.400000,0.761041,3.096713
4.000000,1.525238,5.427366
4.000000,1.719830,5.627029
4.000000,1.915536,5.826715
4.000000,2.161275,6.076352
4.000000,2.407891,6.326018
4.000000,2.902861,6.825423
4.000000,3.399303,7.324909
4.000000,3.896655,7.824460
4.000000,4.892979,8.823716
4.000000,5.391651,9.323403
4.000000,5.890549,9.823123
4.000000,6.888823,10.822640
4.500000,1.284384,5.656634
4.500000,1.474802,5.856241
4.500000,1.667464,6.055874
4.500000,1.910415,6.305448
4.500000,2.154978,6.555055
4.500000,2.647154,7.054351
4.500000,3.141802,7.553741
4.500000,3.637913,8.053206
4.500000,4.632645,9.052314
4.500000,5.130779,9.551938
4.500000,5.629244,10.051600
4.500000,6.626867,11.051010
5.000000,1.057325,5.886018
5.000000,1.239865,6.085569
5.000000,1.427094,6.285149
5.000000,1.665311,6.534660
5.000000,1.906547,6.784207
5.000000,2.394420,7.283394
5.000000,2.886447,7.782686
5.000000,3.380813,8.282062
5.000000,4.373391,9.281018
5.000000,4.870819,9.780575
5.000000,5.368724,10.280180
5.000000,6.365521,11.279480
3.200000,0.856877,3.962619
3.200000,1.336850,4.461689
3.200000,1.729020,4.861082
3.200000,2.124112,5.260567
3.200000,2.520753,5.660125
3.200000,3.117324,6.259568
3.200000,3.715000,6.859109
3.200000,4.313321,7.458723
3.200000,4.812241,7.958446
3.200000,5.311365,8.458201
3.200000,5.810639,8.957984
3.200000,6.310028,9.457790
3.200000,7.309057,10.457460
3.800000,2.510008,6.234438
3.800000,3.005806,6.733886
3.800000,3.502799,7.233410
3.800000,4.000541,7.732995
3.800000,4.299437,8.032771
3.800000,4.797905,8.532433
3.800000,4.997377,8.732308
3.800000,5.496227,9.232021
3.800000,5.995268,9.731763
3.800000,6.993761,10.731320
4.500000,0.743943,5.057999
4.500000,1.861675,6.255531
4.500000,2.647154,7.054351
4.500000,3.637913,8.053206
4.500000,4.632645,9.052314
4.500000,5.629244,10.051600
4.500000,6.626867,11.051010
5.200000,1.522026,6.576474
5.200000,2.294380,7.375041
5.200000,3.278520,8.373634
5.200000,4.270037,9.372527
5.200000,5.264763,10.371630
5.200000,6.261170,11.370900
6.000000,0.589857,5.746986
6.000000,1.162372,6.943505
6.000000,1.902602,7.741783
6.000000,2.873304,8.740073
6.000000,3.858997,9.738714
6.000000,4.850551,10.737610
6.000000,5.844983,11.736690
9.000000,6.283603,15.107480
9.000000,7.275826,16.106410
