R1,R2,R3,ETriat,EDiat,E
2.000000,1.922968,3.922968,-3.574962,-8.692768,-12.267730
2.000000,2.922968,4.922968,-2.854783,-7.442067,-10.296850
2.000000,3.922968,5.922968,-1.235463,-6.693731,-7.929194
2.000000,4.922968,6.922968,-0.295891,-6.595085,-6.890976
2.000000,5.922968,7.922968,-0.039555,-6.575247,-6.614802
2.000000,6.922968,8.922968,0.010612,-6.567870,-6.557258
3.000000,1.384452,4.384452,-2.892720,-1.181197,-4.073917
3.000000,2.384452,5.384452,-2.663353,-5.685142,-8.348495
3.000000,3.384452,6.384452,-1.596962,-4.341575,-5.938537
3.000000,4.384452,7.384452,-0.487288,-4.057102,-4.544390
3.000000,5.384452,8.384452,-0.096940,-4.019500,-4.116440
3.000000,6.384452,9.384452,-0.011025,-4.008692,-4.019717
4.000000,1.845936,5.845936,-2.026724,-1.984239,-4.010963
4.000000,2.845936,6.845936,-1.549168,-1.318490,-2.867658
4.000000,3.845936,7.845936,-0.564641,-0.530259,-1.094900
4.000000,4.845936,8.845936,-0.106976,-0.428288,-0.535264
4.000000,5.845936,9.845936,-0.011067,-0.409628,-0.420695
5.000000,1.307419,6.307419,-1.329364,4.777213,3.447849
5.000000,3.307419,8.307419,-0.454274,-0.413103,-0.867377
5.000000,4.307419,9.307419,-0.069837,-0.084652,-0.154489
6.000000,1.231097,4.768903,-1.054830,7.034850,5.980020
6.000000,0.768903,6.768903,-1.095711,44.363071,43.267360
6.000000,1.768903,7.768903,-1.043449,-1.287013,-2.330462
6.000000,2.768903,8.768903,-0.561602,-1.044240,-1.605842
6.000000,3.768903,9.768903,-0.049220,-0.162035,-0.211255
6.000000,4.768903,10.768900,0.038120,-0.042612,-0.004493
7.000000,1.769613,5.230387,-0.918264,-1.334081,-2.252345
7.000000,1.230387,8.230387,0.295634,7.152883,7.448517
7.000000,2.230387,9.230387,1.001266,-1.837624,-0.836359
10.000000,14.614840,24.614840,0.014525,-0.004828,0.009697
1.800000,2.830671,4.630671,-2.847632,-4.179319,-7.026951
1.800000,3.030671,4.830671,-2.511051,-3.873665,-6.384716
1.800000,3.280671,5.080671,-2.030875,-3.591301,-5.622176
1.800000,3.530671,5.330671,-1.527127,-3.409218,-4.936345
1.800000,4.030671,5.830671,-0.686065,-3.236928,-3.922993
1.800000,4.530671,6.330671,-0.579644,-3.177338,-3.756982
1.800000,5.030671,6.830671,-0.261228,-3.153438,-3.414666
1.800000,6.030671,7.830671,-0.030197,-3.135124,-3.165321
1.800000,6.530671,8.330671,0.001200,-3.130932,-3.129732
1.800000,7.030671,8.830671,0.014259,-3.128181,-3.113922
1.800000,8.030671,9.830671,0.021741,-3.125184,-3.103443
3.800000,2.153639,5.953639,-2.165603,-2.641680,-4.807283
3.800000,2.953639,6.753639,-1.658306,-1.514336,-3.172642
3.800000,3.953639,7.753639,-0.608010,-0.854488,-1.462498
3.800000,4.953639,8.753639,-0.129074,-0.772831,-0.901905
4.500000,0.576677,5.076677,4.667087,85.007693,89.674780
4.500000,1.776677,6.276677,-1.513631,-1.401283,-2.914914
4.500000,2.576677,7.076677,-1.218074,-1.430662,-2.648736
4.500000,3.576677,8.076677,-0.443542,-0.304544,-0.748086
4.500000,4.576677,9.076677,-0.065124,-0.121845,-0.186969
5.200000,1.399716,6.599716,-1.249775,2.662339,1.412564
5.200000,2.199716,7.399716,-1.046223,-1.872984,-2.919207
5.200000,3.199716,8.399716,-0.485808,-0.499808,-0.985616
5.200000,4.199716,9.399716,-0.078433,-0.088796,-0.167229
6.000000,0.968903,6.968903,-1.262030,21.435770,20.173740
6.000000,1.768903,7.768903,-1.055437,-1.287013,-2.342450
6.000000,2.768903,8.768903,-0.673363,-1.044240,-1.717603
6.000000,3.768903,9.768903,-0.148312,-0.162035,-0.310348
6.500000,1.249645,7.749645,-1.156353,6.507153,5.350800
6.500000,1.499645,7.999645,-1.093045,1.023597,-0.069447
6.500000,1.999645,8.499645,-0.947984,-1.865078,-2.813062
6.500000,2.499645,8.999645,-0.718271,-1.481627,-2.199898
6.500000,2.799645,9.299645,-0.518598,-0.995414,-1.514012
6.500000,3.299645,9.799645,-0.175597,-0.403235,-0.578832
6.500000,3.499645,9.999645,-0.101672,-0.270741,-0.372413
7.500000,1.261129,8.761129,0.598008,6.142566,6.740574
7.500000,0.711129,8.211129,0.890467,54.215353,55.105820
7.500000,0.961129,8.461129,0.431492,22.080188,22.511680
7.500000,2.538871,4.961129,-0.683539,-1.487138,-2.170677
7.500000,2.038871,5.461129,-0.873365,-1.923358,-2.796723
7.500000,1.538871,5.961129,0.715239,0.504973,1.220212
7.500000,0.961129,8.461129,-1.233648,22.080188,20.846540
7.500000,1.461129,8.961129,-1.089325,1.593615,0.504291
7.500000,1.961129,9.461129,-0.945348,-1.822520,-2.767868
7.500000,2.461129,9.961129,-0.723274,-1.542096,-2.265370
1.400000,6.246077,7.646077,-0.047288,21.660418,21.613130
1.400000,8.246077,9.646077,-0.009029,21.669279,21.660250
1.400000,1.146077,2.546077,-3.097152,29.673612,26.576460
1.400000,1.246077,2.646077,-3.065661,26.016221,22.950560
1.400000,1.446077,2.846077,-3.107633,21.673103,18.565470
1.400000,1.646077,3.046077,-3.206409,19.704709,16.498300
1.400000,2.046077,3.446077,-3.337687,18.966957,15.629270
1.400000,2.846077,4.246077,-2.775914,20.535914,17.760000
1.400000,3.246077,4.646077,-2.085744,21.117554,19.031810
1.400000,3.746077,5.146077,-1.203133,21.458723,20.255590
1.400000,4.246077,5.646077,-0.920762,21.579312,20.658550
1.400000,4.746077,6.146077,-0.466824,21.624224,21.157400
1.400000,5.246077,6.646077,-0.220911,21.644051,21.423140
1.400000,5.746077,7.146077,-0.101557,21.654367,21.552810
1.500000,1.042226,2.542226,-3.197984,25.520234,22.322250
1.500000,1.092226,2.592226,-3.165239,22.684689,19.519450
1.500000,1.192226,2.692226,-3.143362,18.279122,15.135760
1.500000,1.392226,2.892226,-3.198788,12.982609,9.783821
1.500000,1.592226,3.092226,-3.304053,10.487710,7.183657
1.500000,1.992226,3.492226,-3.435808,9.284110,5.848302
1.500000,2.392226,3.892226,-3.308405,9.862491,6.554086
1.500000,3.192226,4.692226,-2.176573,11.300523,9.123950
1.500000,3.692226,5.192226,-1.135866,11.668806,10.532940
1.500000,4.192226,5.692226,-0.273730,11.799580,11.525850
1.500000,4.692226,6.192226,-0.500538,11.847248,11.346710
1.500000,5.192226,6.692226,-0.233885,11.867825,11.633940
1.500000,5.692226,7.192226,-0.103748,11.878388,11.774640
1.500000,6.192226,7.692226,-0.044659,11.884559,11.839900
1.500000,8.192226,9.692226,-0.002960,11.893660,11.890700
1.600000,0.988374,2.588374,-3.247629,22.468419,19.220790
1.600000,1.138374,2.738374,-3.203355,13.766775,10.563420
1.600000,1.338374,2.938374,-3.268493,7.343042,4.074549
1.600000,1.938374,3.538374,-3.513321,2.483706,-1.029615
1.600000,2.338374,3.938374,-3.391687,2.896062,-0.495625
1.600000,2.738374,4.338374,-2.977533,3.702185,0.724652
1.600000,3.138374,4.738374,-2.296096,4.331315,2.035219
1.600000,3.638374,5.238374,-1.248439,4.729333,3.480894
1.600000,4.138374,5.738374,-0.343010,4.872021,4.529011
1.600000,4.638374,6.238374,-0.531797,4.923006,4.391209
1.600000,5.138374,6.738374,-0.245385,4.944499,4.699114
1.600000,5.638374,7.238374,-0.104628,4.955364,4.850736
1.600000,6.138374,7.738374,-0.040641,4.961676,4.921035
1.600000,8.138374,9.738374,0.004680,4.971037,4.975717
1.700000,1.084523,2.784523,-3.239584,11.796664,8.557080
1.700000,1.284523,2.984523,-3.312785,4.037555,0.724770
1.700000,1.484523,3.184523,-3.425139,0.198184,-3.226955
1.700000,1.884523,3.584523,-3.565278,-2.180535,-5.745813
1.700000,2.284523,3.984523,-3.452404,-1.963429,-5.415833
1.700000,2.684523,4.384523,-3.062145,-1.193196,-4.255341
1.700000,3.084523,4.784523,-2.411052,-0.542591,-2.953643
1.700000,3.584523,5.284523,-1.387362,-0.112424,-1.499786
1.700000,4.084523,5.784523,-0.456008,0.044055,-0.411953
1.700000,4.584523,6.284523,-0.541447,0.098988,-0.442459
1.700000,5.084523,6.784523,-0.239773,0.121580,-0.118193
1.700000,5.584523,7.284523,-0.090651,0.132807,0.042156
1.700000,6.084523,7.784523,-0.022741,0.139281,0.116540
1.700000,8.084523,9.784523,0.025575,0.148922,0.174497
1.800000,1.230671,3.030671,-3.333877,2.556195,-0.777682
1.800000,1.480671,3.280671,-3.476429,-2.867040,-6.343469
1.800000,1.630671,3.430671,-3.547307,-4.358200,-7.905507
1.800000,1.930671,3.730671,-3.592766,-5.409698,-9.002464
1.800000,2.130671,3.930671,-3.540942,-5.383567,-8.924509
1.800000,2.330671,4.130671,-3.424153,-5.108443,-8.532596
3.800000,1.853639,5.653639,-2.242206,-2.360968,-4.603174
4.000000,1.054064,2.945936,2.107602,13.372148,15.479750
4.000000,0.954064,3.045936,1.202743,20.844177,22.046920
4.000000,1.145936,5.145936,-2.115863,10.075317,7.959454
4.000000,1.345936,5.345936,-2.095276,3.406875,1.311599
4.000000,1.545936,5.545936,-2.074792,0.019646,-2.055146
4.500000,1.323323,3.176677,0.817348,3.103796,3.921144
4.500000,1.223323,3.276677,0.292141,6.276137,6.568278
4.500000,0.876677,5.376677,-1.675300,30.087380,28.412080
4.500000,0.976677,5.476677,-1.671631,20.713051,19.041420
4.500000,1.126677,5.626677,-1.637406,11.325372,9.687966
4.500000,1.276677,5.776677,-1.607044,5.577591,3.970547
5.000000,0.607419,5.607419,1.174170,76.890060,78.064230
5.000000,0.707419,5.707419,-0.823748,54.872528,54.048780
5.000000,0.757419,5.757419,-1.188663,46.150183,44.961520
5.000000,0.807419,5.807419,-1.355715,38.697605,37.341890
5.200000,1.900284,3.299716,0.112521,-2.744811,-2.632290
5.200000,1.550284,3.649716,-0.368471,-0.213731,-0.582202
5.200000,1.300284,3.899716,-0.653070,4.596066,3.942996
5.200000,0.599716,5.799716,1.491396,78.889674,80.381070
5.200000,0.649716,5.849716,0.089303,66.773447,66.862750
5.200000,0.699716,5.899716,-0.691481,56.353221,55.661740
5.200000,0.799716,5.999716,-1.286793,39.781583,38.494790
5.200000,0.949716,6.149716,-1.368560,23.029690,21.661130
5.200000,1.099716,6.299716,-1.324290,12.771180,11.446890
5.200000,1.299716,6.499716,-1.272794,4.995160,3.722366
6.500000,2.800355,3.699645,-0.272482,-1.539694,-1.812176
6.500000,2.600355,3.899645,-0.439032,-1.707981,-2.147013
6.500000,2.400355,4.099645,-0.590762,-1.912426,-2.503188
6.500000,2.250355,4.249645,-0.687745,-2.035981,-2.723726
6.500000,2.000355,4.499645,-0.815860,-2.008831,-2.824691
6.500000,1.750355,4.749645,-0.905896,-1.292193,-2.198089
6.500000,1.500355,4.999645,-0.978787,0.949545,-0.029242
6.500000,1.400355,5.099645,-1.035270,2.609118,1.573848
6.500000,1.250355,5.249645,-1.099636,6.440792,5.341156
6.500000,1.150355,5.349645,-1.132701,10.278062,9.145361
6.500000,0.699645,7.199645,0.991299,56.390281,57.381580
6.500000,0.849645,7.349645,0.383847,33.300183,33.684030
6.500000,0.949645,7.449645,0.410901,23.054829,23.465730
6.500000,1.099645,7.599645,0.503693,12.791987,13.295680
7.500000,3.238871,4.261129,-0.282760,-0.667073,-0.949833
7.500000,3.088871,4.411129,-0.374713,-0.771361,-1.146074
7.500000,2.938871,4.561129,-0.471205,-0.922316,-1.393521
7.500000,2.788871,4.711129,-0.565906,-1.114053,-1.679959
7.500000,2.538871,4.961129,-0.706507,-1.487138,-2.193645
7.500000,2.438871,5.061129,-0.718214,-1.635519,-2.353733
7.500000,2.288871,5.211129,-0.814096,-1.825848,-2.639944
7.500000,2.088871,5.411129,-0.867525,-1.938042,-2.805567
7.500000,1.988871,5.511129,-0.872559,-1.884744,-2.757303
7.500000,1.838871,5.661129,0.838932,-1.578952,-0.740020
7.500000,1.688871,5.811129,0.774465,-0.859903,-0.085438
7.500000,1.588871,5.911129,0.734441,-0.040744,0.693697
7.500000,1.438871,6.061129,0.677081,1.946466,2.623547
7.500000,1.288871,6.211129,0.615735,5.303925,5.919660
7.500000,1.188871,6.311129,0.569020,8.681381,9.250401
7.500000,1.038871,6.461129,0.529701,16.348979,16.878680
7.500000,0.411129,7.911129,23.887437,144.401763,168.289200
7.500000,0.561129,8.061129,4.862042,89.577238,94.439280
9.000000,3.096645,5.903355,1.511480,-0.612471,0.899010
9.000000,2.896645,6.103355,1.405004,-0.862660,0.542344
9.000000,2.796645,6.203355,1.321528,-1.009594,0.311934
9.000000,2.646645,6.353355,1.252125,-1.248359,0.003766
9.000000,2.496645,6.503355,1.148881,-1.492024,-0.343143
9.000000,2.396645,6.603355,1.117557,-1.643713,-0.526157
9.000000,2.246645,6.753355,1.022890,-1.826344,-0.803454
9.000000,2.096645,6.903355,0.975298,-1.905731,-0.930434
9.000000,1.946645,7.053355,0.882248,-1.803890,-0.921642
9.000000,1.746645,7.253355,0.793492,-1.178369,-0.384878
9.000000,1.546645,7.453355,0.711821,0.428633,1.140454
9.000000,1.446645,7.553355,0.673424,1.828597,2.502021
9.000000,1.246645,7.753355,0.590315,6.606386,7.196701
9.000000,0.553355,9.553355,7.839048,91.876632,99.715680
9.000000,0.703355,9.703355,-0.601482,55.682582,55.081100
9.000000,0.903355,9.903355,0.227119,27.387491,27.614610
9.000000,1.153355,10.153350,-1.168771,10.183736,9.014965
9.000000,1.403355,10.403350,-1.099965,2.608056,1.508091
9.000000,1.653355,10.653350,-1.036334,-0.586127,-1.622461
9.000000,1.903355,10.903350,-0.960415,-1.722584,-2.682999
9.000000,2.153355,11.153350,-0.868487,-1.887762,-2.756249
9.000000,2.453355,11.453350,-0.723001,-1.552746,-2.275747
9.000000,2.753355,11.753350,-0.529884,-1.066320,-1.596204
9.000000,3.053355,12.053350,-0.325137,-0.645163,-0.970300
9.000000,3.453355,12.453350,-0.099679,-0.295408,-0.395087
9.000000,3.853355,12.853350,-0.014754,-0.137001,-0.151755
9.000000,4.153355,13.153350,0.019119,-0.083854,-0.064734
9.000000,4.653355,13.653350,0.048722,-0.045200,0.003521
2.000000,0.762619,2.713683,-2.269083,36.666463,34.397380
2.000000,0.957768,2.913358,-2.626872,14.104602,11.477730
2.000000,1.154579,3.113074,-2.783407,2.251939,-0.531468
