# R1,R2,R3,EDiat
2.000000,1.922968,3.922968,-8.692768
2.000000,2.922968,4.922968,-7.442067
2.000000,3.922968,5.922968,-6.693731
2.000000,4.922968,6.922968,-6.595085
2.000000,5.922968,7.922968,-6.575247
2.000000,6.922968,8.922968,-6.567870
3.000000,1.384452,4.384452,-1.181197
3.000000,2.384452,5.384452,-5.685142
3.000000,3.384452,6.384452,-4.341575
3.000000,4.384452,7.384452,-4.057102
3.000000,5.384452,8.384452,-4.019500
3.000000,6.384452,9.384452,-4.008692
4.000000,1.845936,5.845936,-1.984239
4.000000,2.845936,6.845936,-1.318490
4.000000,3.845936,7.845936,-0.530259
4.000000,4.845936,8.845936,-0.428288
4.000000,5.845936,9.845936,-0.409628
5.000000,1.307419,6.307419,4.777213
5.000000,3.307419,8.307419,-0.413103
5.000000,4.307419,9.307419,-0.084652
6.000000,1.231097,4.768903,7.034850
6.000000,0.768903,6.768903,44.363071
6.000000,1.768903,7.768903,-1.287013
6.000000,2.768903,8.768903,-1.044240
6.000000,3.768903,9.768903,-0.162035
6.000000,4.768903,10.768900,-0.042612
7.000000,1.769613,5.230387,-1.334081
7.000000,1.230387,8.230387,7.152883
7.000000,2.230387,9.230387,-1.837624
10.000000,14.614840,24.614840,-0.004828
1.800000,2.830671,4.630671,-4.179319
1.800000,3.030671,4.830671,-3.873665
1.800000,3.280671,5.080671,-3.591301
1.800000,3.530671,5.330671,-3.409218
1.800000,4.030671,5.830671,-3.236928
1.800000,4.530671,6.330671,-3.177338
1.800000,5.030671,6.830671,-3.153438
1.800000,6.030671,7.830671,-3.135124
1.800000,6.530671,8.330671,-3.130932
1.800000,7.030671,8.830671,-3.128181
1.800000,8.030671,9.830671,-3.125184
3.800000,2.153639,5.953639,-2.641680
3.800000,2.953639,6.753639,-1.514336
3.800000,3.953639,7.753639,-0.854488
3.800000,4.953639,8.753639,-0.772831
4.500000,0.576677,5.076677,85.007693
4.500000,1.776677,6.276677,-1.401283
4.500000,2.576677,7.076677,-1.430662
4.500000,3.576677,8.076677,-0.304544
4.500000,4.576677,9.076677,-0.121845
5.200000,1.399716,6.599716,2.662339
5.200000,2.199716,7.399716,-1.872984
5.200000,3.199716,8.399716,-0.499808
5.200000,4.199716,9.399716,-0.088796
6.000000,0.968903,6.968903,21.435770
6.000000,1.768903,7.768903,-1.287013
6.000000,2.768903,8.768903,-1.044240
6.000000,3.768903,9.768903,-0.162035
6.500000,1.249645,7.749645,6.507153
6.500000,1.499645,7.999645,1.023597
6.500000,1.999645,8.499645,-1.865078
6.500000,2.499645,8.999645,-1.481627
6.500000,2.799645,9.299645,-0.995414
6.500000,3.299645,9.799645,-0.403235
6.500000,3.499645,9.999645,-0.270741
7.500000,1.261129,8.761129,6.142566
7.500000,0.711129,8.211129,54.215353
7.500000,0.961129,8.461129,22.080188
7.500000,2.538871,4.961129,-1.487138
7.500000,2.038871,5.461129,-1.923358
7.500000,1.538871,5.961129,0.504973
7.500000,0.961129,8.461129,22.080188
7.500000,1.461129,8.961129,1.593615
7.500000,1.961129,9.461129,-1.822520
7.500000,2.461129,9.961129,-1.542096
1.400000,6.246077,7.646077,21.660418
1.400000,8.246077,9.646077,21.669279
1.400000,1.146077,2.546077,29.673612
1.400000,1.246077,2.646077,26.016221
1.400000,1.446077,2.846077,21.673103
1.400000,1.646077,3.046077,19.704709
1.400000,2.046077,3.446077,18.966957
1.400000,2.846077,4.246077,20.535914
1.400000,3.246077,4.646077,21.117554
1.400000,3.746077,5.146077,21.458723
1.400000,4.246077,5.646077,21.579312
1.400000,4.746077,6.146077,21.624224
1.400000,5.246077,6.646077,21.644051
1.400000,5.746077,7.146077,21.654367
1.500000,1.042226,2.542226,25.520234
1.500000,1.092226,2.592226,22.684689
1.500000,1.192226,2.692226,18.279122
1.500000,1.392226,2.892226,12.982609
1.500000,1.592226,3.092226,10.487710
1.500000,1.992226,3.492226,9.284110
1.500000,2.392226,3.892226,9.862491
1.500000,3.192226,4.692226,11.300523
1.500000,3.692226,5.192226,11.668806
1.500000,4.192226,5.692226,11.799580
1.500000,4.692226,6.192226,11.847248
1.500000,5.192226,6.692226,11.867825
1.500000,5.692226,7.192226,11.878388
1.500000,6.192226,7.692226,11.884559
1.500000,8.192226,9.692226,11.893660
1.600000,0.988374,2.588374,22.468419
1.600000,1.138374,2.738374,13.766775
1.600000,1.338374,2.938374,7.343042
1.600000,1.938374,3.538374,2.483706
1.600000,2.338374,3.938374,2.896062
1.600000,2.738374,4.338374,3.702185
1.600000,3.138374,4.738374,4.331315
1.600000,3.638374,5.238374,4.729333
1.600000,4.138374,5.738374,4.872021
1.600000,4.638374,6.238374,4.923006
1.600000,5.138374,6.738374,4.944499
1.600000,5.638374,7.238374,4.955364
1.600000,6.138374,7.738374,4.961676
1.600000,8.138374,9.738374,4.971037
1.700000,1.084523,2.784523,11.796664
1.700000,1.284523,2.984523,4.037555
1.700000,1.484523,3.184523,0.198184
1.700000,1.884523,3.584523,-2.180535
1.700000,2.284523,3.984523,-1.963429
1.700000,2.684523,4.384523,-1.193196
1.700000,3.084523,4.784523,-0.542591
1.700000,3.584523,5.284523,-0.112424
1.700000,4.084523,5.784523,0.044055
1.700000,4.584523,6.284523,0.098988
1.700000,5.084523,6.784523,0.121580
1.700000,5.584523,7.284523,0.132807
1.700000,6.084523,7.784523,0.139281
1.700000,8.084523,9.784523,0.148922
1.800000,1.230671,3.030671,2.556195
1.800000,1.480671,3.280671,-2.867040
1.800000,1.630671,3.430671,-4.358200
1.800000,1.930671,3.730671,-5.409698
1.800000,2.130671,3.930671,-5.383567
1.800000,2.330671,4.130671,-5.108443
3.800000,1.853639,5.653639,-2.360968
4.000000,1.054064,2.945936,13.372148
4.000000,0.954064,3.045936,20.844177
4.000000,1.145936,5.145936,10.075317
4.000000,1.345936,5.345936,3.406875
4.000000,1.545936,5.545936,0.019646
4.500000,1.323323,3.176677,3.103796
4.500000,1.223323,3.276677,6.276137
4.500000,0.876677,5.376677,30.087380
