# R1,R2,R3,E
2.000000,1.922968,3.922968,-12.267730
2.000000,2.922968,4.922968,-10.296850
2.000000,3.922968,5.922968,-7.929194
2.000000,4.922968,6.922968,-6.890976
2.000000,5.922968,7.922968,-6.614802
2.000000,6.922968,8.922968,-6.557258
3.000000,1.384452,4.384452,-4.073917
3.000000,2.384452,5.384452,-8.348495
3.000000,3.384452,6.384452,-5.938537
3.000000,4.384452,7.384452,-4.544390
3.000000,5.384452,8.384452,-4.116440
3.000000,6.384452,9.384452,-4.019717
4.000000,1.845936,5.845936,-4.010963
4.000000,2.845936,6.845936,-2.867658
4.000000,3.845936,7.845936,-1.094900
4.000000,4.845936,8.845936,-0.535264
4.000000,5.845936,9.845936,-0.420695
5.000000,1.307419,6.307419,3.447849
5.000000,3.307419,8.307419,-0.867377
5.000000,4.307419,9.307419,-0.154489
6.000000,1.231097,4.768903,5.980020
6.000000,0.768903,6.768903,43.267360
6.000000,1.768903,7.768903,-2.330462
6.000000,2.768903,8.768903,-1.605842
6.000000,3.768903,9.768903,-0.211255
6.000000,4.768903,10.768900,-0.004493
7.000000,1.769613,5.230387,-2.252345
7.000000,1.230387,8.230387,7.448517
7.000000,2.230387,9.230387,-0.836359
10.000000,14.614840,24.614840,0.009697
1.800000,2.830671,4.630671,-7.026951
1.800000,3.030671,4.830671,-6.384716
1.800000,3.280671,5.080671,-5.622176
1.800000,3.530671,5.330671,-4.936345
1.800000,4.030671,5.830671,-3.922993
1.800000,4.530671,6.330671,-3.756982
1.800000,5.030671,6.830671,-3.414666
1.800000,6.030671,7.830671,-3.165321
1.800000,6.530671,8.330671,-3.129732
1.800000,7.030671,8.830671,-3.113922
1.800000,8.030671,9.830671,-3.103443
3.800000,2.153639,5.953639,-4.807283
3.800000,2.953639,6.753639,-3.172642
3.800000,3.953639,7.753639,-1.462498
3.800000,4.953639,8.753639,-0.901905
4.500000,0.576677,5.076677,89.674780
4.500000,1.776677,6.276677,-2.914914
4.500000,2.576677,7.076677,-2.648736
4.500000,3.576677,8.076677,-0.748086
4.500000,4.576677,9.076677,-0.186969
5.200000,1.399716,6.599716,1.412564
5.200000,2.199716,7.399716,-2.919207
5.200000,3.199716,8.399716,-0.985616
5.200000,4.199716,9.399716,-0.167229
6.000000,0.968903,6.968903,20.173740
6.000000,1.768903,7.768903,-2.342450
6.000000,2.768903,8.768903,-1.717603
6.000000,3.768903,9.768903,-0.310348
6.500000,1.249645,7.749645,5.350800
6.500000,1.499645,7.999645,-0.069447
6.500000,1.999645,8.499645,-2.813062
6.500000,2.499645,8.999645,-2.199898
6.500000,2.799645,9.299645,-1.514012
6.500000,3.299645,9.799645,-0.578832
6.500000,3.499645,9.999645,-0.372413
7.500000,1.261129,8.761129,6.740574
7.500000,0.711129,8.211129,55.105820
7.500000,0.961129,8.461129,22.511680
7.500000,2.538871,4.961129,-2.170677
7.500000,2.038871,5.461129,-2.796723
7.500000,1.538871,5.961129,1.220212
7.500000,0.961129,8.461129,20.846540
7.500000,1.461129,8.961129,0.504291
7.500000,1.961129,9.461129,-2.767868
7.500000,2.461129,9.961129,-2.265370
1.400000,6.246077,7.646077,21.613130
1.400000,8.246077,9.646077,21.660250
1.400000,1.146077,2.546077,26.576460
1.400000,1.246077,2.646077,22.950560
1.400000,1.446077,2.846077,18.565470
1.400000,1.646077,3.046077,16.498300
1.400000,2.046077,3.446077,15.629270
1.400000,2.846077,4.246077,17.760000
1.400000,3.246077,4.646077,19.031810
1.400000,3.746077,5.146077,20.255590
1.400000,4.246077,5.646077,20.658550
1.400000,4.746077,6.146077,21.157400
1.400000,5.246077,6.646077,21.423140
1.400000,5.746077,7.146077,21.552810
1.500000,1.042226,2.542226,22.322250
1.500000,1.092226,2.592226,19.519450
1.500000,1.192226,2.692226,15.135760
1.500000,1.392226,2.892226,9.783821
1.500000,1.592226,3.092226,7.183657
1.500000,1.992226,3.492226,5.848302
1.500000,2.392226,3.892226,6.554086
1.500000,3.192226,4.692226,9.123950
1.500000,3.692226,5.192226,10.532940
1.500000,4.192226,5.692226,11.525850
1.500000,4.692226,6.192226,11.346710
1.500000,5.192226,6.692226,11.633940
1.500000,5.692226,7.192226,11.774640
1.500000,6.192226,7.692226,11.839900
1.500000,8.192226,9.692226,11.890700
1.600000,0.988374,2.588374,19.220790
1.600000,1.138374,2.738374,10.563420
1.600000,1.338374,2.938374,4.074549
1.600000,1.938374,3.538374,-1.029615
1.600000,2.338374,3.938374,-0.495625
1.600000,2.738374,4.338374,0.724652
1.600000,3.138374,4.738374,2.035219
1.600000,3.638374,5.238374,3.480894
1.600000,4.138374,5.738374,4.529011
1.600000,4.638374,6.238374,4.391209
1.600000,5.138374,6.738374,4.699114
1.600000,5.638374,7.238374,4.850736
1.600000,6.138374,7.738374,4.921035
1.600000,8.138374,9.738374,4.975717
1.700000,1.084523,2.784523,8.557080
1.700000,1.284523,2.984523,0.724770
1.700000,1.484523,3.184523,-3.226955
1.700000,1.884523,3.584523,-5.745813
1.700000,2.284523,3.984523,-5.415833
1.700000,2.684523,4.384523,-4.255341
1.700000,3.084523,4.784523,-2.953643
1.700000,3.584523,5.284523,-1.499786
1.700000,4.084523,5.784523,-0.411953
1.700000,4.584523,6.284523,-0.442459
1.700000,5.084523,6.784523,-0.118193
1.700000,5.584523,7.284523,0.042156
1.700000,6.084523,7.784523,0.116540
1.700000,8.084523,9.784523,0.174497
1.800000,1.230671,3.030671,-0.777682
1.800000,1.480671,3.280671,-6.343469
1.800000,1.630671,3.430671,-7.905507
1.800000,1.930671,3.730671,-9.002464
1.800000,2.130671,3.930671,-8.924509
1.800000,2.330671,4.130671,-8.532596
3.800000,1.853639,5.653639,-4.603174
4.000000,1.054064,2.945936,15.479750
4.000000,0.954064,3.045936,22.046920
4.000000,1.145936,5.145936,7.959454
4.000000,1.345936,5.345936,1.311599
4.000000,1.545936,5.545936,-2.055146
4.500000,1.323323,3.176677,3.921144
4.500000,1.223323,3.276677,6.568278
4.500000,0.876677,5.376677,28.412080
4.500000,0.976677,5.476677,19.041420
4.500000,1.126677,5.626677,9.687966
4.500000,1.276677,5.776677,3.970547
5.000000,0.607419,5.607419,78.064230
5.000000,0.707419,5.707419,54.048780
5.000000,0.757419,5.757419,44.961520
5.000000,0.807419,5.807419,37.341890
5.200000,1.900284,3.299716,-2.632290
5.200000,1.550284,3.649716,-0.582202
5.200000,1.300284,3.899716,3.942996
5.200000,0.599716,5.799716,80.381070
5.200000,0.649716,5.849716,66.862750
5.200000,0.699716,5.899716,55.661740
