# R1,R2,R3,ETriat
2.000000,1.922968,3.922968,-3.574962
2.000000,2.922968,4.922968,-2.854783
2.000000,3.922968,5.922968,-1.235463
2.000000,4.922968,6.922968,-0.295891
2.000000,5.922968,7.922968,-0.039555
2.000000,6.922968,8.922968,0.010612
3.000000,1.384452,4.384452,-2.892720
3.000000,2.384452,5.384452,-2.663353
3.000000,3.384452,6.384452,-1.596962
3.000000,4.384452,7.384452,-0.487288
3.000000,5.384452,8.384452,-0.096940
3.000000,6.384452,9.384452,-0.011025
4.000000,1.845936,5.845936,-2.026724
4.000000,2.845936,6.845936,-1.549168
4.000000,3.845936,7.845936,-0.564641
4.000000,4.845936,8.845936,-0.106976
4.000000,5.845936,9.845936,-0.011067
5.000000,1.307419,6.307419,-1.329364
5.000000,3.307419,8.307419,-0.454274
5.000000,4.307419,9.307419,-0.069837
6.000000,1.231097,4.768903,-1.054830
6.000000,0.768903,6.768903,-1.095711
6.000000,1.768903,7.768903,-1.043449
6.000000,2.768903,8.768903,-0.561602
6.000000,3.768903,9.768903,-0.049220
6.000000,4.768903,10.768900,0.038120
7.000000,1.769613,5.230387,-0.918264
7.000000,1.230387,8.230387,0.295634
7.000000,2.230387,9.230387,1.001266
10.000000,14.614840,24.614840,0.014525
1.800000,2.830671,4.630671,-2.847632
1.800000,3.030671,4.830671,-2.511051
1.800000,3.280671,5.080671,-2.030875
1.800000,3.530671,5.330671,-1.527127
1.800000,4.030671,5.830671,-0.686065
1.800000,4.530671,6.330671,-0.579644
1.800000,5.030671,6.830671,-0.261228
1.800000,6.030671,7.830671,-0.030197
1.800000,6.530671,8.330671,0.001200
1.800000,7.030671,8.830671,0.014259
1.800000,8.030671,9.830671,0.021741
3.800000,2.153639,5.953639,-2.165603
3.800000,2.953639,6.753639,-1.658306
3.800000,3.953639,7.753639,-0.608010
3.800000,4.953639,8.753639,-0.129074
4.500000,0.576677,5.076677,4.667087
4.500000,1.776677,6.276677,-1.513631
4.500000,2.576677,7.076677,-1.218074
4.500000,3.576677,8.076677,-0.443542
4.500000,4.576677,9.076677,-0.065124
5.200000,1.399716,6.599716,-1.249775
5.200000,2.199716,7.399716,-1.046223
5.200000,3.199716,8.399716,-0.485808
5.200000,4.199716,9.399716,-0.078433
6.000000,0.968903,6.968903,-1.262030
6.000000,1.768903,7.768903,-1.055437
6.000000,2.768903,8.768903,-0.673363
6.000000,3.768903,9.768903,-0.148312
6.500000,1.249645,7.749645,-1.156353
6.500000,1.499645,7.999645,-1.093045
6.500000,1.999645,8.499645,-0.947984
6.500000,2.499645,8.999645,-0.718271
6.500000,2.799645,9.299645,-0.518598
6.500000,3.299645,9.799645,-0.175597
6.500000,3.499645,9.999645,-0.101672
7.500000,1.261129,8.761129,0.598008
7.500000,0.711129,8.211129,0.890467
7.500000,0.961129,8.461129,0.431492
7.500000,2.538871,4.961129,-0.683539
7.500000,2.038871,5.461129,-0.873365
7.500000,1.538871,5.961129,0.715239
7.500000,0.961129,8.461129,-1.233648
7.500000,1.461129,8.961129,-1.089325
7.500000,1.961129,9.461129,-0.945348
7.500000,2.461129,9.961129,-0.723274
1.400000,6.246077,7.646077,-0.047288
1.400000,8.246077,9.646077,-0.009029
1.400000,1.146077,2.546077,-3.097152
1.400000,1.246077,2.646077,-3.065661
