R1,R2,R3,ETriat,E,ENew
1.500000,1.611899,1.500000,64.128750,75.839025,73.378603
1.500000,1.611899,1.500000,64.128750,75.839025,73.378603
1.500000,1.667763,1.600000,62.001832,64.922580,62.422050
1.600000,1.667763,1.500000,62.001832,64.922580,62.422050
1.500000,1.727613,1.700000,59.880899,56.613992,54.158675
1.700000,1.727613,1.500000,59.880899,56.613992,54.158675
1.500000,1.791050,1.800000,57.651240,50.182527,47.836539
1.800000,1.791050,1.500000,57.651240,50.182527,47.836539
1.500000,1.857707,1.900000,55.390505,45.242844,43.032977
1.900000,1.857707,1.500000,55.390505,45.242844,43.032977
1.500000,1.927249,2.000000,53.104945,41.444734,39.368930
2.000000,1.927249,1.500000,53.104945,41.444734,39.368930
1.500000,1.963007,2.050000,51.871932,39.802744,37.788369
2.050000,1.963007,1.500000,51.871932,39.802744,37.788369
1.500000,1.999376,2.100000,50.664412,38.377358,36.419755
2.100000,1.999376,1.500000,50.664412,38.377358,36.419755
1.500000,2.036323,2.150000,49.448659,37.108518,35.203040
2.150000,2.036323,1.500000,49.448659,37.108518,35.203040
1.500000,2.073818,2.200000,48.264124,36.012144,34.154467
2.200000,2.073818,1.500000,48.264124,36.012144,34.154467
1.500000,2.111830,2.250000,47.087776,35.044208,33.230494
2.250000,2.111830,1.500000,47.087776,35.044208,33.230494
1.500000,2.150333,2.300000,45.919998,34.186396,32.413334
2.300000,2.150333,1.500000,45.919998,34.186396,32.413334
1.500000,2.189302,2.350000,44.758292,33.419607,31.684383
2.350000,2.189302,1.500000,44.758292,33.419607,31.684383
1.500000,2.228710,2.400000,43.585446,32.711920,31.012146
2.400000,2.228710,1.500000,43.585446,32.711920,31.012146
1.500000,2.268536,2.450000,42.334865,31.983744,30.317369
2.450000,2.268536,1.500000,42.334865,31.983744,30.317369
1.500000,2.308758,2.500000,40.975422,31.192491,29.557723
2.500000,2.308758,1.500000,40.975422,31.192491,29.557723
1.500000,2.349355,2.550000,39.481993,30.302951,28.698185
2.550000,2.349355,1.500000,39.481993,30.302951,28.698185
1.500000,2.390309,2.600000,37.925951,29.377628,27.801392
2.600000,2.390309,1.500000,37.925951,29.377628,27.801392
1.500000,2.473215,2.700000,34.926284,27.689678,26.166462
2.700000,2.473215,1.500000,34.926284,27.689678,26.166462
1.500000,2.557344,2.800000,32.017544,26.118194,24.643068
2.800000,2.557344,1.500000,32.017544,26.118194,24.643068
1.500000,2.642578,2.900000,29.277116,24.700916,23.269445
2.900000,2.642578,1.500000,29.277116,24.700916,23.269445
1.500000,2.728816,3.000000,26.737524,23.440104,22.048345
3.000000,2.728816,1.500000,26.737524,23.440104,22.048345
1.500000,2.815963,3.100000,24.412331,22.326614,20.971109
3.100000,2.815963,1.500000,24.412331,22.326614,20.971109
1.500000,2.903940,3.200000,22.305542,21.348038,20.025756
3.200000,2.903940,1.500000,22.305542,21.348038,20.025756
1.500000,2.992671,3.300000,20.415222,20.491424,19.199693
3.300000,2.992671,1.500000,20.415222,20.491424,19.199693
1.500000,3.082092,3.400000,18.735285,19.744363,18.480819
3.400000,3.082092,1.500000,18.735285,19.744363,18.480819
1.500000,3.262778,3.600000,15.966298,18.533102,17.320055
3.600000,3.262778,1.500000,15.966298,18.533102,17.320055
1.500000,3.445599,3.800000,13.895677,17.631099,16.463117
3.800000,3.445599,1.500000,13.895677,17.631099,16.463117
1.500000,3.630232,4.000000,12.398576,16.968148,15.843096
4.000000,3.630232,1.500000,12.398576,16.968148,15.843096
1.700000,1.826819,1.700000,57.991185,41.923409,39.511554
