# R1,R2,R3,E
2.375000,4.117846,2.375100,2.331084
2.385000,4.126518,2.375100,2.328871
2.365000,4.109180,2.375100,2.334323
2.375000,4.126518,2.385100,2.328873
2.375000,4.109180,2.365100,2.334319
2.375000,4.138353,2.375100,2.338833
2.375000,4.097026,2.375100,2.325889
2.402528,4.108517,2.402614,2.315839
2.412528,4.117071,2.402614,2.317230
2.392528,4.099970,2.402614,2.315325
2.402528,4.117071,2.412614,2.317231
2.402528,4.099970,2.392614,2.315324
2.402528,4.130106,2.402614,2.318610
2.402528,4.086615,2.402614,2.315781
2.395668,4.081296,2.395733,2.315332
2.405668,4.089817,2.395733,2.315349
2.385668,4.072781,2.395733,2.316235
2.395668,4.089817,2.405733,2.315350
2.395668,4.072781,2.385733,2.316234
2.395668,4.103045,2.395733,2.315663
2.395668,4.059236,2.395733,2.317818
2.397588,4.091916,2.397647,2.315080
2.407588,4.100453,2.397647,2.315538
2.387588,4.083386,2.397647,2.315528
2.397588,4.100453,2.407647,2.315539
2.397588,4.083386,2.387647,2.315527
2.397588,4.113578,2.397647,2.316479
2.397588,4.069943,2.397647,2.316453
2.397570,4.091789,2.397618,2.315079
2.217000,4.312529,2.838000,2.393289
2.227000,4.320617,2.838000,2.394954
2.207000,4.304448,2.838000,2.393839
2.217000,4.321411,2.848000,2.392146
2.217000,4.303651,2.828000,2.394228
2.217000,4.335143,2.838000,2.398402
2.217000,4.289595,2.838000,2.390338
2.227000,4.329493,2.848000,2.394428
2.207000,4.295564,2.828000,2.395400
2.227000,4.343291,2.838000,2.400415
2.207000,4.281575,2.838000,2.391251
2.217000,4.344059,2.848000,2.397389
2.217000,4.280751,2.828000,2.391437
2.226875,4.248937,2.803945,2.392051
2.236875,4.256947,2.803945,2.393082
2.216875,4.240935,2.803945,2.393168
2.226875,4.257734,2.813945,2.391805
2.226875,4.240144,2.793945,2.392164
2.226875,4.272067,2.803945,2.392954
2.226875,4.225491,2.803945,2.393522
2.236875,4.265738,2.813945,2.393446
2.216875,4.232136,2.793945,2.393895
2.236875,4.280138,2.803945,2.394359
2.216875,4.217550,2.803945,2.395029
2.226875,4.280900,2.813945,2.392902
2.226875,4.216733,2.793945,2.393860
2.228192,4.248925,2.799134,2.392075
2.238192,4.256948,2.799134,2.393143
2.218192,4.240911,2.799134,2.393147
2.228192,4.257724,2.809134,2.392004
2.228192,4.240132,2.789134,2.392022
2.228192,4.272004,2.799134,2.393250
3.036600,3.036600,3.036600,6.808340
3.046600,3.036600,3.041612,6.817745
3.026600,3.036600,3.031612,6.799287
3.036600,3.046600,3.041612,6.817745
3.036600,3.026600,3.031612,6.799287
3.036600,3.036600,3.059520,6.823085
3.036600,3.036600,3.013622,6.794887
2.784345,2.784342,2.803483,6.721089
2.794345,2.784342,2.808530,6.713458
2.774345,2.784342,2.798462,6.729553
2.784345,2.794342,2.808530,6.713457
2.784345,2.774342,2.798462,6.729553
2.784345,2.784342,2.824450,6.712944
2.784345,2.784342,2.782462,6.732046
2.912885,2.912884,2.889300,6.656718
2.922885,2.912884,2.894272,6.658751
2.902885,2.912884,2.884353,6.655239
2.912885,2.922884,2.894272,6.658751
2.912885,2.902884,2.884353,6.655239
2.912885,2.912884,2.911346,6.658933
2.912885,2.912884,2.867199,6.656736
2.884819,2.884819,2.886191,6.651740
2.894819,2.884819,2.891206,6.652375
2.874819,2.884819,2.881201,6.651709
2.884819,2.894819,2.891206,6.652375
2.884819,2.874819,2.881201,6.651709
2.884819,2.884819,2.907962,6.653394
2.884819,2.884819,2.864365,6.652301
2.880645,2.880645,2.879496,6.651593
2.890645,2.880645,2.884507,6.651851
2.870645,2.880645,2.874511,6.651947
2.880645,2.890645,2.884507,6.651851
2.880645,2.870645,2.874511,6.651947
2.880645,2.880645,2.901242,6.652552
2.880645,2.880645,2.857695,6.652901
2.880618,2.880618,2.881350,6.651589
2.890618,2.880618,2.886364,6.651893
2.870618,2.880618,2.876362,6.651897
2.880618,2.890618,2.886364,6.651893
2.880618,2.870618,2.876362,6.651897
2.880618,2.880618,2.903091,6.652732
2.880618,2.880618,2.859554,6.652696
2.880767,2.880767,2.881167,6.651589
2.222335,2.666756,2.870630,8.096004
2.232335,2.669987,2.870630,8.103357
2.212335,2.663558,2.870630,8.090983
2.222335,2.673567,2.880630,7.994626
2.222335,2.659964,2.860630,8.198903
2.222335,2.685100,2.870630,8.111824
2.222335,2.648372,2.870630,8.080548
2.240650,1.857582,3.387067,7.140417
2.250650,1.854000,3.387067,7.167855
2.230650,1.861211,3.387067,7.115108
2.240650,1.865461,3.397067,6.951770
2.240650,1.849723,3.377067,7.334923
2.240650,1.875864,3.387067,6.793610
2.240650,1.839388,3.387067,7.515818
2.176176,2.062912,3.318242,5.145798
2.186176,2.060686,3.318242,5.119545
2.166176,2.065184,3.318242,5.174297
2.176176,2.070613,3.328242,5.045430
2.176176,2.055230,3.308242,5.249176
2.176176,2.081438,3.318242,5.024139
2.176176,2.044431,3.318242,5.281035
2.279689,2.157113,3.300300,4.506752
2.289689,2.156076,3.300300,4.496233
2.269689,2.158195,3.300300,4.518606
2.279689,2.164392,3.310300,4.429549
2.279689,2.149856,3.290300,4.586262
2.279689,2.176905,3.300300,4.446876
2.279689,2.137341,3.300300,4.577602
2.326037,2.254550,3.371700,3.901213
2.336037,2.253738,3.371700,3.899481
2.316037,2.255407,3.371700,3.904040
2.326037,2.261823,3.381700,3.846655
2.326037,2.247299,3.361700,3.957512
2.326037,2.274786,3.371700,3.886460
2.326037,2.234331,3.371700,3.923280
2.322691,2.392978,3.619209,2.940218
2.332691,2.391219,3.619209,2.941799
