# Ang2,R1,R3,ETot[Eh],ERel[Eh]
65,1.5,1.5,-160.85184084,2.787033
65,1.5,1.6,-161.25301227,2.385861
65,1.5,1.7,-161.55834772,2.080526
65,1.5,1.8,-161.79469927,1.844174
65,1.5,1.9,-161.97622952,1.662644
65,1.5,2,-162.11580780,1.523066
65,1.5,2.05,-162.17614900,1.462724
65,1.5,2.1,-162.22853169,1.410342
65,1.5,2.15,-162.27516013,1.363713
65,1.5,2.2,-162.31545111,1.323422
65,1.5,2.25,-162.35102284,1.287851
65,1.5,2.3,-162.38254623,1.256327
65,1.5,2.35,-162.41072534,1.228148
65,1.5,2.4,-162.43673227,1.202141
65,1.5,2.45,-162.46349214,1.175381
65,1.5,2.5,-162.49257081,1.146303
65,1.5,2.55,-162.52526034,1.113613
65,1.5,2.6,-162.55926529,1.079608
65,1.5,2.7,-162.62129668,1.017577
65,1.5,2.8,-162.67904767,0.959826
65,1.5,2.9,-162.73113089,0.907742
65,1.5,3,-162.77746535,0.861408
65,1.5,3.1,-162.81838528,0.820488
65,1.5,3.2,-162.85434715,0.784526
65,1.5,3.3,-162.88582735,0.753046
65,1.5,3.4,-162.91328184,0.725592
65,1.5,3.6,-162.95779428,0.681079
65,1.5,3.8,-162.99094215,0.647931
65,1.5,4,-163.01530554,0.623568
65,1.7,1.7,-162.09821611,1.540657
65,1.7,1.8,-162.24956340,1.389310
65,1.7,1.9,-162.45848122,1.180392
65,1.7,2,-162.58188825,1.056985
65,1.7,2.05,-162.63218170,1.006692
65,1.7,2.1,-162.67613173,0.962742
65,1.7,2.15,-162.71474012,0.924133
65,1.7,2.2,-162.74966631,0.889207
65,1.7,2.25,-162.78747691,0.851396
65,1.7,2.3,-162.81528706,0.823586
65,1.7,2.35,-162.83976438,0.799109
65,1.7,2.4,-162.86137448,0.777499
65,1.7,2.45,-162.88070857,0.758165
65,1.7,2.5,-162.90064095,0.738232
65,1.7,2.55,-162.93757141,0.701302
65,1.7,2.6,-162.96984337,0.669030
65,1.7,2.7,-163.02602431,0.612849
65,1.7,2.8,-163.07845327,0.560420
65,1.7,2.9,-163.12585762,0.513016
65,1.7,3,-163.16821442,0.470659
65,1.7,3.1,-163.20585966,0.433014
65,1.7,3.2,-163.23921501,0.399658
65,1.7,3.3,-163.26869260,0.370181
65,1.7,3.4,-163.29466790,0.344205
65,1.7,3.6,-163.33744192,0.301431
65,1.7,3.8,-163.36990857,0.268965
65,1.7,4,-163.39581981,0.243054,
65,1.9,1.9,-162.71197185,0.926902
65,1.9,2,-162.81774578,0.821128
65,1.9,2.05,-162.86086609,0.778007
65,1.9,2.1,-162.89877433,0.740099
65,1.9,2.15,-162.93186000,0.707013
65,1.9,2.2,-162.96065763,0.678216
65,1.9,2.25,-162.98578074,0.653093
65,1.9,2.3,-163.00797288,0.630900
65,1.9,2.35,-163.02829503,0.610578
65,1.9,2.4,-163.04806710,0.590806
65,1.9,2.45,-163.06487254,0.574001
65,1.9,2.5,-163.08259625,0.556277
65,1.9,2.55,-163.11703616,0.521837
65,1.9,2.6,-163.14428489,0.494588
65,1.9,2.7,-163.19755039,0.441323
65,1.9,2.8,-163.24661564,0.392258
65,1.9,2.9,-163.29071279,0.348161
65,1.9,3,-163.32995967,0.308914
65,1.9,3.1,-163.36478364,0.274090
65,1.9,3.2,-163.39567871,0.243195
65,1.9,3.3,-163.42310153,0.215772
65,1.9,3.4,-163.44743853,0.191435
65,1.9,3.6,-163.48807670,0.150797
65,1.9,3.8,-163.51962086,0.119252
65,1.9,4,-163.54372482,0.095149
65,2,2,-162.88727412,0.751599
65,2,2.05,-162.91836135,0.720512
65,2,2.1,-162.94520270,0.693671
65,2,2.15,-162.96809992,0.670773
65,2,2.2,-162.98744484,0.651429
65,2,2.25,-163.00373044,0.635143
65,2,2.3,-163.01776483,0.621109
65,2,2.35,-163.08444947,0.554424
65,2,2.4,-163.10240880,0.536465
65,2,2.45,-163.11878664,0.520087
65,2,2.5,-163.13477546,0.504098
65,2,2.55,-163.15400054,0.484873
65,2,2.6,-163.18269914,0.456174
65,2,2.7,-163.23143814,0.407435
65,2,2.8,-163.27506513,0.363808
65,2,2.9,-163.31314024,0.325733
65,2,3,-163.34854142,0.290332
65,2,3.1,-163.37988624,0.258987
65,2,3.2,-163.40773628,0.231137
65,2,3.3,-163.43254569,0.206328
65,2,3.4,-163.45471189,0.184161
65,2,3.6,-163.49224804,0.146625
65,2,3.8,-163.52196356,0.116910
65,2,4,-163.54504879,0.093825
65,2.1,2.1,-163.00543075,0.633443
65,2.1,2.15,-163.02470938,0.614164
65,2.1,2.2,-163.04108632,0.597787
65,2.1,2.25,-163.05476074,0.584113
65,2.1,2.3,-163.06601882,0.572855
65,2.1,2.35,-163.07526558,0.563608
65,2.1,2.4,-163.08362684,0.555247
65,2.1,2.45,-163.14131790,0.497555
65,2.1,2.5,-163.15557587,0.483297
65,2.1,2.55,-163.18535271,0.453521
65,2.1,2.6,-163.21025707,0.428616
65,2.1,2.7,-163.25845264,0.380421
65,2.1,2.8,-163.30295648,0.335917
65,2.1,2.9,-163.34323614,0.295637
65,2.1,3,-163.37905443,0.259819
65,2.1,3.1,-163.41068028,0.228193
65,2.1,3.2,-163.43859223,0.200281
65,2.1,3.3,-163.46329346,0.175580
65,2.1,3.4,-163.48522364,0.153650
65,2.1,3.6,-163.52210320,0.116770
