# R1,R2,R3,ETriat,E
2.375000,4.117846,2.375100,19.183241,2.331084
2.375100,4.117846,2.375000,19.183241,2.331084
2.385000,4.126518,2.375100,19.109175,2.328871
2.375100,4.126518,2.385000,19.109175,2.328871
2.365000,4.109180,2.375100,19.257474,2.334323
2.375100,4.109180,2.365000,19.257474,2.334323
2.375000,4.126518,2.385100,19.109168,2.328873
2.385100,4.126518,2.375000,19.109168,2.328873
2.375000,4.109180,2.365100,19.257481,2.334319
2.365100,4.109180,2.375000,19.257481,2.334319
2.375000,4.138353,2.375100,19.173728,2.338833
2.375100,4.138353,2.375000,19.173728,2.338833
2.375000,4.097026,2.375100,19.196458,2.325889
2.375100,4.097026,2.375000,19.196458,2.325889
2.402528,4.108517,2.402614,18.816874,2.315839
2.402614,4.108517,2.402528,18.816874,2.315839
2.412528,4.117071,2.402614,18.743881,2.317230
2.402614,4.117071,2.412528,18.743881,2.317230
2.392528,4.099970,2.402614,18.890046,2.315325
2.402614,4.099970,2.392528,18.890046,2.315325
2.402528,4.117071,2.412614,18.743875,2.317231
2.412614,4.117071,2.402528,18.743875,2.317231
2.402528,4.099970,2.392614,18.890052,2.315324
2.392614,4.099970,2.402528,18.890052,2.315324
2.402528,4.130106,2.402614,18.801085,2.318610
2.402614,4.130106,2.402528,18.801085,2.318610
2.402528,4.086615,2.402614,18.836646,2.315781
2.402614,4.086615,2.402528,18.836646,2.315781
2.395668,4.081296,2.395733,18.932149,2.315332
2.395733,4.081296,2.395668,18.932149,2.315332
2.405668,4.089817,2.395733,18.857887,2.315349
2.395733,4.089817,2.405668,18.857887,2.315349
2.385668,4.072781,2.395733,19.006602,2.316235
2.395733,4.072781,2.385668,19.006602,2.316235
2.395668,4.089817,2.405733,18.857882,2.315350
2.405733,4.089817,2.395668,18.857882,2.315350
2.395668,4.072781,2.385733,19.006607,2.316234
2.385733,4.072781,2.395668,19.006607,2.316234
2.395668,4.103045,2.395733,18.912535,2.315663
2.395733,4.103045,2.395668,18.912535,2.315663
2.395668,4.059236,2.395733,18.955943,2.317818
2.395733,4.059236,2.395668,18.955943,2.317818
2.397588,4.091916,2.397647,18.896730,2.315080
2.397647,4.091916,2.397588,18.896730,2.315080
2.407588,4.100453,2.397647,18.822929,2.315538
2.397647,4.100453,2.407588,18.822929,2.315538
2.387588,4.083386,2.397647,18.970715,2.315528
2.397647,4.083386,2.387588,18.970715,2.315528
2.397588,4.100453,2.407647,18.822924,2.315539
2.407647,4.100453,2.397588,18.822924,2.315539
2.397588,4.083386,2.387647,18.970720,2.315527
2.387647,4.083386,2.397588,18.970720,2.315527
2.397588,4.113578,2.397647,18.878756,2.316479
2.397647,4.113578,2.397588,18.878756,2.316479
2.397588,4.069943,2.397647,18.918798,2.316453
2.397647,4.069943,2.397588,18.918798,2.316453
2.397570,4.091789,2.397618,18.897158,2.315079
2.397618,4.091789,2.397570,18.897158,2.315079
2.217000,4.312529,2.838000,16.619305,2.393289
2.838000,4.312529,2.217000,16.619305,2.393289
2.217000,4.312529,2.838000,16.619305,2.393289
2.838000,4.312529,2.217000,16.619305,2.393289
2.227000,4.320617,2.838000,16.576658,2.394954
2.838000,4.320617,2.227000,16.576658,2.394954
2.207000,4.304448,2.838000,16.661976,2.393839
2.838000,4.304448,2.207000,16.661976,2.393839
2.217000,4.321411,2.848000,16.544193,2.392146
2.848000,4.321411,2.217000,16.544193,2.392146
2.217000,4.303651,2.828000,16.694727,2.394228
2.828000,4.303651,2.217000,16.694727,2.394228
2.217000,4.335143,2.838000,16.612608,2.398402
2.838000,4.335143,2.217000,16.612608,2.398402
2.217000,4.289595,2.838000,16.629023,2.390338
2.838000,4.289595,2.217000,16.629023,2.390338
2.227000,4.329493,2.848000,16.502258,2.394428
2.848000,4.329493,2.227000,16.502258,2.394428
2.207000,4.295564,2.828000,16.738118,2.395400
2.828000,4.295564,2.207000,16.738118,2.395400
2.227000,4.343291,2.838000,16.570512,2.400415
2.838000,4.343291,2.227000,16.570512,2.400415
2.207000,4.281575,2.838000,16.672276,2.391251
2.838000,4.281575,2.207000,16.672276,2.391251
2.217000,4.344059,2.848000,16.537866,2.397389
2.848000,4.344059,2.217000,16.537866,2.397389
2.217000,4.280751,2.828000,16.704865,2.391437
2.828000,4.280751,2.217000,16.704865,2.391437
2.226875,4.248937,2.803945,16.854371,2.392051
2.803945,4.248937,2.226875,16.854371,2.392051
2.236875,4.256947,2.803945,16.808261,2.393082
2.803945,4.256947,2.236875,16.808261,2.393082
2.216875,4.240935,2.803945,16.900547,2.393168
2.803945,4.240935,2.216875,16.900547,2.393168
2.226875,4.257734,2.813945,16.778064,2.391805
2.813945,4.257734,2.226875,16.778064,2.391805
2.226875,4.240144,2.793945,16.931026,2.392164
2.793945,4.240144,2.226875,16.931026,2.392164
2.226875,4.272067,2.803945,16.841156,2.392954
2.803945,4.272067,2.226875,16.841156,2.392954
2.226875,4.225491,2.803945,16.870994,2.393522
2.803945,4.225491,2.226875,16.870994,2.393522
2.236875,4.265738,2.813945,16.732673,2.393446
2.813945,4.265738,2.236875,16.732673,2.393446
2.216875,4.232136,2.793945,16.977931,2.393895
2.793945,4.232136,2.216875,16.977931,2.393895
2.236875,4.280138,2.803945,16.795659,2.394359
2.803945,4.280138,2.236875,16.795659,2.394359
2.216875,4.217550,2.803945,16.917817,2.395029
2.803945,4.217550,2.216875,16.917817,2.395029
2.226875,4.280900,2.813945,16.765324,2.392902
2.813945,4.280900,2.226875,16.765324,2.392902
2.226875,4.216733,2.793945,16.948179,2.393860
2.793945,4.216733,2.226875,16.948179,2.393860
2.228192,4.248925,2.799134,16.883065,2.392075
2.799134,4.248925,2.228192,16.883065,2.392075
2.238192,4.256948,2.799134,16.836703,2.393143
2.799134,4.256948,2.238192,16.836703,2.393143
2.218192,4.240911,2.799134,16.929496,2.393147
2.799134,4.240911,2.218192,16.929496,2.393147
2.228192,4.257724,2.809134,16.806754,2.392004
2.809134,4.257724,2.228192,16.806754,2.392004
2.228192,4.240132,2.789134,16.959725,2.392022
2.789134,4.240132,2.228192,16.959725,2.392022
2.228192,4.272004,2.799134,16.870152,2.393250
2.799134,4.272004,2.228192,16.870152,2.393250
3.036600,3.036600,3.036600,17.658935,6.808340
3.036600,3.036600,3.036600,17.658935,6.808340
3.046600,3.036600,3.041612,17.579548,6.817745
3.041612,3.036600,3.046600,17.579548,6.817745
3.026600,3.036600,3.031612,17.739252,6.799287
3.031612,3.036600,3.026600,17.739252,6.799287
3.036600,3.046600,3.041612,17.579548,6.817745
3.041612,3.046600,3.036600,17.579548,6.817745
3.036600,3.026600,3.031612,17.739252,6.799287
3.031612,3.026600,3.036600,17.739252,6.799287
3.036600,3.036600,3.059520,17.539092,6.823085
3.059520,3.036600,3.036600,17.539092,6.823085
3.036600,3.036600,3.013622,17.783463,6.794887
3.013622,3.036600,3.036600,17.783463,6.794887
2.784345,2.784342,2.803483,22.425259,6.721089
2.803483,2.784342,2.784345,22.425259,6.721089
2.794345,2.784342,2.808530,22.310639,6.713458
2.808530,2.784342,2.794345,22.310639,6.713458
2.774345,2.784342,2.798462,22.540951,6.729553
2.798462,2.784342,2.774345,22.540951,6.729553
2.784345,2.794342,2.808530,22.310639,6.713457
2.808530,2.794342,2.784345,22.310639,6.713457
2.784345,2.774342,2.798462,22.540951,6.729553
2.798462,2.774342,2.784345,22.540951,6.729553
2.784345,2.784342,2.824450,22.269491,6.712944
2.824450,2.784342,2.784345,22.269491,6.712944
2.784345,2.784342,2.782462,22.585823,6.732046
2.782462,2.784342,2.784345,22.585823,6.732046
2.912885,2.912884,2.889300,19.995946,6.656718
2.889300,2.912884,2.912885,19.995946,6.656718
2.922885,2.912884,2.894272,19.898802,6.658751
2.894272,2.912884,2.922885,19.898802,6.658751
2.902885,2.912884,2.884353,20.094077,6.655239
2.884353,2.912884,2.902885,20.094077,6.655239
2.912885,2.922884,2.894272,19.898802,6.658751
2.894272,2.922884,2.912885,19.898802,6.658751
2.912885,2.902884,2.884353,20.094077,6.655239
2.884353,2.902884,2.912885,20.094077,6.655239
2.912885,2.912884,2.911346,19.851171,6.658933
2.911346,2.912884,2.912885,19.851171,6.658933
2.912885,2.912884,2.867199,20.145606,6.656736
2.867199,2.912884,2.912885,20.145606,6.656736
2.884819,2.884819,2.886191,20.386531,6.651740
2.886191,2.884819,2.884819,20.386531,6.651740
2.894819,2.884819,2.891206,20.286274,6.652375
2.891206,2.884819,2.894819,20.286274,6.652375
2.874819,2.884819,2.881201,20.487798,6.651709
2.881201,2.884819,2.874819,20.487798,6.651709
2.884819,2.894819,2.891206,20.286274,6.652375
2.891206,2.894819,2.884819,20.286274,6.652375
2.884819,2.874819,2.881201,20.487798,6.651709
2.881201,2.874819,2.884819,20.487798,6.651709
2.884819,2.884819,2.907962,20.242688,6.653394
2.907962,2.884819,2.884819,20.242688,6.653394
2.884819,2.884819,2.864365,20.535170,6.652301
2.864365,2.884819,2.884819,20.535170,6.652301
2.880645,2.880645,2.879496,20.487924,6.651593
2.879496,2.880645,2.880645,20.487924,6.651593
2.890645,2.880645,2.884507,20.386968,6.651851
2.884507,2.880645,2.890645,20.386968,6.651851
2.870645,2.880645,2.874511,20.589890,6.651947
2.874511,2.880645,2.870645,20.589890,6.651947
2.880645,2.890645,2.884507,20.386968,6.651851
2.884507,2.890645,2.880645,20.386968,6.651851
2.880645,2.870645,2.874511,20.589890,6.651947
2.874511,2.870645,2.880645,20.589890,6.651947
2.880645,2.880645,2.901242,20.342864,6.652552
2.901242,2.880645,2.880645,20.342864,6.652552
2.880645,2.880645,2.857695,20.637793,6.652901
2.857695,2.880645,2.880645,20.637793,6.652901
2.880618,2.880618,2.881350,20.475755,6.651589
2.881350,2.880618,2.880618,20.475755,6.651589
2.890618,2.880618,2.886364,20.374865,6.651893
2.886364,2.880618,2.890618,20.374865,6.651893
2.870618,2.880618,2.876362,20.577657,6.651897
2.876362,2.880618,2.870618,20.577657,6.651897
2.880618,2.890618,2.886364,20.374865,6.651893
2.886364,2.890618,2.880618,20.374865,6.651893
2.880618,2.870618,2.876362,20.577657,6.651897
2.876362,2.870618,2.880618,20.577657,6.651897
2.880618,2.880618,2.903091,20.331102,6.652732
2.903091,2.880618,2.880618,20.331102,6.652732
2.880618,2.880618,2.859554,20.625210,6.652696
2.859554,2.880618,2.880618,20.625210,6.652696
2.880767,2.880767,2.881167,20.474967,6.651589
2.881167,2.880767,2.880767,20.474967,6.651589
2.222335,2.666756,2.870630,27.963929,8.096004
2.870630,2.666756,2.222335,27.963929,8.096004
2.232335,2.669987,2.870630,27.906118,8.103357
2.870630,2.669987,2.232335,27.906118,8.103357
2.212335,2.663558,2.870630,28.021612,8.090983
2.870630,2.663558,2.212335,28.021612,8.090983
2.222335,2.673567,2.880630,27.744188,7.994626
2.880630,2.673567,2.222335,27.744188,7.994626
2.222335,2.659964,2.860630,28.185544,8.198903
2.860630,2.659964,2.222335,28.185544,8.198903
2.222335,2.685100,2.870630,27.843802,8.111824
2.870630,2.685100,2.222335,27.843802,8.111824
2.222335,2.648372,2.870630,28.085112,8.080548
2.870630,2.648372,2.222335,28.085112,8.080548
2.240650,1.857582,3.387067,25.943795,7.140417
3.387067,1.857582,2.240650,25.943795,7.140417
2.250650,1.854000,3.387067,25.874504,7.167855
3.387067,1.854000,2.250650,25.874504,7.167855
2.230650,1.861211,3.387067,26.012667,7.115108
3.387067,1.861211,2.230650,26.012667,7.115108
2.240650,1.865461,3.397067,25.827170,6.951770
3.397067,1.865461,2.240650,25.827170,6.951770
2.240650,1.849723,3.377067,26.061561,7.334923
3.377067,1.849723,2.240650,26.061561,7.334923
2.240650,1.875864,3.387067,25.843248,6.793610
3.387067,1.875864,2.240650,25.843248,6.793610
2.240650,1.839388,3.387067,26.044100,7.515818
3.387067,1.839388,2.240650,26.044100,7.515818
2.176176,2.062912,3.318242,25.871861,5.145798
3.318242,2.062912,2.176176,25.871861,5.145798
2.186176,2.060686,3.318242,25.813084,5.119545
3.318242,2.060686,2.186176,25.813084,5.119545
2.166176,2.065184,3.318242,25.929989,5.174297
3.318242,2.065184,2.166176,25.929989,5.174297
2.176176,2.070613,3.328242,25.736572,5.045430
3.328242,2.070613,2.176176,25.736572,5.045430
2.176176,2.055230,3.308242,26.008239,5.249176
3.308242,2.055230,2.176176,26.008239,5.249176
2.176176,2.081438,3.318242,25.762681,5.024139
3.318242,2.081438,2.176176,25.762681,5.024139
2.176176,2.044431,3.318242,25.979890,5.281035
3.318242,2.044431,2.176176,25.979890,5.281035
2.279689,2.157113,3.300300,24.816668,4.506752
3.300300,2.157113,2.279689,24.816668,4.506752
2.289689,2.156076,3.300300,24.756447,4.496233
3.300300,2.156076,2.289689,24.756447,4.496233
2.269689,2.158195,3.300300,24.876391,4.518606
3.300300,2.158195,2.269689,24.876391,4.518606
2.279689,2.164392,3.310300,24.678789,4.429549
3.310300,2.164392,2.279689,24.678789,4.429549
2.279689,2.149856,3.290300,24.955856,4.586262
3.290300,2.149856,2.279689,24.955856,4.586262
2.279689,2.176905,3.300300,24.705060,4.446876
3.300300,2.176905,2.279689,24.705060,4.446876
2.279689,2.137341,3.300300,24.927635,4.577602
3.300300,2.137341,2.279689,24.927635,4.577602
2.326037,2.254550,3.371700,23.313938,3.901213
3.371700,2.254550,2.326037,23.313938,3.901213
2.336037,2.253738,3.371700,23.257089,3.899481
3.371700,2.253738,2.336037,23.257089,3.899481
2.316037,2.255407,3.371700,23.370332,3.904040
3.371700,2.255407,2.316037,23.370332,3.904040
2.326037,2.261823,3.381700,23.186261,3.846655
3.381700,2.261823,2.326037,23.186261,3.846655
2.326037,2.247299,3.361700,23.442846,3.957512
3.361700,2.247299,2.326037,23.442846,3.957512
