# R1,R2,R3,ETriat,E
1.500000,1.611899,1.500000,64.128750,75.839025
1.500000,1.611899,1.500000,64.128750,75.839025
1.500000,1.667763,1.600000,62.001832,64.922580
1.600000,1.667763,1.500000,62.001832,64.922580
1.500000,1.727613,1.700000,59.880899,56.613992
1.700000,1.727613,1.500000,59.880899,56.613992
1.500000,1.791050,1.800000,57.651240,50.182527
1.800000,1.791050,1.500000,57.651240,50.182527
1.500000,1.857707,1.900000,55.390505,45.242844
1.900000,1.857707,1.500000,55.390505,45.242844
1.500000,1.927249,2.000000,53.104945,41.444734
2.000000,1.927249,1.500000,53.104945,41.444734
1.500000,1.963007,2.050000,51.871932,39.802744
2.050000,1.963007,1.500000,51.871932,39.802744
1.500000,1.999376,2.100000,50.664412,38.377358
2.100000,1.999376,1.500000,50.664412,38.377358
1.500000,2.036323,2.150000,49.448659,37.108518
2.150000,2.036323,1.500000,49.448659,37.108518
1.500000,2.073818,2.200000,48.264124,36.012144
2.200000,2.073818,1.500000,48.264124,36.012144
1.500000,2.111830,2.250000,47.087776,35.044208
2.250000,2.111830,1.500000,47.087776,35.044208
1.500000,2.150333,2.300000,45.919998,34.186396
2.300000,2.150333,1.500000,45.919998,34.186396
1.500000,2.189302,2.350000,44.758292,33.419607
2.350000,2.189302,1.500000,44.758292,33.419607
1.500000,2.228710,2.400000,43.585446,32.711920
2.400000,2.228710,1.500000,43.585446,32.711920
1.500000,2.268536,2.450000,42.334865,31.983744
2.450000,2.268536,1.500000,42.334865,31.983744
1.500000,2.308758,2.500000,40.975422,31.192491
2.500000,2.308758,1.500000,40.975422,31.192491
1.500000,2.349355,2.550000,39.481993,30.302951
2.550000,2.349355,1.500000,39.481993,30.302951
1.500000,2.390309,2.600000,37.925951,29.377628
2.600000,2.390309,1.500000,37.925951,29.377628
1.500000,2.473215,2.700000,34.926284,27.689678
2.700000,2.473215,1.500000,34.926284,27.689678
1.500000,2.557344,2.800000,32.017544,26.118194
2.800000,2.557344,1.500000,32.017544,26.118194
1.500000,2.642578,2.900000,29.277116,24.700916
