# R1,R2,R3,E
2.375000,4.117846,2.375100,20.157182
2.385000,4.126518,2.375100,20.078586
2.365000,4.109180,2.375100,20.235985
2.375000,4.126518,2.385100,20.078579
2.375000,4.109180,2.365100,20.235992
2.375000,4.138353,2.375100,20.145230
2.375000,4.097026,2.375100,20.172862
2.402528,4.108517,2.402614,19.772856
2.412528,4.117071,2.402614,19.695461
2.392528,4.099970,2.402614,19.850465
2.402528,4.117071,2.412614,19.695455
2.402528,4.099970,2.392614,19.850471
2.402528,4.130106,2.402614,19.754505
2.402528,4.086615,2.402614,19.795211
2.395668,4.081296,2.395733,19.896040
2.405668,4.089817,2.395733,19.817361
2.385668,4.072781,2.395733,19.974947
2.395668,4.089817,2.405733,19.817356
2.395668,4.072781,2.385733,19.974951
2.395668,4.103045,2.395733,19.873865
2.395668,4.059236,2.395733,19.922414
2.397588,4.091916,2.397647,19.858056
2.407588,4.100453,2.397647,19.779841
2.387588,4.083386,2.397647,19.936493
2.397588,4.100453,2.407647,19.779837
2.397588,4.083386,2.387647,19.936497
2.397588,4.113578,2.397647,19.837524
2.397588,4.069943,2.397647,19.882704
2.397570,4.091789,2.397618,19.858516
2.217000,4.312529,2.838000,17.505655
2.227000,4.320617,2.838000,17.457613
2.207000,4.304448,2.838000,17.553801
2.217000,4.321411,2.848000,17.427411
2.217000,4.303651,2.828000,17.584230
2.217000,4.335143,2.838000,17.496226
2.217000,4.289595,2.838000,17.518149
2.227000,4.329493,2.848000,17.380084
2.207000,4.295564,2.828000,17.633099
2.227000,4.343291,2.838000,17.448732
2.207000,4.281575,2.838000,17.566871
2.217000,4.344059,2.848000,17.418351
2.217000,4.280751,2.828000,17.597142
2.226875,4.248937,2.803945,17.751239
2.236875,4.256947,2.803945,17.699819
2.216875,4.240935,2.803945,17.802801
2.226875,4.257734,2.813945,17.671731
2.226875,4.240144,2.793945,17.831118
2.226875,4.272067,2.803945,17.735221
2.226875,4.225491,2.803945,17.770700
2.236875,4.265738,2.813945,17.621031
2.216875,4.232136,2.793945,17.883409
2.236875,4.280138,2.803945,17.684408
2.216875,4.217550,2.803945,17.822901
2.226875,4.280900,2.813945,17.656184
2.226875,4.216733,2.793945,17.851103
2.228192,4.248925,2.799134,17.780394
2.238192,4.256948,2.799134,17.728732
2.218192,4.240911,2.799134,17.832203
2.228192,4.257724,2.809134,17.700870
2.228192,4.240132,2.789134,17.860290
2.228192,4.272004,2.799134,17.764685
3.036600,3.036600,3.036600,18.439068
3.046600,3.036600,3.041612,18.357132
3.026600,3.036600,3.031612,18.521949
3.036600,3.046600,3.041612,18.357132
3.036600,3.026600,3.031612,18.521949
3.036600,3.036600,3.059520,18.315359
3.036600,3.036600,3.013622,18.567553
2.784345,2.784342,2.803483,23.347242
2.794345,2.784342,2.808530,23.229359
2.774345,2.784342,2.798462,23.466224
2.784345,2.794342,2.808530,23.229358
2.784345,2.774342,2.798462,23.466224
2.784345,2.784342,2.824450,23.187022
2.784345,2.784342,2.782462,23.512376
2.912885,2.912884,2.889300,20.847662
2.922885,2.912884,2.894272,20.747640
2.902885,2.912884,2.884353,20.948688
2.912885,2.922884,2.894272,20.747640
2.912885,2.902884,2.884353,20.948688
