# R1,R2,R3,E
1.511781,1.511782,1.840621,78.146255
1.511781,1.511788,1.943512,74.470626
1.511781,1.511788,2.042701,71.143081
1.511781,1.511781,2.137981,68.538719
1.511781,1.511788,2.229203,66.639804
1.511781,1.511788,2.316189,65.341266
1.511781,1.511782,2.398759,64.577233
1.511776,1.511781,2.476758,64.038998
1.511781,1.511784,2.550043,62.123692
1.511780,1.511781,2.618481,60.701696
1.511777,1.511781,2.681929,59.651764
1.511781,1.511787,2.740281,58.911538
1.511781,1.511793,2.793418,58.432191
1.511781,1.511787,2.841227,58.171226
1.511777,1.511781,2.883619,58.090135
1.511780,1.511781,2.920536,58.152189
1.511781,1.511784,2.951896,58.319965
1.511776,1.511781,2.977621,58.555909
1.511781,1.511782,2.997695,58.810934
1.511781,1.511788,3.012064,59.040286
1.511781,1.511788,3.020692,59.218123
1.511781,1.614578,1.700749,75.604424
1.511781,1.700761,1.733438,69.664278
1.511781,1.700749,1.849118,65.560601
1.511781,1.700749,1.961397,61.725739
1.511781,1.700758,2.070054,58.093301
1.511781,1.700762,2.174831,55.178322
1.511781,1.700754,2.275532,53.007297
1.511781,1.700762,2.371973,51.481964
1.511781,1.700758,2.463939,50.436022
1.511781,1.700749,2.551270,49.714486
1.511781,1.700749,2.633784,48.925086
1.511781,1.700761,2.711335,47.808590
1.511781,1.700749,2.783738,46.778953
1.511781,1.700760,2.850893,46.015614
1.511781,1.700755,2.912642,45.489304
1.511781,1.700764,2.968885,45.172269
1.511781,1.700755,3.019487,45.033677
1.511781,1.700760,3.064382,45.043087
1.511781,1.700749,3.103450,45.169971
1.511781,1.700761,3.136658,45.382151
1.511781,1.700749,3.163893,45.643984
1.511781,1.700749,3.185141,45.915833
1.511781,1.700758,3.200357,46.155290
1.511781,1.700762,3.209496,46.321721
1.477776,1.511781,1.889723,79.618987
1.511781,1.606015,1.889727,69.236144
1.511781,1.731971,1.889734,62.876406
1.511781,1.855220,1.889731,59.015742
1.511781,1.889721,1.975431,55.440371
1.511781,1.889734,2.092309,51.542501
1.511781,1.889731,2.205534,48.261442
1.511781,1.889718,2.314845,45.769393
1.511781,1.889726,2.420030,43.971430
1.511781,1.889718,2.520818,42.722803
1.511781,1.889731,2.617011,41.810596
1.511781,1.889734,2.708394,41.069286
1.511781,1.889721,2.794768,40.346710
1.511781,1.889731,2.875985,39.587231
1.511781,1.889734,2.951851,38.923543
1.511781,1.889727,3.022220,38.421040
1.511781,1.889723,3.086947,38.084491
1.511781,1.889735,3.145917,37.904226
1.511781,1.889723,3.198978,37.862250
1.511781,1.889727,3.246064,37.937183
1.511781,1.889734,3.287068,38.105219
1.511781,1.889731,3.321890,38.339602
1.511781,1.889721,3.350468,38.609587
1.511781,1.889734,3.372776,38.879702
1.511781,1.889731,3.388728,39.111570
1.511781,1.889718,3.398301,39.269155
1.470464,1.511781,2.078706,74.086680
1.511781,1.602032,2.078705,63.165038
1.511781,1.732490,2.078699,56.501708
1.511781,1.861168,2.078702,52.591262
1.511781,1.987534,2.078701,50.422926
1.511781,2.078694,2.111123,48.156544
1.511781,2.078701,2.231544,44.240721
1.511781,2.078700,2.348426,41.885442
1.511781,2.078691,2.461435,39.832932
1.511781,2.078699,2.570305,38.383270
1.511781,2.078691,2.674735,37.370848
1.511781,2.078700,2.774500,36.590857
1.511781,2.078701,2.869350,35.942737
1.511781,2.078694,2.959064,35.358666
1.511781,2.078701,3.043463,34.829190
1.511781,2.078702,3.122342,34.408948
1.511781,2.078699,3.195531,34.085539
1.511781,2.078705,3.262895,33.874919
1.511781,2.078706,3.324264,33.795043
1.511781,2.078705,3.379519,33.823229
1.511781,2.078699,3.428544,33.943565
1.511781,2.078702,3.471243,34.136145
1.511781,2.078701,3.507520,34.375428
1.511781,2.078694,3.537298,34.629021
1.511781,2.078701,3.560534,34.858895
1.511781,2.078700,3.577160,35.031137
1.511781,2.078691,3.587140,35.131828
1.474957,1.511781,2.267672,69.656689
1.511781,1.606110,2.267676,58.522432
1.511781,1.737974,2.267672,51.504904
1.511781,1.869520,2.267666,47.243079
1.511781,1.999897,2.267671,44.741750
1.511781,2.128418,2.267671,43.011912
1.511781,2.254501,2.267667,41.162172
1.511781,2.267668,2.377654,38.828185
1.511781,2.267673,2.497439,36.939158
1.511781,2.267665,2.613463,35.412698
1.511781,2.267671,2.725402,34.280894
1.511781,2.267665,2.832911,33.483515
1.511781,2.267673,2.935719,32.900961
1.511781,2.267668,3.033540,32.577985
1.511781,2.267667,3.126150,32.256137
1.511781,2.267671,3.213325,31.678223
1.511781,2.267671,3.294850,31.367520
1.511781,2.267666,3.370530,31.140508
1.511781,2.267672,3.440216,31.000095
1.511781,2.267676,3.503725,30.934182
1.511781,2.267672,3.560919,30.985959
1.511781,2.267666,3.611682,31.113579
1.511781,2.267671,3.655908,31.295188
1.511781,2.267671,3.693490,31.487812
1.511781,2.267667,3.724344,31.624712
1.511781,2.267668,3.748415,31.665344
1.511781,2.267673,3.765648,31.641624
1.511781,2.267665,3.775992,31.600125
1.495353,1.511781,2.456648,65.855261
1.511781,1.621889,2.456642,55.168001
1.511781,1.751665,2.456647,48.129528
1.511781,1.883106,2.456642,43.645765
1.511781,2.014989,2.456648,40.853897
1.511781,2.146311,2.456639,38.895053
1.511781,2.276281,2.456641,37.416987
1.511781,2.404185,2.456646,35.143753
1.511781,2.456635,2.529448,33.386119
1.511781,2.456643,2.651559,32.154058
1.511781,2.456638,2.770052,31.320816
1.511781,2.456644,2.884542,30.764672
1.511781,2.456638,2.994647,30.350241
1.511781,2.456643,3.100063,30.066813
1.511781,2.456635,3.200464,29.829438
1.511781,2.456646,3.295614,29.605028
1.511781,2.456641,3.385214,29.387861
1.511781,2.456639,3.469073,29.201048
1.511781,2.456648,3.546974,29.069698
1.511781,2.456642,3.618710,29.051659
1.511781,2.456647,3.684136,29.077287
1.511781,2.456642,3.743077,28.989258
1.511781,2.456648,3.795408,28.861334
1.511781,2.456639,3.840992,28.725517
1.511781,2.456641,3.879749,28.584237
1.511781,2.456646,3.911579,28.446253
1.511781,2.456635,3.936399,28.323055
1.511781,2.456643,3.954181,28.222927
1.511781,2.456638,3.964856,28.152070
1.511781,1.652946,2.645615,51.137480
1.511781,1.776799,2.645610,45.406782
1.511781,1.904861,2.645618,41.158833
1.511781,2.035429,2.645610,38.338561
1.511781,2.167164,2.645615,36.397627
1.511781,2.298959,2.645624,34.730233
1.511781,2.429846,2.645619,32.635963
1.511781,2.559079,2.645618,30.770439
1.511781,2.645625,2.685974,29.428103
1.511781,2.645616,2.809930,28.497769
1.511781,2.645612,2.930454,27.872112
