R1,R2,R3,ETriat,E,ENew
1.511781,1.511782,1.840621,51.539768,79.103865,79.103865
1.840621,1.511782,1.511781,51.539768,79.103865,79.103865
1.511781,1.511788,1.943512,49.414422,75.102094,75.102094
1.943512,1.511788,1.511781,49.414422,75.102094,75.102094
1.511781,1.511788,2.042701,47.127469,71.732399,71.732399
2.042701,1.511788,1.511781,47.127469,71.732399,71.732399
1.511781,1.511781,2.137981,45.087189,69.126866,69.126866
2.137981,1.511781,1.511781,45.087189,69.126866,69.126866
1.511781,1.511788,2.229203,43.427176,67.234543,67.234543
2.229203,1.511788,1.511781,43.427176,67.234543,67.234543
1.511781,1.511788,2.316189,42.152417,65.940124,65.940124
2.316189,1.511788,1.511781,42.152417,65.940124,65.940124
1.511781,1.511782,2.398759,41.277539,65.176048,65.176048
2.398759,1.511782,1.511781,41.277539,65.176048,65.176048
1.511776,1.511781,2.476758,40.746753,64.830957,64.830957
2.476758,1.511781,1.511776,40.746753,64.830957,64.830957
1.511781,1.511784,2.550043,39.238340,63.545775,63.545775
2.550043,1.511784,1.511781,39.238340,63.545775,63.545775
1.511780,1.511781,2.618481,37.323512,61.870229,61.870229
2.618481,1.511781,1.511780,37.323512,61.870229,61.870229
1.511777,1.511781,2.681929,36.022692,60.808632,60.808632
2.681929,1.511781,1.511777,36.022692,60.808632,60.808632
1.511781,1.511787,2.740281,35.049450,60.063896,60.063896
2.740281,1.511787,1.511781,35.049450,60.063896,60.063896
1.511781,1.511793,2.793418,34.362039,59.589753,59.589753
2.793418,1.511793,1.511781,34.362039,59.589753,59.589753
1.511781,1.511787,2.841227,33.924503,59.347174,59.347174
2.841227,1.511787,1.511781,33.924503,59.347174,59.347174
1.511777,1.511781,2.883619,33.705432,59.301945,59.301945
2.883619,1.511781,1.511777,33.705432,59.301945,59.301945
1.511780,1.511781,2.920536,33.675858,59.422498,59.422498
2.920536,1.511781,1.511780,33.675858,59.422498,59.422498
1.511781,1.511784,2.951896,33.804558,59.678129,59.678129
2.951896,1.511784,1.511781,33.804558,59.678129,59.678129
1.511776,1.511781,2.977621,34.065967,60.043949,60.043949
2.977621,1.511781,1.511776,34.065967,60.043949,60.043949
1.511781,1.511782,2.997695,34.414483,60.472473,60.472473
2.997695,1.511782,1.511781,34.414483,60.472473,60.472473
1.511781,1.511788,3.012064,34.879621,60.994403,60.994403
3.012064,1.511788,1.511781,34.879621,60.994403,60.994403
1.511781,1.511788,3.020692,35.353344,61.502457,61.502457
3.020692,1.511788,1.511781,35.353344,61.502457,61.502457
1.511781,1.614578,1.700749,50.970505,75.635213,75.635213
1.700749,1.614578,1.511781,50.970505,75.635213,75.635213
1.511781,1.700761,1.733438,50.518991,69.674772,69.674772
1.733438,1.700761,1.511781,50.518991,69.674772,69.674772
1.511781,1.700749,1.849118,50.220083,66.062975,66.062975
1.849118,1.700749,1.511781,50.220083,66.062975,66.062975
1.511781,1.700749,1.961397,48.389960,62.307295,62.307295
1.961397,1.700749,1.511781,48.389960,62.307295,62.307295
1.511781,1.700758,2.070054,45.753679,58.625379,58.625379
2.070054,1.700758,1.511781,45.753679,58.625379,58.625379
1.511781,1.700762,2.174831,43.329291,55.713608,55.713608
2.174831,1.700762,1.511781,43.329291,55.713608,55.713608
1.511781,1.700754,2.275532,41.310698,53.557371,53.557371
2.275532,1.700754,1.511781,41.310698,53.557371,53.557371
1.511781,1.700762,2.371973,39.726847,52.047606,52.047606
