# R1,R2,R3
1.511781,1.511782,1.840621
1.511781,1.511788,1.943512
1.511781,1.511788,2.042701
1.511781,1.511781,2.137981
1.511781,1.511788,2.229203
1.511781,1.511788,2.316189
1.511781,1.511782,2.398759
1.511776,1.511781,2.476758
1.511781,1.511784,2.550043
1.511780,1.511781,2.618481
1.511777,1.511781,2.681929
1.511781,1.511787,2.740281
1.511781,1.511793,2.793418
1.511781,1.511787,2.841227
1.511777,1.511781,2.883619
1.511780,1.511781,2.920536
1.511781,1.511784,2.951896
1.511776,1.511781,2.977621
1.511781,1.511782,2.997695
1.511781,1.511788,3.012064
1.511781,1.511788,3.020692
1.511781,1.614578,1.700749
1.511781,1.700761,1.733438
1.511781,1.700749,1.849118
1.511781,1.700749,1.961397
1.511781,1.700758,2.070054
1.511781,1.700762,2.174831
1.511781,1.700754,2.275532
1.511781,1.700762,2.371973
1.511781,1.700758,2.463939
1.511781,1.700749,2.551270
1.511781,1.700749,2.633784
1.511781,1.700761,2.711335
1.511781,1.700749,2.783738
1.511781,1.700760,2.850893
1.511781,1.700755,2.912642
1.511781,1.700764,2.968885
1.511781,1.700755,3.019487
1.511781,1.700760,3.064382
1.511781,1.700749,3.103450
1.511781,1.700761,3.136658
1.511781,1.700749,3.163893
1.511781,1.700749,3.185141
1.511781,1.700758,3.200357
1.511781,1.700762,3.209496
1.477776,1.511781,1.889723
1.511781,1.606015,1.889727
1.511781,1.731971,1.889734
1.511781,1.855220,1.889731
1.511781,1.889721,1.975431
1.511781,1.889734,2.092309
1.511781,1.889731,2.205534
1.511781,1.889718,2.314845
1.511781,1.889726,2.420030
1.511781,1.889718,2.520818
1.511781,1.889731,2.617011
1.511781,1.889734,2.708394
1.511781,1.889721,2.794768
1.511781,1.889731,2.875985
1.511781,1.889734,2.951851
1.511781,1.889727,3.022220
1.511781,1.889723,3.086947
1.511781,1.889735,3.145917
1.511781,1.889723,3.198978
1.511781,1.889727,3.246064
1.511781,1.889734,3.287068
1.511781,1.889731,3.321890
1.511781,1.889721,3.350468
1.511781,1.889734,3.372776
1.511781,1.889731,3.388728
1.511781,1.889718,3.398301
1.470464,1.511781,2.078706
1.511781,1.602032,2.078705
1.511781,1.732490,2.078699
1.511781,1.861168,2.078702
1.511781,1.987534,2.078701
1.511781,2.078694,2.111123
1.511781,2.078701,2.231544
1.511781,2.078700,2.348426
1.511781,2.078691,2.461435
1.511781,2.078699,2.570305
1.511781,2.078691,2.674735
1.511781,2.078700,2.774500
1.511781,2.078701,2.869350
1.511781,2.078694,2.959064
1.511781,2.078701,3.043463
1.511781,2.078702,3.122342
1.511781,2.078699,3.195531
1.511781,2.078705,3.262895
1.511781,2.078706,3.324264
1.511781,2.078705,3.379519
1.511781,2.078699,3.428544
1.511781,2.078702,3.471243
1.511781,2.078701,3.507520
1.511781,2.078694,3.537298
1.511781,2.078701,3.560534
1.511781,2.078700,3.577160
1.511781,2.078691,3.587140
1.474957,1.511781,2.267672
1.511781,1.606110,2.267676
1.511781,1.737974,2.267672
1.511781,1.869520,2.267666
1.511781,1.999897,2.267671
1.511781,2.128418,2.267671
1.511781,2.254501,2.267667
1.511781,2.267668,2.377654
1.511781,2.267673,2.497439
1.511781,2.267665,2.613463
1.511781,2.267671,2.725402
1.511781,2.267665,2.832911
1.511781,2.267673,2.935719
1.511781,2.267668,3.033540
1.511781,2.267667,3.126150
1.511781,2.267671,3.213325
1.511781,2.267671,3.294850
1.511781,2.267666,3.370530
1.511781,2.267672,3.440216
1.511781,2.267676,3.503725
1.511781,2.267672,3.560919
1.511781,2.267666,3.611682
1.511781,2.267671,3.655908
1.511781,2.267671,3.693490
1.511781,2.267667,3.724344
1.511781,2.267668,3.748415
1.511781,2.267673,3.765648
1.511781,2.267665,3.775992
1.495353,1.511781,2.456648
1.511781,1.621889,2.456642
1.511781,1.751665,2.456647
1.511781,1.883106,2.456642
1.511781,2.014989,2.456648
1.511781,2.146311,2.456639
1.511781,2.276281,2.456641
1.511781,2.404185,2.456646
1.511781,2.456635,2.529448
1.511781,2.456643,2.651559
1.511781,2.456638,2.770052
1.511781,2.456644,2.884542
1.511781,2.456638,2.994647
1.511781,2.456643,3.100063
1.511781,2.456635,3.200464
1.511781,2.456646,3.295614
1.511781,2.456641,3.385214
1.511781,2.456639,3.469073
1.511781,2.456648,3.546974
1.511781,2.456642,3.618710
1.511781,2.456647,3.684136
1.511781,2.456642,3.743077
1.511781,2.456648,3.795408
1.511781,2.456639,3.840992
1.511781,2.456641,3.879749
1.511781,2.456646,3.911579
1.511781,2.456635,3.936399
1.511781,2.456643,3.954181
1.511781,2.456638,3.964856
1.511781,1.652946,2.645615
1.511781,1.776799,2.645610
1.511781,1.904861,2.645618
1.511781,2.035429,2.645610
1.511781,2.167164,2.645615
1.511781,2.298959,2.645624
