# R1,R2,R3,E
1.511781,1.511784,1.624569,41.166135
1.511776,1.511781,1.734233,40.103484
1.511781,1.511782,1.840621,39.261132
1.511781,1.511788,1.943512,38.588180
1.511781,1.511788,2.042701,36.839939
1.511781,1.511781,2.137981,34.671779
1.511781,1.511788,2.229203,32.629034
1.511781,1.511788,2.316189,30.950903
1.511781,1.511782,2.398759,29.622740
1.511776,1.511781,2.476758,28.647775
1.511781,1.511784,2.550043,27.020457
1.511780,1.511781,2.618481,25.032474
1.511777,1.511781,2.681929,23.425157
1.511781,1.511787,2.740281,22.149190
1.511781,1.511793,2.793418,21.164170
1.511781,1.511787,2.841227,20.416365
1.511777,1.511781,2.883619,20.005798
1.511780,1.511781,2.920536,19.829132
1.511781,1.511784,2.951896,19.816075
1.511776,1.511781,2.977621,19.924322
1.511781,1.511782,2.997695,20.076485
1.511781,1.511788,3.012064,20.222116
1.511781,1.511788,3.020692,20.356255
1.492829,1.511781,1.700760,40.508927
1.511781,1.614578,1.700749,40.223533
1.511781,1.700761,1.733438,39.382652
1.511781,1.700749,1.849118,38.374654
1.511781,1.700749,1.961397,37.446202
1.511781,1.700758,2.070054,36.355808
1.511781,1.700762,2.174831,33.666422
1.511781,1.700754,2.275532,31.099273
1.511781,1.700762,2.371973,29.123150
1.511781,1.700758,2.463939,27.591090
1.511781,1.700749,2.551270,26.404005
1.511781,1.700749,2.633784,25.478065
1.511781,1.700761,2.711335,24.140403
1.511781,1.700749,2.783738,22.574192
1.511781,1.700760,2.850893,21.333728
1.511781,1.700755,2.912642,20.343203
1.511781,1.700764,2.968885,19.608548
1.511781,1.700755,3.019487,19.098184
1.511781,1.700760,3.064382,18.787295
1.511781,1.700749,3.103450,18.651216
1.511781,1.700761,3.136658,18.691839
1.511781,1.700749,3.163893,18.886835
1.511781,1.700749,3.185141,19.194385
1.511781,1.700758,3.200357,19.486348
1.511781,1.700762,3.209496,19.774160
1.477776,1.511781,1.889723,39.069555
1.511781,1.606015,1.889727,38.502232
1.511781,1.731971,1.889734,37.735577
1.511781,1.855220,1.889731,36.792930
1.511781,1.889721,1.975431,35.803596
1.511781,1.889734,2.092309,34.461786
1.511781,1.889731,2.205534,32.091412
1.511781,1.889718,2.314845,29.555029
1.511781,1.889726,2.420030,27.323944
1.511781,1.889718,2.520818,25.581746
1.511781,1.889731,2.617011,24.210689
