R1,R2,R3,ETriat,E,ENew
1.511781,1.511788,1.943512,45.598206,71.285879,71.285879
1.943512,1.511788,1.511781,45.598206,71.285879,71.285879
1.511781,1.511788,2.042701,42.223074,66.828004,66.828004
2.042701,1.511788,1.511781,42.223074,66.828004,66.828004
1.511781,1.511781,2.137981,39.078961,63.118638,63.118638
2.137981,1.511781,1.511781,39.078961,63.118638,63.118638
1.511781,1.511788,2.229203,36.415198,60.222566,60.222566
2.229203,1.511788,1.511781,36.415198,60.222566,60.222566
1.511781,1.511788,2.316189,34.238943,58.026650,58.026650
2.316189,1.511788,1.511781,34.238943,58.026650,58.026650
1.511781,1.511782,2.398759,32.541622,56.440131,56.440131
2.398759,1.511782,1.511781,32.541622,56.440131,56.440131
1.511776,1.511781,2.476758,31.181974,55.266177,55.266177
2.476758,1.511781,1.511776,31.181974,55.266177,55.266177
1.511781,1.511784,2.550043,29.449845,53.757280,53.757280
2.550043,1.511784,1.511781,29.449845,53.757280,53.757280
1.511780,1.511781,2.618481,27.607435,52.154152,52.154152
2.618481,1.511781,1.511780,27.607435,52.154152,52.154152
1.511777,1.511781,2.681929,25.803852,50.589791,50.589791
2.681929,1.511781,1.511777,25.803852,50.589791,50.589791
1.511781,1.511787,2.740281,24.381618,49.396064,49.396064
2.740281,1.511787,1.511781,24.381618,49.396064,49.396064
1.511781,1.511793,2.793418,23.309263,48.536977,48.536977
2.793418,1.511793,1.511781,23.309263,48.536977,48.536977
1.511781,1.511787,2.841227,22.540642,47.963313,47.963313
2.841227,1.511787,1.511781,22.540642,47.963313,47.963313
1.511777,1.511781,2.883619,22.037623,47.634136,47.634136
2.883619,1.511781,1.511777,22.037623,47.634136,47.634136
1.511780,1.511781,2.920536,21.770110,47.516750,47.516750
2.920536,1.511781,1.511780,21.770110,47.516750,47.516750
1.511781,1.511784,2.951896,21.705363,47.578934,47.578934
2.951896,1.511784,1.511781,21.705363,47.578934,47.578934
1.511776,1.511781,2.977621,21.801945,47.779927,47.779927
2.977621,1.511781,1.511776,21.801945,47.779927,47.779927
1.511781,1.511782,2.997695,22.018720,48.076711,48.076711
2.997695,1.511782,1.511781,22.018720,48.076711,48.076711
1.511781,1.511788,3.012064,22.305025,48.419807,48.419807
3.012064,1.511788,1.511781,22.305025,48.419807,48.419807
1.511781,1.511788,3.020692,22.592976,48.742090,48.742090
3.020692,1.511788,1.511781,22.592976,48.742090,48.742090
1.511781,1.614578,1.700749,51.187542,75.852250,75.852250
1.700749,1.614578,1.511781,51.187542,75.852250,75.852250
1.511781,1.700761,1.733438,50.323939,69.479720,69.479720
1.733438,1.700761,1.511781,50.323939,69.479720,69.479720
1.511781,1.700749,1.849118,48.592758,64.435650,64.435650
1.849118,1.700749,1.511781,48.592758,64.435650,64.435650
1.511781,1.700749,1.961397,46.751274,60.668609,60.668609
1.961397,1.700749,1.511781,46.751274,60.668609,60.668609
1.511781,1.700758,2.070054,42.519323,55.391023,55.391023
2.070054,1.700758,1.511781,42.519323,55.391023,55.391023
1.511781,1.700762,2.174831,39.048602,51.432920,51.432920
2.174831,1.700762,1.511781,39.048602,51.432920,51.432920
1.511781,1.700754,2.275532,36.066416,48.313088,48.313088
2.275532,1.700754,1.511781,36.066416,48.313088,48.313088
1.511781,1.700762,2.371973,33.710423,46.031182,46.031182
2.371973,1.700762,1.511781,33.710423,46.031182,46.031182
1.511781,1.700758,2.463939,31.651402,44.169777,44.169777
2.463939,1.700758,1.511781,31.651402,44.169777,44.169777
1.511781,1.700749,2.551270,30.130717,42.912131,42.912131
2.551270,1.700749,1.511781,30.130717,42.912131,42.912131
1.511781,1.700749,2.633784,28.933057,42.005778,42.005778
2.633784,1.700749,1.511781,28.933057,42.005778,42.005778
1.511781,1.700761,2.711335,27.473846,40.843316,40.843316
2.711335,1.700761,1.511781,27.473846,40.843316,40.843316
1.511781,1.700749,2.783738,25.822945,39.482203,39.482203
2.783738,1.700749,1.511781,25.822945,39.482203,39.482203
1.511781,1.700760,2.850893,24.343762,38.275640,38.275640
2.850893,1.700760,1.511781,24.343762,38.275640,38.275640
1.511781,1.700755,2.912642,23.191792,37.375704,37.375704
2.912642,1.700755,1.511781,23.191792,37.375704,37.375704
1.511781,1.700764,2.968885,22.342049,36.753516,36.753516
2.968885,1.700764,1.511781,22.342049,36.753516,36.753516
1.511781,1.700755,3.019487,21.736673,36.351054,36.351054
3.019487,1.700755,1.511781,21.736673,36.351054,36.351054
1.511781,1.700760,3.064382,21.358179,36.149194,36.149194
