# R1,R2,R3,E
1.511781,1.511788,1.943512,71.285879
1.511781,1.511788,2.042701,66.828004
1.511781,1.511781,2.137981,63.118638
1.511781,1.511788,2.229203,60.222566
1.511781,1.511788,2.316189,58.026650
1.511781,1.511782,2.398759,56.440131
1.511776,1.511781,2.476758,55.266177
1.511781,1.511784,2.550043,53.757280
1.511780,1.511781,2.618481,52.154152
1.511777,1.511781,2.681929,50.589791
1.511781,1.511787,2.740281,49.396064
1.511781,1.511793,2.793418,48.536977
1.511781,1.511787,2.841227,47.963313
1.511777,1.511781,2.883619,47.634136
1.511780,1.511781,2.920536,47.516750
1.511781,1.511784,2.951896,47.578934
1.511776,1.511781,2.977621,47.779927
1.511781,1.511782,2.997695,48.076711
1.511781,1.511788,3.012064,48.419807
1.511781,1.511788,3.020692,48.742090
1.511781,1.614578,1.700749,75.852250
1.511781,1.700761,1.733438,69.479720
1.511781,1.700749,1.849118,64.435650
1.511781,1.700749,1.961397,60.668609
1.511781,1.700758,2.070054,55.391023
1.511781,1.700762,2.174831,51.432920
1.511781,1.700754,2.275532,48.313088
1.511781,1.700762,2.371973,46.031182
1.511781,1.700758,2.463939,44.169777
1.511781,1.700749,2.551270,42.912131
1.511781,1.700749,2.633784,42.005778
1.511781,1.700761,2.711335,40.843316
1.511781,1.700749,2.783738,39.482203
1.511781,1.700760,2.850893,38.275640
1.511781,1.700755,2.912642,37.375704
1.511781,1.700764,2.968885,36.753516
1.511781,1.700755,3.019487,36.351054
1.511781,1.700760,3.064382,36.149194
1.511781,1.700749,3.103450,36.122568
1.511781,1.700761,3.136658,36.245592
1.511781,1.700749,3.163893,36.485829
1.511781,1.700749,3.185141,36.801130
1.511781,1.700758,3.200357,37.140931
1.511781,1.700762,3.209496,37.429953
1.477776,1.511781,1.889723,76.950447
1.511781,1.606015,1.889727,67.625427
1.511781,1.731971,1.889734,61.706659
1.511781,1.855220,1.889731,57.332738
1.511781,1.889721,1.975431,54.048339
1.511781,1.889734,2.092309,49.579407
1.511781,1.889731,2.205534,45.801135
1.511781,1.889718,2.314845,42.477363
1.511781,1.889726,2.420030,39.876730
1.511781,1.889718,2.520818,37.908996
1.511781,1.889731,2.617011,36.487911
1.511781,1.889734,2.708394,34.242083
1.511781,1.889721,2.794768,33.598343
1.511781,1.889731,2.875985,32.747409
1.511781,1.889734,2.951851,32.433496
1.511781,1.889727,3.022220,32.406610
1.511781,1.889723,3.086947,32.606562
1.511781,1.889735,3.145917,32.999311
1.511781,1.889723,3.198978,30.612550
1.511781,1.889727,3.246064,30.524781
1.511781,1.889734,3.287068,30.581588
1.511781,1.889731,3.321890,30.761116
1.511781,1.889721,3.350468,31.038126
1.511781,1.889734,3.372776,31.377103
1.511781,1.889731,3.388728,31.725794
1.511781,1.889718,3.398301,32.006403
1.470464,1.511781,2.078706,68.797819
1.511781,1.602032,2.078705,59.467770
1.511781,1.732490,2.078699,53.940450
1.511781,1.861168,2.078702,50.622965
1.511781,1.987534,2.078701,48.414344
1.511781,2.078694,2.111123,46.019430
1.511781,2.078701,2.231544,44.911087
1.511781,2.078700,2.348426,40.298836
1.511781,2.078691,2.461435,36.739640
1.511781,2.078699,2.570305,33.903670
1.511781,2.078691,2.674735,31.767684
1.511781,2.078700,2.774500,30.752269
1.511781,2.078701,2.869350,30.082554
1.511781,2.078694,2.959064,29.763047
1.511781,2.078701,3.043463,28.913588
1.511781,2.078702,3.122342,28.106191
1.511781,2.078699,3.195531,27.815912
1.511781,2.078705,3.262895,28.078395
1.511781,2.078706,3.324264,28.510215
1.511781,2.078705,3.379519,29.088692
1.511781,2.078699,3.428544,29.793185
1.511781,2.078702,3.471243,30.602620
1.511781,2.078701,3.507520,31.493752
1.511781,2.078694,3.537298,32.442039
1.511781,2.078701,3.560534,33.422415
1.511781,2.078700,3.577160,34.399929
1.511781,2.078691,3.587140,35.282649
1.345858,1.511781,2.267666,79.965727
1.474957,1.511781,2.267672,65.352237
1.511781,1.606110,2.267676,55.181184
1.511781,1.737974,2.267672,49.121959
1.511781,1.869520,2.267666,45.688432
1.511781,1.999897,2.267671,44.439806
1.511781,2.128418,2.267671,42.163016
1.511781,2.254501,2.267667,39.615201
1.511781,2.267668,2.377654,36.751955
1.511781,2.267673,2.497439,34.496544
1.511781,2.267665,2.613463,31.641190
1.511781,2.267671,2.725402,29.797565
1.511781,2.267665,2.832911,28.733496
1.511781,2.267673,2.935719,27.990279
1.511781,2.267668,3.033540,27.515702
1.511781,2.267667,3.126150,27.260721
1.511781,2.267671,3.213325,26.891779
1.511781,2.267671,3.294850,26.246434
1.511781,2.267666,3.370530,25.766047
1.511781,2.267672,3.440216,25.450833
1.511781,2.267676,3.503725,25.576502
1.511781,2.267672,3.560919,26.134165
1.511781,2.267666,3.611682,26.693952
1.511781,2.267671,3.655908,27.300616
1.511781,2.267671,3.693490,27.284788
1.511781,2.267667,3.724344,27.378324
1.511781,2.267668,3.748415,27.594581
1.511781,2.267673,3.765648,27.857238
1.511781,2.267665,3.775992,28.138974
1.495353,1.511781,2.456648,57.089248
1.511781,1.621889,2.456642,48.942779
1.511781,1.751665,2.456647,42.908012
1.511781,1.883106,2.456642,39.376872
1.511781,2.014989,2.456648,37.433249
1.511781,2.146311,2.456639,36.409639
1.511781,2.276281,2.456641,34.763710
1.511781,2.404185,2.456646,33.104339
1.511781,2.456635,2.529448,31.458714
1.511781,2.456643,2.651559,29.772240
1.511781,2.456638,2.770052,28.322621
1.511781,2.456644,2.884542,27.311804
1.511781,2.456638,2.994647,26.561648
1.511781,2.456643,3.100063,26.046656
1.511781,2.456635,3.200464,25.739464
1.511781,2.456646,3.295614,25.718476
1.511781,2.456641,3.385214,25.678928
1.511781,2.456639,3.469073,25.156434
1.511781,2.456648,3.546974,24.791568
1.511781,2.456642,3.618710,24.574661
1.511781,2.456647,3.684136,24.385897
1.511781,2.456642,3.743077,24.392445
1.511781,2.456648,3.795408,24.493483
1.511781,2.456639,3.840992,24.761257
1.511781,2.456641,3.879749,25.110295
1.511781,2.456646,3.911579,25.458161
1.511781,2.456635,3.936399,25.858109
1.511781,2.456643,3.954181,26.285635
1.511781,2.456638,3.964856,26.742303
1.511781,1.652946,2.645615,43.661680
1.511781,1.776799,2.645610,39.058796
1.511781,1.904861,2.645618,35.446045
1.511781,2.035429,2.645610,32.694592
1.511781,2.167164,2.645615,31.484299
1.511781,2.298959,2.645624,30.730067
1.511781,2.429846,2.645619,29.965558
1.511781,2.559079,2.645618,29.289988
1.511781,2.645625,2.685974,27.408766
1.511781,2.645616,2.809930,25.823721
1.511781,2.645612,2.930454,24.784283
1.511781,2.645617,3.047092,24.273410
1.511781,2.645612,3.159419,23.985516
1.511781,2.645616,3.267082,23.906203
1.511781,2.645625,3.369744,23.979098
1.511781,2.645618,3.467084,23.634007
1.511781,2.645619,3.558849,23.611197
1.511781,2.645624,3.644777,23.373518
1.511781,2.645615,3.724637,23.147418
1.511781,2.645610,3.798223,22.991394
1.511781,2.645618,3.865366,22.857399
1.511781,2.645610,3.925870,22.751547
1.511781,2.645615,3.979610,22.740359
1.511781,2.645624,4.026454,23.074176
1.511781,2.645619,4.066263,23.626288
1.511781,2.645618,4.098970,24.240627
1.511781,2.645625,4.124495,24.877082
1.511781,2.645616,4.142755,25.516183
1.511781,2.645612,4.153730,26.146870
1.511781,1.816526,2.834587,36.162073
1.511781,1.937769,2.834592,32.357782
1.511781,2.063996,2.834589,30.460342
1.511781,2.193480,2.834592,29.211109
1.511781,2.324763,2.834587,28.325267
1.511781,2.456648,2.834592,27.724153
1.511781,2.588104,2.834588,25.997264
1.511781,2.718287,2.834591,25.080503
1.511781,2.834592,2.846430,24.171331
1.511781,2.834585,2.971886,23.161988
1.511781,2.834585,3.094091,22.537198
1.511781,2.834589,3.212534,22.248003
1.511781,2.834585,3.326756,22.031139
1.511781,2.834585,3.436365,21.917395
1.511781,2.834592,3.540992,21.883788
1.511781,2.834591,3.640287,21.914880
1.511781,2.834588,3.733961,22.055032
1.511781,2.834592,3.821737,21.817050
1.511781,2.834587,3.903359,21.656646
1.511781,2.834592,3.978622,21.532538
1.511781,2.834589,4.047304,21.433885
1.511781,2.834592,4.109238,21.364112
1.511781,2.834587,4.164248,21.377598
1.511781,2.834592,4.212211,21.624774
1.511781,2.834588,4.252990,22.037253
1.511781,2.834591,4.286500,22.500469
1.511781,2.834592,4.312647,22.976346
1.511781,2.834585,4.331362,23.445980
1.511781,2.834585,4.342612,23.964268
1.511781,2.156200,3.212537,27.044681
1.511781,2.272678,3.212542,26.897590
1.511781,2.395309,3.212530,26.192229
1.511781,2.522363,3.212542,25.469393
1.511781,2.652274,3.212537,23.737820
1.511781,2.783734,3.212529,22.608532
1.511781,2.915614,3.212528,21.827414
1.511781,3.046925,3.212536,21.268407
1.511781,3.176765,3.212526,20.861218
1.511781,3.212528,3.304411,20.569855
1.511781,3.212532,3.429184,20.376061
1.511781,3.212534,3.550473,20.258067
1.511781,3.212532,3.667749,20.197487
1.511781,3.212528,3.780543,20.179578
1.511781,3.212526,3.888416,20.191113
1.511781,3.212536,3.990988,20.209109
1.511781,3.212528,4.087888,20.247659
1.511781,3.212529,4.178812,20.189855
1.511781,3.212537,4.263472,20.115919
1.511781,3.212542,4.341601,20.052131
1.511781,3.212530,4.412954,19.999010
1.511781,3.212542,4.477360,19.960806
1.511781,3.212537,4.534595,19.957640
1.511781,3.212529,4.584514,20.051697
1.511781,3.212528,4.626990,20.280703
1.511781,3.212536,4.661909,20.575752
1.511781,3.212526,4.689148,20.882120
1.511781,3.212528,4.708665,21.248547
1.511781,3.212532,4.720399,21.583491
1.511781,2.684941,3.779443,22.751243
1.511781,2.795691,3.779460,22.105205
1.511781,2.913639,3.779443,21.413070
1.511781,3.037165,3.779460,20.757405
1.511781,3.164679,3.779443,20.310407
1.511781,3.294849,3.779451,19.989686
1.511781,3.426422,3.779463,19.762805
1.511781,3.558286,3.779461,19.612419
1.511781,3.689456,3.779450,19.523522
1.511781,3.779462,3.819089,19.481546
1.511781,3.779453,3.946364,19.472569
1.511781,3.779452,4.070595,19.486879
1.511781,3.779453,4.191146,19.512464
1.511781,3.779462,4.307457,19.529029
1.511781,3.779450,4.418978,19.577510
1.511781,3.779461,4.525285,19.600710
1.511781,3.779463,4.625935,19.603702
1.511781,3.779451,4.720533,19.610337
1.511781,3.779443,4.808757,19.622783
1.511781,3.779460,4.890319,19.639651
1.511781,3.779443,4.964881,19.659165
1.511781,3.779460,5.032266,19.679936
1.511781,3.779443,5.092193,19.702226
1.511781,3.779451,5.144526,19.731280
1.511781,3.779463,5.189084,19.786656
1.511781,3.779461,5.225713,19.893375
1.511781,3.779450,5.254307,20.187947
1.511781,3.779462,5.274812,20.444099
1.511781,3.779453,5.287123,20.549170
1.511781,3.045087,4.157393,20.485251
1.511781,3.152797,4.157397,20.296574
1.511781,3.268167,4.157384,20.130360
1.511781,3.389619,4.157397,19.861502
1.511781,3.515600,4.157393,19.707473
1.511781,3.644779,4.157404,19.581023
1.511781,3.775858,4.157402,19.506393
1.511781,3.907702,4.157388,19.474391
1.511781,4.039318,4.157402,19.474694
1.511781,4.157404,4.169734,19.496593
1.511781,4.157400,4.298129,19.545031
1.511781,4.157397,4.423735,19.619053
1.511781,4.157400,4.545878,19.615584
1.511781,4.157404,4.663936,19.612245
1.511781,4.157402,4.777328,19.616061
1.511781,4.157388,4.885548,19.627596
1.511781,4.157402,4.988171,19.646373
1.511781,4.157404,5.084738,19.671437
1.511781,4.157393,5.174876,19.701749
1.511781,4.157397,5.258265,19.736050
1.511781,4.157384,5.334579,19.773126
1.511781,4.157397,5.403586,19.811286
1.511781,4.157393,5.465001,19.848883
1.511781,4.157404,5.518658,19.884268
1.511781,4.157402,5.564343,19.918699
1.511781,4.157388,5.601911,20.039642
1.511781,4.157402,5.631281,20.338464
1.511781,4.157404,5.652317,20.452295
1.511781,4.157400,5.664961,20.495138
1.511781,3.959990,5.102264,20.034351
1.511781,4.062120,5.102265,20.142848
1.511781,4.172535,5.102265,20.203471
1.511781,4.289788,5.102265,20.208588
1.511781,4.412481,5.102264,20.179014
1.511781,4.539281,5.102263,20.136127
1.511781,4.668918,5.102259,20.093370
1.511781,4.800229,5.102258,20.057898
1.511781,4.932114,5.102260,20.032790
1.511781,5.063562,5.102259,20.018827
1.511781,5.102269,5.193657,20.012626
1.511781,5.102261,5.321517,20.011975
1.511781,5.102269,5.446391,20.014707
1.511781,5.102259,5.567531,20.019087
1.511781,5.102260,5.684306,20.024031
1.511781,5.102258,5.796105,20.028714
1.511781,5.102259,5.902395,20.032530
1.511781,5.102263,6.002672,20.035002
1.511781,5.102264,6.096488,20.035739
1.511781,5.102265,6.183437,20.034698
1.511781,5.102265,6.263157,20.031923
1.511781,5.102265,6.335326,20.027500
1.511781,5.102264,6.399659,20.021819
1.511781,5.102263,6.455908,20.015098
1.511781,5.102259,6.503855,20.007726
1.511781,5.102258,6.543329,20.000050
1.511781,5.102260,6.574183,19.992462
