# R1,R2,R3,E
1.511780,1.511780,1.511781,36.715856
1.511781,1.511784,1.624569,36.378693
1.511776,1.511781,1.734233,36.098462
1.511781,1.511782,1.840621,35.871792
1.511781,1.511788,1.943512,35.695880
1.511781,1.511788,2.042701,35.688058
1.511781,1.511781,2.137981,35.771406
1.511781,1.511788,2.229203,32.723785
1.511781,1.511788,2.316189,29.280777
1.511781,1.511782,2.398759,26.249532
1.511776,1.511781,2.476758,23.759078
1.511781,1.511784,2.550043,21.835844
1.511780,1.511781,2.618481,20.340694
1.511777,1.511781,2.681929,19.247371
1.511781,1.511787,2.740281,18.515884
1.511781,1.511793,2.793418,18.091779
1.511781,1.511787,2.841227,17.927134
1.511777,1.511781,2.883619,17.978612
1.511780,1.511781,2.920536,18.207010
1.511781,1.511784,2.951896,18.575341
1.511776,1.511781,2.977621,19.056346
1.511781,1.511782,2.997695,19.630485
1.511781,1.511788,3.012064,20.248742
1.511781,1.511788,3.020692,20.863615
1.492829,1.511781,1.700760,36.325157
1.511781,1.614578,1.700749,35.535005
1.511781,1.700761,1.733438,34.785969
1.511781,1.700749,1.849118,34.191492
1.511781,1.700749,1.961397,33.592433
1.511781,1.700758,2.070054,33.218891
1.511781,1.700762,2.174831,33.034693
1.511781,1.700754,2.275532,32.603184
1.511781,1.700762,2.371973,29.041842
1.511781,1.700758,2.463939,25.770100
1.511781,1.700749,2.551270,23.101351
1.511781,1.700749,2.633784,20.980122
1.511781,1.700761,2.711335,19.366144
1.511781,1.700749,2.783738,18.149795
1.511781,1.700760,2.850893,17.304421
1.511781,1.700755,2.912642,16.786392
1.511781,1.700764,2.968885,16.501986
1.511781,1.700755,3.019487,16.506440
1.511781,1.700760,3.064382,16.717308
1.511781,1.700749,3.103450,17.097870
1.511781,1.700761,3.136658,17.548804
1.511781,1.700749,3.163893,18.146653
1.511781,1.700749,3.185141,18.807534
1.511781,1.700758,3.200357,19.478586
1.511781,1.700762,3.209496,20.068819
1.477776,1.511781,1.889723,36.214766
1.511781,1.606015,1.889727,34.835016
1.511781,1.731971,1.889734,33.740918
1.511781,1.855220,1.889731,32.755601
1.511781,1.889721,1.975431,31.916740
1.511781,1.889734,2.092309,31.084068
