R1,R2,R3,ETriat,E,ENew
1.511781,1.511784,1.624569,41.375280,77.001703,77.001703
1.624569,1.511784,1.511781,41.375280,77.001703,77.001703
1.511776,1.511781,1.734233,40.314494,70.972790,70.972790
1.734233,1.511781,1.511776,40.314494,70.972790,70.972790
1.511781,1.511782,1.840621,39.475610,67.039708,67.039708
1.840621,1.511782,1.511781,39.475610,67.039708,67.039708
1.511781,1.511788,1.943512,38.830846,64.518518,64.518518
1.943512,1.511788,1.511781,38.830846,64.518518,64.518518
1.511781,1.511788,2.042701,37.282990,61.887921,61.887921
2.042701,1.511788,1.511781,37.282990,61.887921,61.887921
1.511781,1.511781,2.137981,35.266778,59.306455,59.306455
2.137981,1.511781,1.511781,35.266778,59.306455,59.306455
1.511781,1.511788,2.229203,33.115146,56.922513,56.922513
2.229203,1.511788,1.511781,33.115146,56.922513,56.922513
1.511781,1.511788,2.316189,31.391742,55.179449,55.179449
2.316189,1.511788,1.511781,31.391742,55.179449,55.179449
1.511781,1.511782,2.398759,30.010935,53.909444,53.909444
2.398759,1.511782,1.511781,30.010935,53.909444,53.909444
1.511776,1.511781,2.476758,28.967108,53.051312,53.051312
2.476758,1.511781,1.511776,28.967108,53.051312,53.051312
1.511781,1.511784,2.550043,27.864063,52.171497,52.171497
2.550043,1.511784,1.511781,27.864063,52.171497,52.171497
1.511780,1.511781,2.618481,25.778510,50.325227,50.325227
2.618481,1.511781,1.511780,25.778510,50.325227,50.325227
1.511777,1.511781,2.681929,24.065341,48.851280,48.851280
2.681929,1.511781,1.511777,24.065341,48.851280,48.851280
1.511781,1.511787,2.740281,22.724588,47.739034,47.739034
2.740281,1.511787,1.511781,22.724588,47.739034,47.739034
1.511781,1.511793,2.793418,21.716152,46.943866,46.943866
2.793418,1.511793,1.511781,21.716152,46.943866,46.943866
1.511781,1.511787,2.841227,20.903387,46.326058,46.326058
2.841227,1.511787,1.511781,20.903387,46.326058,46.326058
1.511777,1.511781,2.883619,20.709857,46.306371,46.306371
2.883619,1.511781,1.511777,20.709857,46.306371,46.306371
1.511780,1.511781,2.920536,20.701358,46.447998,46.447998
2.920536,1.511781,1.511780,20.701358,46.447998,46.447998
1.511781,1.511784,2.951896,20.766356,46.639927,46.639927
2.951896,1.511784,1.511781,20.766356,46.639927,46.639927
1.511776,1.511781,2.977621,20.876381,46.854363,46.854363
2.977621,1.511781,1.511776,20.876381,46.854363,46.854363
1.511781,1.511782,2.997695,20.957037,47.015027,47.015027
2.997695,1.511782,1.511781,20.957037,47.015027,47.015027
1.511781,1.511788,3.012064,21.016070,47.130852,47.130852
3.012064,1.511788,1.511781,21.016070,47.130852,47.130852
1.511781,1.511788,3.020692,21.069682,47.218795,47.218795
3.020692,1.511788,1.511781,21.069682,47.218795,47.218795
1.492829,1.511781,1.700760,40.627701,74.253112,74.253112
1.700760,1.511781,1.492829,40.627701,74.253112,74.253112
1.511781,1.614578,1.700749,40.338014,65.002722,65.002722
1.700749,1.614578,1.511781,40.338014,65.002722,65.002722
1.511781,1.700761,1.733438,39.502944,58.658726,58.658726
1.733438,1.700761,1.511781,39.502944,58.658726,58.658726
1.511781,1.700749,1.849118,38.504747,54.347639,54.347639
1.849118,1.700749,1.511781,38.504747,54.347639,54.347639
1.511781,1.700749,1.961397,37.585834,51.503169,51.503169
1.961397,1.700749,1.511781,37.585834,51.503169,51.503169
1.511781,1.700758,2.070054,36.090593,48.962293,48.962293
2.070054,1.700758,1.511781,36.090593,48.962293,48.962293
1.511781,1.700762,2.174831,34.120314,46.504631,46.504631
2.174831,1.700762,1.511781,34.120314,46.504631,46.504631
1.511781,1.700754,2.275532,31.666389,43.913062,43.913062
2.275532,1.700754,1.511781,31.666389,43.913062,43.913062
1.511781,1.700762,2.371973,29.653059,41.973818,41.973818
2.371973,1.700762,1.511781,29.653059,41.973818,41.973818
1.511781,1.700758,2.463939,28.093376,40.611752,40.611752
2.463939,1.700758,1.511781,28.093376,40.611752,40.611752
1.511781,1.700749,2.551270,26.891244,39.672658,39.672658
2.551270,1.700749,1.511781,26.891244,39.672658,39.672658
1.511781,1.700749,2.633784,26.009362,39.082082,39.082082
2.633784,1.700749,1.511781,26.009362,39.082082,39.082082
1.511781,1.700761,2.711335,25.088646,38.458116,38.458116
2.711335,1.700761,1.511781,25.088646,38.458116,38.458116
1.511781,1.700749,2.783738,23.521785,37.181043,37.181043
2.783738,1.700749,1.511781,23.521785,37.181043,37.181043
1.511781,1.700760,2.850893,22.220221,36.152099,36.152099
2.850893,1.700760,1.511781,22.220221,36.152099,36.152099
1.511781,1.700755,2.912642,21.176922,35.360834,35.360834
2.912642,1.700755,1.511781,21.176922,35.360834,35.360834
1.511781,1.700764,2.968885,20.397602,34.809069,34.809069
2.968885,1.700764,1.511781,20.397602,34.809069,34.809069
1.511781,1.700755,3.019487,19.852112,34.466493,34.466493
3.019487,1.700755,1.511781,19.852112,34.466493,34.466493
1.511781,1.700760,3.064382,19.516375,34.307390,34.307390
3.064382,1.700760,1.511781,19.516375,34.307390,34.307390
1.511781,1.700749,3.103450,19.371103,34.313721,34.313721
3.103450,1.700749,1.511781,19.371103,34.313721,34.313721
1.511781,1.700761,3.136658,19.603266,34.671518,34.671518
3.136658,1.700761,1.511781,19.603266,34.671518,34.671518
1.511781,1.700749,3.163893,19.816605,34.987079,34.987079
3.163893,1.700749,1.511781,19.816605,34.987079,34.987079
1.511781,1.700749,3.185141,20.049612,35.298216,35.298216
3.185141,1.700749,1.511781,20.049612,35.298216,35.298216
1.511781,1.700758,3.200357,20.264344,35.567854,35.567854
3.200357,1.700758,1.511781,20.264344,35.567854,35.567854
1.511781,1.700762,3.209496,20.472842,35.809089,35.809089
3.209496,1.700762,1.511781,20.472842,35.809089,35.809089
1.477776,1.511781,1.889723,39.374015,69.018109,69.018109
1.889723,1.511781,1.477776,39.374015,69.018109,69.018109
1.511781,1.606015,1.889727,38.799060,58.572518,58.572518
1.889727,1.606015,1.511781,38.799060,58.572518,58.572518
1.511781,1.731971,1.889734,38.027070,51.840412,51.840412
1.889734,1.731971,1.511781,38.027070,51.840412,51.840412
1.511781,1.855220,1.889731,37.090495,47.404480,47.404480
1.889731,1.855220,1.511781,37.090495,47.404480,47.404480
1.511781,1.889721,1.975431,36.106451,44.454072,44.454072
1.975431,1.889721,1.511781,36.106451,44.454072,44.454072
1.511781,1.889734,2.092309,35.094902,42.430963,42.430963
2.092309,1.889734,1.511781,35.094902,42.430963,42.430963
1.511781,1.889731,2.205534,32.848549,39.766455,39.766455
2.205534,1.889731,1.511781,32.848549,39.766455,39.766455
1.511781,1.889718,2.314845,30.167590,37.028835,37.028835
2.314845,1.889718,1.511781,30.167590,37.028835,37.028835
1.511781,1.889726,2.420030,27.922238,34.938338,34.938338
2.420030,1.889726,1.511781,27.922238,34.938338,34.938338
1.511781,1.889718,2.520818,26.146477,33.433950,33.433950
2.520818,1.889718,1.511781,26.146477,33.433950,33.433950
1.511781,1.889731,2.617011,24.827587,32.442429,32.442429
2.617011,1.889731,1.511781,24.827587,32.442429,32.442429
1.511781,1.889734,2.708394,23.789674,31.751899,31.751899
2.708394,1.889734,1.511781,23.789674,31.751899,31.751899
1.511781,1.889721,2.794768,23.023849,31.331788,31.331788
2.794768,1.889721,1.511781,23.023849,31.331788,31.331788
1.511781,1.889731,2.875985,22.207450,30.846023,30.846023
2.875985,1.889731,1.511781,22.207450,30.846023,30.846023
1.511781,1.889734,2.951851,21.022263,29.969374,29.969374
2.951851,1.889734,1.511781,21.022263,29.969374,29.969374
1.511781,1.889727,3.022220,19.991763,29.221169,29.221169
3.022220,1.889727,1.511781,19.991763,29.221169,29.221169
1.511781,1.889723,3.086947,19.200039,28.683151,28.683151
3.086947,1.889723,1.511781,19.200039,28.683151,28.683151
1.511781,1.889735,3.145917,18.630222,28.337539,28.337539
3.145917,1.889735,1.511781,18.630222,28.337539,28.337539
1.511781,1.889723,3.198978,18.256319,28.159225,28.159225
3.198978,1.889723,1.511781,18.256319,28.159225,28.159225
1.511781,1.889727,3.246064,18.054388,28.124621,28.124621
3.246064,1.889727,1.511781,18.054388,28.124621,28.124621
1.511781,1.889734,3.287068,18.002713,28.213561,28.213561
3.287068,1.889734,1.511781,18.002713,28.213561,28.213561
1.511781,1.889731,3.321890,18.086579,28.413036,28.413036
3.321890,1.889731,1.511781,18.086579,28.413036,28.413036
1.511781,1.889721,3.350468,18.400298,28.818924,28.818924
3.350468,1.889721,1.511781,18.400298,28.818924,28.818924
1.511781,1.889734,3.372776,18.699789,29.188126,29.188126
3.372776,1.889734,1.511781,18.699789,29.188126,29.188126
1.511781,1.889731,3.388728,19.033984,29.571378,29.571378
3.388728,1.889731,1.511781,19.033984,29.571378,29.571378
1.511781,1.889718,3.398301,19.357917,29.924535,29.924535
3.398301,1.889718,1.511781,19.357917,29.924535,29.924535
1.470464,1.511781,2.078706,37.177211,65.326175,65.326175
2.078706,1.511781,1.470464,37.177211,65.326175,65.326175
1.511781,1.602032,2.078705,36.861705,54.665498,54.665498
2.078705,1.602032,1.511781,36.861705,54.665498,54.665498
1.511781,1.732490,2.078699,35.805663,47.390127,47.390127
2.078699,1.732490,1.511781,35.805663,47.390127,47.390127
1.511781,1.861168,2.078702,35.266167,43.244170,43.244170
2.078702,1.861168,1.511781,35.266167,43.244170,43.244170
1.511781,1.987534,2.078701,34.345491,40.343154,40.343154
2.078701,1.987534,1.511781,34.345491,40.343154,40.343154
1.511781,2.078694,2.111123,33.285885,38.310244,38.310244
2.111123,2.078694,1.511781,33.285885,38.310244,38.310244
1.511781,2.078701,2.231544,31.643626,36.312286,36.312286
2.231544,2.078701,1.511781,31.643626,36.312286,36.312286
